municipality,group,variable,month,RN con visita de control en las 48 hrs siguientes al nacimiento,TOTAL
ACACIO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,1,1
ACHACACHI,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,2,2
ACHOCALLA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,2,2
AIQUILE,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,2,2
ALALAY,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,3,3
ALTO BENI,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,1,1
ANCORAIMES,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,10,10
ANDAMARCA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,1,1
APOLO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,4,4
ARAMPAMPA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,1,1
ARBIETO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,7,7
ARQUE,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,16,16
ASCENCION DE GUARAYOS,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,1,1
AUCAPATA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,1,1
AYATA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,5,5
AYO AYO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,6,6
AZURDUY,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,4,4
BATALLAS,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,6,6
BAURES,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,1,1
BELEN DE URMIRI,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,2,2
BETANZOS,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,17,17
BOLIVAR,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,8,8
CAIROMA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,4,4
"CAIZA ""D""",atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,2,2
CAJUATA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,2,2
CALACOTO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,1,1
CALAMARCA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,8,8
CAMARGO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,3,3
CAPINOTA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,2,2
CAQUIAVIRI,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,5,5
CARACOLLO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,3,3
CARAPARI,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,1,1
CARIPUYO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,9,9
CARMEN RIVERO TORREZ,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,1,1
CATACORA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,9,9
CHAQUI,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,4,4
CHARAGUA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,3,3
CHARAÑA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,2,2
CHAYANTA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,3,3
CHIMORE,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,6,6
CHIPAYA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,2,2
CHUA COCANI,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,3,3
CHUMA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,4,4
CKOCHAS,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,12,12
COCAPATA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,11,11
"COLCHA ""K""",atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,5,5
COLOMI,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,5,5
COLQUECHACA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,41,41
COLQUENCHA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,9,9
COLQUIRI,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,8,8
COMANCHE,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,2,2
COMBAYA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,1,1
CONCEPCION,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,6,6
COPACABANA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,1,1
CORO CORO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,1,1
COROICO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,5,5
CORQUE,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,5,5
COTAGAITA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,3,3
CUATRO CAÑADAS,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,1,1
CULPINA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,5,5
CURAHUARA DE CARANGAS,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,1,1
DESAGUADERO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,5,5
EL ALTO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,22,22
EL CHORO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,4,4
EL PUENTE(TJA),atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,2,2
ENTRE RIOS TRJ,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,3,3
EUREKA (SANTOS MERCADO),atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,1,1
FILADELFIA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,6,6
GUANAY,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,3,3
GUAQUI,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,2,2
GUTIERREZ,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,1,1
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,5,5
HUANUNI,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,2,2
HUAYLLAMARCA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,2,2
HUMANATA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,5,5
ICHOCA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,4,4
ICLA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,3,3
INCAHUASI,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,8,8
INQUISIVI,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,5,5
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,3,3
IXIAMAS,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,2,2
JESUS DE MACHACA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,7,7
LA ASUNTA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,22,22
LA PAZ,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,1,1
LAJA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,6,6
LAS CARRERAS,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,1,1
LICOMA PAMPA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2015-01-01,2,2
