municipality,group,variable,month,Nacidos vivos con peso menor a 2500g,TOTAL
ACHACACHI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
ALTO BENI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
AUCAPATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
CAIROMA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-01-01,2,2
CARIPUYO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
CHAQUI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-01-01,2,2
COLQUECHACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-01-01,2,2
GUANAY,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-01-01,3,3
LA PAZ,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
LAJA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
LLALLAGUA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
MECAPACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-01-01,3,3
MIZQUE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
PALCA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
PUCARANI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-01-01,2,2
PUERTO ACOSTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
PUERTO GONZALO MORENO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-01-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
SORATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-01-01,7,7
TACOBAMBA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-01-01,1,1
ARQUE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-02-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-02-01,1,1
CAIROMA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-02-01,1,1
CAPINOTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-02-01,3,3
CARIPUYO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-02-01,1,1
CHAQUI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-02-01,1,1
CHUMA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-02-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-02-01,4,4
COTAGAITA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-02-01,1,1
HUAYLLAMARCA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-02-01,1,1
LA ASUNTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-02-01,2,2
LORETO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-02-01,1,1
MECAPACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-02-01,2,2
PALOS BLANCOS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-02-01,2,2
PUERTO GONZALO MORENO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-02-01,3,3
RIBERALTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-02-01,1,1
SACABA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-02-01,1,1
SAN ANDRES,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-02-01,1,1
SAN JAVIER(BNI),atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-02-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-02-01,2,2
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-02-01,2,2
SORATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-02-01,2,2
TARABUCO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-02-01,1,1
TARIJA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-02-01,1,1
TORO TORO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-02-01,2,2
TUPIZA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-02-01,2,2
ACHACACHI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-03-01,4,4
ARQUE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-03-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-03-01,1,1
BATALLAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-03-01,1,1
CAIROMA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-03-01,1,1
CAPINOTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-03-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-03-01,2,2
COCAPATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-03-01,3,3
COCHABAMBA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-03-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-03-01,1,1
COPACABANA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-03-01,1,1
CORQUE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-03-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-03-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-03-01,1,1
GUTIERREZ,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-03-01,1,1
HUANUNI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-03-01,1,1
LA PAZ,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-03-01,1,1
MIZQUE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2015-03-01,1,1
