municipality,group,variable,month,Partos atendidos por partera empírica,TOTAL
AYATA,atencion de partos en domicilio,partos atendidos por partera empirica,2015-01-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,partos atendidos por partera empirica,2015-01-01,1,1
CARANAVI,atencion de partos en domicilio,partos atendidos por partera empirica,2015-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera empirica,2015-01-01,1,1
COCAPATA,atencion de partos en domicilio,partos atendidos por partera empirica,2015-01-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera empirica,2015-01-01,7,7
COROICO,atencion de partos en domicilio,partos atendidos por partera empirica,2015-01-01,1,1
CUATRO CAÑADAS,atencion de partos en domicilio,partos atendidos por partera empirica,2015-01-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera empirica,2015-01-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,partos atendidos por partera empirica,2015-01-01,1,1
HUANUNI,atencion de partos en domicilio,partos atendidos por partera empirica,2015-01-01,2,2
IXIAMAS,atencion de partos en domicilio,partos atendidos por partera empirica,2015-01-01,1,1
LAJA,atencion de partos en domicilio,partos atendidos por partera empirica,2015-01-01,1,1
LLALLAGUA,atencion de partos en domicilio,partos atendidos por partera empirica,2015-01-01,3,3
MONTEAGUDO,atencion de partos en domicilio,partos atendidos por partera empirica,2015-01-01,1,1
POCOATA,atencion de partos en domicilio,partos atendidos por partera empirica,2015-01-01,1,1
PUCARANI,atencion de partos en domicilio,partos atendidos por partera empirica,2015-01-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera empirica,2015-01-01,1,1
SACABAMBA,atencion de partos en domicilio,partos atendidos por partera empirica,2015-01-01,1,1
SACACA,atencion de partos en domicilio,partos atendidos por partera empirica,2015-01-01,2,2
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera empirica,2015-01-01,5,5
SAN BUENA VENTURA,atencion de partos en domicilio,partos atendidos por partera empirica,2015-01-01,1,1
SAN CARLOS,atencion de partos en domicilio,partos atendidos por partera empirica,2015-01-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por partera empirica,2015-01-01,2,2
SAN JULIAN,atencion de partos en domicilio,partos atendidos por partera empirica,2015-01-01,1,1
SIPE SIPE,atencion de partos en domicilio,partos atendidos por partera empirica,2015-01-01,1,1
TACOPAYA,atencion de partos en domicilio,partos atendidos por partera empirica,2015-01-01,1,1
