,group,variable,month,L 25.1 TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,L 25.1 TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,L 25.1 TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,L 25.1 TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BERMEJO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-01-01,1,0,0,0,1,0,1
CAPINOTA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-01-01,0,0,0,2,0,2,2
CHARAGUA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-01-01,1,0,1,0,2,0,2
COCHABAMBA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-01-01,1,1,0,0,1,1,2
MONTEAGUDO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-01-01,0,1,0,0,0,1,1
PADILLA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-01-01,0,0,0,1,0,1,1
PORONGO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-01-01,0,1,0,0,0,1,1
SACABA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-01-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-01-01,0,1,0,0,0,1,1
SHINAOTA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-01-01,1,0,0,0,1,0,1
TARABUCO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-01-01,0,0,0,2,0,2,2
TIQUIPAYA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-01-01,0,0,0,1,0,1,1
TUPIZA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-01-01,1,0,0,0,1,0,1
WARNES,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-01-01,0,0,0,1,0,1,1
CAPINOTA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-02-01,0,0,1,0,1,0,1
