,group,variable,month,L 25.4 TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,L 25.4 TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,L 25.4 TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,L 25.4 TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AIQUILE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-01-01,1,5,0,0,1,5,6
CAPINOTA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-01-01,0,0,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),chagas,l 25.4       tratamientos de 15 anos y mas,2012-01-01,0,1,0,0,0,1,1
COCHABAMBA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-01-01,2,4,1,2,3,6,9
EL TORNO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-01-01,0,1,0,0,0,1,1
MONTEAGUDO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-01-01,2,3,0,1,2,4,6
OMEREQUE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-01-01,0,3,0,0,0,3,3
PASORAPA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-01-01,0,0,1,1,1,1,2
SACABA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-01-01,0,0,1,3,1,3,4
SANTA CRUZ DE LA SIERRA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-01-01,1,3,0,1,1,4,5
TARIJA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-01-01,0,0,4,4,4,4,8
TORO TORO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-01-01,1,1,0,0,1,1,2
TUPIZA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-01-01,25,36,17,21,42,57,99
VILLA TUNARI,chagas,l 25.4       tratamientos de 15 anos y mas,2012-01-01,3,5,0,0,3,5,8
AIQUILE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-02-01,1,6,0,0,1,6,7
CAPINOTA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-02-01,0,0,1,0,1,0,1
COCHABAMBA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-02-01,2,0,0,0,2,0,2
