,group,variable,month,L 25.5 TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,L 25.5 TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,L 25.5 TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,L 25.5 TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO.1,FEMENINO.1,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
MONTEAGUDO,chagas,l 25.5       tratamientos en mujeres post parto,2012-01-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
POTOSI,chagas,l 25.5       tratamientos en mujeres post parto,2012-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,chagas,l 25.5       tratamientos en mujeres post parto,2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONTEAGUDO,chagas,l 25.5       tratamientos en mujeres post parto,2012-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SUCRE,chagas,l 25.5       tratamientos en mujeres post parto,2012-03-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
MONTEAGUDO,chagas,l 25.5       tratamientos en mujeres post parto,2012-04-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
TUPIZA,chagas,l 25.5       tratamientos en mujeres post parto,2012-06-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
MONTEAGUDO,chagas,l 25.5       tratamientos en mujeres post parto,2012-07-01,0.0,4.0,0.0,0.0,0.0,4.0,4.0
SANTA CRUZ DE LA SIERRA,chagas,l 25.5       tratamientos en mujeres post parto,2012-07-01,0.0,6.0,0.0,0.0,0.0,6.0,6.0
TUPIZA,chagas,l 25.5       tratamientos en mujeres post parto,2012-07-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
COCHABAMBA,chagas,l 25.5       tratamientos en mujeres post parto,2012-08-01,0.0,2.0,0.0,1.0,0.0,3.0,3.0
MONTEAGUDO,chagas,l 25.5       tratamientos en mujeres post parto,2012-08-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
SANTA CRUZ DE LA SIERRA,chagas,l 25.5       tratamientos en mujeres post parto,2012-08-01,0.0,20.0,0.0,0.0,0.0,20.0,20.0
TUPIZA,chagas,l 25.5       tratamientos en mujeres post parto,2012-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
MONTEAGUDO,chagas,l 25.5       tratamientos en mujeres post parto,2012-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
TUPIZA,chagas,l 25.5       tratamientos en mujeres post parto,2012-09-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
MONTEAGUDO,chagas,l 25.5       tratamientos en mujeres post parto,2012-10-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
TUPIZA,chagas,l 25.5       tratamientos en mujeres post parto,2012-10-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
MONTEAGUDO,chagas,l 25.5       tratamientos en mujeres post parto,2012-11-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
SANTA CRUZ DE LA SIERRA,chagas,l 25.5       tratamientos en mujeres post parto,2012-12-01,0.0,12.0,0.0,0.0,0.0,12.0,12.0
