,group,variable,month,L 25.2 TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,L 25.2 TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,L 25.2 TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,L 25.2 TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CAMARGO,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-01-01,0,0,1,0,1,0,1
COCHABAMBA,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-01-01,0,1,0,0,0,1,1
CUATRO CAÑADAS,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-01-01,1,0,0,0,1,0,1
MONTEAGUDO,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-01-01,1,0,0,0,1,0,1
MONTERO,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-01-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-01-01,0,1,0,1,0,2,2
CAPINOTA,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-02-01,0,1,0,1,0,2,2
COROICO,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-02-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-02-01,0,0,0,1,0,1,1
WARNES,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-02-01,1,0,0,0,1,0,1
AIQUILE,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-03-01,0,1,0,0,0,1,1
COROICO,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-03-01,0,0,0,1,0,1,1
CUATRO CAÑADAS,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-03-01,0,0,1,0,1,0,1
MONTERO,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-03-01,0,1,0,0,0,1,1
