,group,variable,month,L 25.3 TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,L 25.3 TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,L 25.3 TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,L 25.3 TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CLIZA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-01-01,1,0,0,0,1,0,1
COCHABAMBA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-01-01,1,0,0,0,1,0,1
COLQUECHACA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-01-01,0,2,0,0,0,2,2
EL TORNO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-01-01,0,1,1,0,1,1,2
IRUPANA (VILLA DE LANZA),chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-01-01,1,0,0,0,1,0,1
MONTEAGUDO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-01-01,1,2,9,3,10,5,15
MONTERO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-01-01,0,0,0,1,0,1,1
PADILLA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-01-01,0,0,1,0,1,0,1
PAILON,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-01-01,1,0,0,0,1,0,1
PAMPA GRANDE,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-01-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-01-01,0,0,0,0,0,0,0
SUCRE,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-01-01,1,2,0,0,1,2,3
TIQUIPAYA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-01-01,1,0,0,0,1,0,1
TUPIZA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-01-01,2,0,0,0,2,0,2
