,group,variable,month,Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
AIQUILE,rabia,no de personas con esquema reducido completo,2018-01-01,1,0,1,0,1
ARANI,rabia,no de personas con esquema reducido completo,2018-01-01,0,1,0,1,1
ARBIETO,rabia,no de personas con esquema reducido completo,2018-01-01,1,0,1,0,1
BATALLAS,rabia,no de personas con esquema reducido completo,2018-01-01,1,0,1,0,1
BUENA VISTA,rabia,no de personas con esquema reducido completo,2018-01-01,3,1,3,1,4
CABEZAS,rabia,no de personas con esquema reducido completo,2018-01-01,0,1,0,1,1
"CAIZA ""D""",rabia,no de personas con esquema reducido completo,2018-01-01,1,0,1,0,1
CAJUATA,rabia,no de personas con esquema reducido completo,2018-01-01,1,0,1,0,1
CAMIRI,rabia,no de personas con esquema reducido completo,2018-01-01,0,1,0,1,1
CAPINOTA,rabia,no de personas con esquema reducido completo,2018-01-01,1,0,1,0,1
CARANAVI,rabia,no de personas con esquema reducido completo,2018-01-01,1,4,1,4,5
CHALLAPATA,rabia,no de personas con esquema reducido completo,2018-01-01,8,2,8,2,10
CHARAGUA,rabia,no de personas con esquema reducido completo,2018-01-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema reducido completo,2018-01-01,32,22,32,22,54
COLCAPIRHUA,rabia,no de personas con esquema reducido completo,2018-01-01,2,0,2,0,2
"COLCHA ""K""",rabia,no de personas con esquema reducido completo,2018-01-01,1,1,1,1,2
COLLANA,rabia,no de personas con esquema reducido completo,2018-01-01,1,0,1,0,1
COLOMI,rabia,no de personas con esquema reducido completo,2018-01-01,1,0,1,0,1
COPACABANA,rabia,no de personas con esquema reducido completo,2018-01-01,0,2,0,2,2
COTOCA,rabia,no de personas con esquema reducido completo,2018-01-01,10,4,10,4,14
CUATRO CAÑADAS,rabia,no de personas con esquema reducido completo,2018-01-01,3,7,3,7,10
EL ALTO,rabia,no de personas con esquema reducido completo,2018-01-01,98,75,98,75,173
EL TORNO,rabia,no de personas con esquema reducido completo,2018-01-01,1,3,1,3,4
ENTRE RIOS CBBA,rabia,no de personas con esquema reducido completo,2018-01-01,0,1,0,1,1
FERNANDEZ ALONSO,rabia,no de personas con esquema reducido completo,2018-01-01,2,0,2,0,2
GENERAL SAAVEDRA,rabia,no de personas con esquema reducido completo,2018-01-01,1,1,1,1,2
LA GUARDIA,rabia,no de personas con esquema reducido completo,2018-01-01,9,4,9,4,13
LA PAZ,rabia,no de personas con esquema reducido completo,2018-01-01,98,75,98,75,173
LAGUNILLAS,rabia,no de personas con esquema reducido completo,2018-01-01,1,2,1,2,3
LAJA,rabia,no de personas con esquema reducido completo,2018-01-01,1,0,1,0,1
MONTERO,rabia,no de personas con esquema reducido completo,2018-01-01,8,8,8,8,16
MORO MORO,rabia,no de personas con esquema reducido completo,2018-01-01,0,1,0,1,1
MOROCHATA,rabia,no de personas con esquema reducido completo,2018-01-01,1,0,1,0,1
OCURI,rabia,no de personas con esquema reducido completo,2018-01-01,1,0,1,0,1
ORURO,rabia,no de personas con esquema reducido completo,2018-01-01,30,20,30,20,50
PAILON,rabia,no de personas con esquema reducido completo,2018-01-01,2,1,2,1,3
PAZÑA,rabia,no de personas con esquema reducido completo,2018-01-01,1,0,1,0,1
PORONGO,rabia,no de personas con esquema reducido completo,2018-01-01,2,1,2,1,3
PORTACHUELO,rabia,no de personas con esquema reducido completo,2018-01-01,2,7,2,7,9
POTOSI,rabia,no de personas con esquema reducido completo,2018-01-01,2,1,2,1,3
PUCARANI,rabia,no de personas con esquema reducido completo,2018-01-01,1,0,1,0,1
PUERTO CARABUCO,rabia,no de personas con esquema reducido completo,2018-01-01,2,1,2,1,3
QUILLACOLLO,rabia,no de personas con esquema reducido completo,2018-01-01,9,8,9,8,17
SACABA,rabia,no de personas con esquema reducido completo,2018-01-01,4,1,4,1,5
SAN ANDRES,rabia,no de personas con esquema reducido completo,2018-01-01,2,0,2,0,2
SAN CARLOS,rabia,no de personas con esquema reducido completo,2018-01-01,1,0,1,0,1
