,group,variable,month,Nº DE PERSONAS QUE ABANDONARON ESQUEMA CANTIDAD,Nº DE PERSONAS QUE ABANDONARON ESQUEMA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
CHALLAPATA,rabia,no de personas que abandonaron esquema,2018-01-01,4,2,4,2,6
COCHABAMBA,rabia,no de personas que abandonaron esquema,2018-01-01,5,0,5,0,5
CUATRO CAÑADAS,rabia,no de personas que abandonaron esquema,2018-01-01,0,1,0,1,1
EL ALTO,rabia,no de personas que abandonaron esquema,2018-01-01,22,14,22,14,36
LA PAZ,rabia,no de personas que abandonaron esquema,2018-01-01,3,1,3,1,4
MAPIRI,rabia,no de personas que abandonaron esquema,2018-01-01,2,0,2,0,2
MONTERO,rabia,no de personas que abandonaron esquema,2018-01-01,1,0,1,0,1
ORURO,rabia,no de personas que abandonaron esquema,2018-01-01,7,7,7,7,14
PADILLA,rabia,no de personas que abandonaron esquema,2018-01-01,1,0,1,0,1
PALOS BLANCOS,rabia,no de personas que abandonaron esquema,2018-01-01,0,1,0,1,1
PORONGO,rabia,no de personas que abandonaron esquema,2018-01-01,1,0,1,0,1
POTOSI,rabia,no de personas que abandonaron esquema,2018-01-01,12,4,12,4,16
PUERTO CARABUCO,rabia,no de personas que abandonaron esquema,2018-01-01,1,0,1,0,1
PUERTO VILLARROEL,rabia,no de personas que abandonaron esquema,2018-01-01,1,0,1,0,1
SACABA,rabia,no de personas que abandonaron esquema,2018-01-01,2,0,2,0,2
SAN ANDRES,rabia,no de personas que abandonaron esquema,2018-01-01,0,1,0,1,1
SAN PEDRO DE TIQUINA,rabia,no de personas que abandonaron esquema,2018-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2018-01-01,3,2,3,2,5
SUCRE,rabia,no de personas que abandonaron esquema,2018-01-01,22,23,22,23,45
TARIJA,rabia,no de personas que abandonaron esquema,2018-01-01,1,11,1,11,12
TIPUANI,rabia,no de personas que abandonaron esquema,2018-01-01,1,1,1,1,2
TRINIDAD,rabia,no de personas que abandonaron esquema,2018-01-01,5,0,5,0,5
UYUNI,rabia,no de personas que abandonaron esquema,2018-01-01,4,1,4,1,5
VIACHA,rabia,no de personas que abandonaron esquema,2018-01-01,1,0,1,0,1
VINTO,rabia,no de personas que abandonaron esquema,2018-01-01,2,1,2,1,3
CABEZAS,rabia,no de personas que abandonaron esquema,2018-02-01,1,0,1,0,1
CHALLAPATA,rabia,no de personas que abandonaron esquema,2018-02-01,4,2,4,2,6
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas que abandonaron esquema,2018-02-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2018-02-01,3,1,3,1,4
EL ALTO,rabia,no de personas que abandonaron esquema,2018-02-01,21,13,21,13,34
ESCOMA,rabia,no de personas que abandonaron esquema,2018-02-01,1,0,1,0,1
GUANAY,rabia,no de personas que abandonaron esquema,2018-02-01,1,0,1,0,1
LA PAZ,rabia,no de personas que abandonaron esquema,2018-02-01,10,5,10,5,15
ORURO,rabia,no de personas que abandonaron esquema,2018-02-01,10,7,10,7,17
PAILON,rabia,no de personas que abandonaron esquema,2018-02-01,0,1,0,1,1
POTOSI,rabia,no de personas que abandonaron esquema,2018-02-01,7,14,7,14,21
PUNATA,rabia,no de personas que abandonaron esquema,2018-02-01,0,1,0,1,1
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2018-02-01,2,3,2,3,5
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2018-02-01,0,2,0,2,2
SUCRE,rabia,no de personas que abandonaron esquema,2018-02-01,27,9,27,9,36
TARIJA,rabia,no de personas que abandonaron esquema,2018-02-01,4,5,4,5,9
TIPUANI,rabia,no de personas que abandonaron esquema,2018-02-01,2,0,2,0,2
TRINIDAD,rabia,no de personas que abandonaron esquema,2018-02-01,4,5,4,5,9
UYUNI,rabia,no de personas que abandonaron esquema,2018-02-01,3,1,3,1,4
VALLEGRANDE,rabia,no de personas que abandonaron esquema,2018-02-01,1,0,1,0,1
VILLAZON,rabia,no de personas que abandonaron esquema,2018-02-01,2,1,2,1,3
