,group,variable,month,Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,rabia,no de personas con vacuna antirrabica,2018-01-01,0,1,0,1,1
AIQUILE,rabia,no de personas con vacuna antirrabica,2018-01-01,1,0,1,0,1
ANCORAIMES,rabia,no de personas con vacuna antirrabica,2018-01-01,0,1,0,1,1
ARANI,rabia,no de personas con vacuna antirrabica,2018-01-01,0,1,0,1,1
ASCENCION DE GUARAYOS,rabia,no de personas con vacuna antirrabica,2018-01-01,0,4,0,4,4
ATOCHA,rabia,no de personas con vacuna antirrabica,2018-01-01,1,0,1,0,1
BOYUIBE,rabia,no de personas con vacuna antirrabica,2018-01-01,1,0,1,0,1
BUENA VISTA,rabia,no de personas con vacuna antirrabica,2018-01-01,3,1,3,1,4
CABEZAS,rabia,no de personas con vacuna antirrabica,2018-01-01,3,1,3,1,4
"CAIZA ""D""",rabia,no de personas con vacuna antirrabica,2018-01-01,1,0,1,0,1
CAJUATA,rabia,no de personas con vacuna antirrabica,2018-01-01,1,0,1,0,1
CAMIRI,rabia,no de personas con vacuna antirrabica,2018-01-01,1,0,1,0,1
CAPINOTA,rabia,no de personas con vacuna antirrabica,2018-01-01,0,1,0,1,1
CARANAVI,rabia,no de personas con vacuna antirrabica,2018-01-01,2,1,2,1,3
CARAPARI,rabia,no de personas con vacuna antirrabica,2018-01-01,2,0,2,0,2
CLIZA,rabia,no de personas con vacuna antirrabica,2018-01-01,3,2,3,2,5
COCHABAMBA,rabia,no de personas con vacuna antirrabica,2018-01-01,59,35,59,35,94
COLCAPIRHUA,rabia,no de personas con vacuna antirrabica,2018-01-01,3,1,3,1,4
"COLCHA ""K""",rabia,no de personas con vacuna antirrabica,2018-01-01,1,1,1,1,2
COLLANA,rabia,no de personas con vacuna antirrabica,2018-01-01,1,0,1,0,1
COLQUECHACA,rabia,no de personas con vacuna antirrabica,2018-01-01,0,1,0,1,1
COMARAPA,rabia,no de personas con vacuna antirrabica,2018-01-01,1,1,1,1,2
CONCEPCION,rabia,no de personas con vacuna antirrabica,2018-01-01,3,1,3,1,4
COPACABANA,rabia,no de personas con vacuna antirrabica,2018-01-01,0,1,0,1,1
CORIPATA,rabia,no de personas con vacuna antirrabica,2018-01-01,2,1,2,1,3
COTAGAITA,rabia,no de personas con vacuna antirrabica,2018-01-01,0,1,0,1,1
COTOCA,rabia,no de personas con vacuna antirrabica,2018-01-01,13,8,13,8,21
CUATRO CAÑADAS,rabia,no de personas con vacuna antirrabica,2018-01-01,3,5,3,5,8
EL ALTO,rabia,no de personas con vacuna antirrabica,2018-01-01,172,147,172,147,319
EL TORNO,rabia,no de personas con vacuna antirrabica,2018-01-01,4,4,4,4,8
ENTRE RIOS CBBA,rabia,no de personas con vacuna antirrabica,2018-01-01,0,1,0,1,1
ESCOMA,rabia,no de personas con vacuna antirrabica,2018-01-01,1,0,1,0,1
FERNANDEZ ALONSO,rabia,no de personas con vacuna antirrabica,2018-01-01,2,0,2,0,2
GENERAL SAAVEDRA,rabia,no de personas con vacuna antirrabica,2018-01-01,1,1,1,1,2
GRAL. J.J. PEREZ (CHARAZANI),rabia,no de personas con vacuna antirrabica,2018-01-01,1,0,1,0,1
GUANAY,rabia,no de personas con vacuna antirrabica,2018-01-01,0,2,0,2,2
GUTIERREZ,rabia,no de personas con vacuna antirrabica,2018-01-01,1,0,1,0,1
LA ASUNTA,rabia,no de personas con vacuna antirrabica,2018-01-01,2,0,2,0,2
LA GUARDIA,rabia,no de personas con vacuna antirrabica,2018-01-01,30,27,30,27,57
LA PAZ,rabia,no de personas con vacuna antirrabica,2018-01-01,149,139,149,139,288
LLALLAGUA,rabia,no de personas con vacuna antirrabica,2018-01-01,0,1,0,1,1
MAIRANA,rabia,no de personas con vacuna antirrabica,2018-01-01,0,2,0,2,2
MAPIRI,rabia,no de personas con vacuna antirrabica,2018-01-01,2,0,2,0,2
MONTERO,rabia,no de personas con vacuna antirrabica,2018-01-01,11,11,11,11,22
