,group,variable,month,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ARBIETO,rabia,no de personas con esquema clasico completo,2018-01-01,1,0,1,0,1
AZURDUY,rabia,no de personas con esquema clasico completo,2018-01-01,1,0,1,0,1
BAURES,rabia,no de personas con esquema clasico completo,2018-01-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2018-01-01,3,2,3,2,5
COTOCA,rabia,no de personas con esquema clasico completo,2018-01-01,1,0,1,0,1
CUATRO CAÑADAS,rabia,no de personas con esquema clasico completo,2018-01-01,1,1,1,1,2
EL ALTO,rabia,no de personas con esquema clasico completo,2018-01-01,29,22,29,22,51
LA GUARDIA,rabia,no de personas con esquema clasico completo,2018-01-01,1,2,1,2,3
LA PAZ,rabia,no de personas con esquema clasico completo,2018-01-01,3,5,3,5,8
MONTERO,rabia,no de personas con esquema clasico completo,2018-01-01,0,1,0,1,1
OCURI,rabia,no de personas con esquema clasico completo,2018-01-01,0,1,0,1,1
ORURO,rabia,no de personas con esquema clasico completo,2018-01-01,0,4,0,4,4
PADILLA,rabia,no de personas con esquema clasico completo,2018-01-01,2,0,2,0,2
PORONGO,rabia,no de personas con esquema clasico completo,2018-01-01,0,3,0,3,3
POTOSI,rabia,no de personas con esquema clasico completo,2018-01-01,19,10,19,10,29
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2018-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2018-01-01,22,18,22,18,40
SANTIAGO DE HUATA,rabia,no de personas con esquema clasico completo,2018-01-01,1,0,1,0,1
SUCRE,rabia,no de personas con esquema clasico completo,2018-01-01,12,12,12,12,24
TRINIDAD,rabia,no de personas con esquema clasico completo,2018-01-01,11,5,11,5,16
UYUNI,rabia,no de personas con esquema clasico completo,2018-01-01,3,3,3,3,6
VILLA MONTES,rabia,no de personas con esquema clasico completo,2018-01-01,1,0,1,0,1
VILLA TUNARI,rabia,no de personas con esquema clasico completo,2018-01-01,1,0,1,0,1
VILLAZON,rabia,no de personas con esquema clasico completo,2018-01-01,1,3,1,3,4
ACHOCALLA,rabia,no de personas con esquema clasico completo,2018-02-01,1,0,1,0,1
CARAPARI,rabia,no de personas con esquema clasico completo,2018-02-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas con esquema clasico completo,2018-02-01,2,0,2,0,2
COCHABAMBA,rabia,no de personas con esquema clasico completo,2018-02-01,2,7,2,7,9
COLCAPIRHUA,rabia,no de personas con esquema clasico completo,2018-02-01,0,1,0,1,1
COTOCA,rabia,no de personas con esquema clasico completo,2018-02-01,1,0,1,0,1
EL ALTO,rabia,no de personas con esquema clasico completo,2018-02-01,7,9,7,9,16
EL TORNO,rabia,no de personas con esquema clasico completo,2018-02-01,0,1,0,1,1
ESCOMA,rabia,no de personas con esquema clasico completo,2018-02-01,0,1,0,1,1
GUTIERREZ,rabia,no de personas con esquema clasico completo,2018-02-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2018-02-01,9,5,9,5,14
LA PAZ,rabia,no de personas con esquema clasico completo,2018-02-01,3,1,3,1,4
LLALLAGUA,rabia,no de personas con esquema clasico completo,2018-02-01,0,1,0,1,1
MONTERO,rabia,no de personas con esquema clasico completo,2018-02-01,3,1,3,1,4
OCURI,rabia,no de personas con esquema clasico completo,2018-02-01,0,1,0,1,1
ORURO,rabia,no de personas con esquema clasico completo,2018-02-01,4,4,4,4,8
PORONGO,rabia,no de personas con esquema clasico completo,2018-02-01,1,1,1,1,2
PUERTO CARABUCO,rabia,no de personas con esquema clasico completo,2018-02-01,0,1,0,1,1
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2018-02-01,1,0,1,0,1
SAN IGNACIO,rabia,no de personas con esquema clasico completo,2018-02-01,2,3,2,3,5
SAN IGNACIO DE VELASCO,rabia,no de personas con esquema clasico completo,2018-02-01,1,0,1,0,1
