,group,variable,month,ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
AIQUILE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,0,2,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,9,0,9
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,3,1,4
COROICO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,30,2,32
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,2,0,2
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,5,1,6
HUANUNI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,1,0,1
HUAYLLAMARCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,0,1,1
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,0,1,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,0,1,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,4,0,4
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,9,2,11
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,2,0,2
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,22,0,22
POCONA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,2,2,4
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,4,0,4
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,2,2,4
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,2,0,2
ROBORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,0,5,5
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,6,13,19
SACACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,0,6,6
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,132,0,132
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,2,0,2
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,6,0,6
TAPACARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,0,4,4
TOLATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,5,0,5
VILLAZON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-01-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,0,10,10
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,2,9,11
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,1,0,1
COMARAPA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,0,2,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,18,4,22
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,0,1,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,0,1,1
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,18,7,25
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,2,0,2
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,4,0,4
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,3,0,3
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,3,0,3
ROBORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,2,3,5
SACACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,0,3,3
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,2,22,24
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,1,0,1
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,30,22,52
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,4,0,4
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,6,1,7
TOCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,0,3,3
VIACHA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,2,0,2
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,3,0,3
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,3,0,3
WARNES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,3,0,3
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-02-01,1,1,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,1,2,3
CHAQUI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,2,0,2
COBIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,4,2,6
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,11,10,21
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,0,5,5
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,10,0,10
COMARAPA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,0,3,3
COROICO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,1,0,1
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,21,1,22
