,group,variable,month,ANTIPOLIOMIELÍTICA 3RA DOSIS CANTIDAD,ANTIPOLIOMIELÍTICA 3RA DOSIS CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
AIQUILE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,0,1,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,4,0,4
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,2,2,4
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,77,0,77
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,21,0,21
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,30,5,35
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,0,1,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,33,9,42
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,2,0,2
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,0,1,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,5,1,6
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,25,0,25
PAILON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,2,0,2
PAZÑA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,2,0,2
POCONA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,5,4,9
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,3,0,3
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,2,6,8
ROBORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,0,1,1
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,3,9,12
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,3,0,3
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,5,0,5
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,94,0,94
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,1,1,2
TAPACARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,0,2,2
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,1,0,1
UNCIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,2,4,6
VILLAZON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-01-01,2,0,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,5,0,5
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,12,0,12
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,0,2,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,33,1,34
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,1,0,1
ESCOMA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,0,1,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,0,2,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,42,0,42
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,1,0,1
MACHARETI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,1,0,1
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,2,0,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,7,1,8
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,5,1,6
PAILON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,0,25,25
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,1,0,1
PORVENIR,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,4,1,5
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,4,0,4
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,1,0,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,2,1,3
ROBORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,6,0,6
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,1,0,1
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,0,5,5
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,2,0,2
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,0,3,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,27,32,59
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,1,3,4
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,2,1,3
TAPACARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,0,1,1
TARATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,1,2,3
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,1,3,4
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,2,0,2
VILLAZON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,2,0,2
WARNES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,1,0,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-02-01,0,1,1
ALALAY,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-03-01,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-03-01,1,0,1
ATOCHA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-03-01,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2011-03-01,0,1,1
