,group,variable,month,DPT 4TA DOSIS CANTIDAD,DPT 4TA DOSIS CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,0,90,90
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,1,0,1
AIQUILE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,14,0,14
ALCALA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,2,1,3
ARQUE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,1,0,1
BAURES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,2,0,2
BERMEJO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,18,0,18
BETANZOS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,1,0,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,1,2,3
CAJUATA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,9,6,15
CALACOTO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,6,0,6
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,1,0,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,32,23,55
CARANAVI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,24,0,24
CARANGAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,0,3,3
CARAPARI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,1,1,2
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,5,16,21
CHAQUI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,0,10,10
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,1,0,1
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,0,6,6
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,1,6,7
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,0,16,16
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,32,1,33
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,317,10,327
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,42,0,42
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,5,1,6
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,0,14,14
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,22,17,39
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,20,0,20
CORO CORO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,3,11,14
COROICO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,23,1,24
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,414,20,434
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,15,0,15
EL TORNO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,40,3,43
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,7,4,11
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,3,0,3
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,5,0,5
GUAQUI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,0,3,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,79,84,163
HUANUNI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,9,0,9
HUAYLLAMARCA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,1,6,7
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,10,20,30
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,4,24,28
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,7,0,7
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,9,0,9
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,137,73,210
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,9,6,15
LAS CARRERAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,3,0,3
LICOMA PAMPA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,1,0,1
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,33,118,151
LURIBAY,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,2,2,4
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,16,0,16
MAIRANA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,10,2,12
MIZQUE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,7,16,23
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,0,1,1
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,14,0,14
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,25,1,26
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,4,18,22
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,191,0,191
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,3,0,3
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,5,0,5
POCOATA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,0,4,4
POCONA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,3,19,22
POOPO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,2,0,2
PORVENIR,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,156,0,156
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,34,0,34
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,12,1,13
PUNATA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,2,1,3
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,23,22,45
QUIME,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,2,2,4
QUIRUSILLAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,0,1,1
RAVELO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,0,59,59
REYES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,25,0,25
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,35,0,35
ROBORE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,0,5,5
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,33,5,38
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,0,4,4
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,20,0,20
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,0,3,3
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,0,7,7
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,27,1,28
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,55,4,59
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,85,5,90
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,1,0,1
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,2,7,9
