,group,variable,month,SRP DOSIS ÚNICA CANTIDAD,SRP DOSIS ÚNICA CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,2,0,2
AIQUILE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,5,0,5
ATOCHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,1,1,2
BETANZOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,0,2,2
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,2,0,2
CARANAVI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,0,1,1
CARIPUYO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,0,6,6
CHIMORE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,3,0,3
CHUMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,2,2,4
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,46,5,51
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,1,0,1
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,3,0,3
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,2,2,4
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,4,1,5
COROICO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,2,0,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,4,0,4
EL ALTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,88,7,95
EL TORNO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,2,0,2
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,0,8,8
HUANUNI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,4,0,4
HUMANATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,1,0,1
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,20,0,20
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,10,0,10
LA PAZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,66,0,66
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,36,196,232
LORETO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,0,2,2
MIZQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,0,2,2
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,5,0,5
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,0,2,2
ORURO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,20,0,20
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,1,0,1
PASORAPA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,1,0,1
POROMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,1,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,10,0,10
PUCARANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,3,1,4
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,0,2,2
PUERTO SILES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,1,3,4
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,1,0,1
PUNA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,2,6,8
PUNATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,12,7,19
REYES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,1,0,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,0,1,1
SABAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,5,6,11
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,0,2,2
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,2,0,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,1,0,1
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,0,1,1
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,2,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,1,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,1,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,2,0,2
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,0,3,3
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,2,13,15
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,98,0,98
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,2,0,2
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,1,2,3
SUCRE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,7,0,7
TACACOMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,1,0,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,14,0,14
TARVITA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,0,1,1
TEOPONTE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,1,0,1
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,0,1,1
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,15,18,33
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,12,4,16
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,0,3,3
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,12,1,13
UYUNI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,1,12,13
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,4,0,4
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,4,1,5
VILLAZON,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,2,0,2
WARNES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,1,0,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,3,0,3
YAPACANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-01-01,0,2,2
ACACIO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,2,9,11
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,1,2,3
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,1,1
ANZALDO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,3,3
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,2,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,8,0,8
ATOCHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,3,2,5
AYATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,1,13,14
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,34,34
AZURDUY,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,1,1,2
BELEN DE URMIRI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,27,27
