,group,variable,month,ANTIPOLIOMIELÍTICA 1RA DOSIS CANTIDAD,ANTIPOLIOMIELÍTICA 1RA DOSIS CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,1,0,1
ATOCHA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,4,10,14
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,0,7,7
CARAPARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,3,0,3
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,0,1,1
CHUMA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,0,1,1
CLIZA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,40,1,41
COBIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,10,0,10
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,41,0,41
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,24,0,24
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,0,1,1
COMARAPA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,16,0,16
COPACABANA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,1,0,1
COROICO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,0,9,9
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,27,2,29
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,5,0,5
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,10,0,10
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,1,7,8
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,1,4,5
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,1,13,14
HUMANATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,5,0,5
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,70,1,71
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,1,0,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,102,0,102
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,12,0,12
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,0,7,7
OKINAWA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,1,0,1
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,8,0,8
PALCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,0,30,30
PATACAMAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,0,2,2
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,2,0,2
PUCARANI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,4,0,4
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,29,21,50
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,2,2,4
PUNA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,3,0,3
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,1,0,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,16,0,16
ROBORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,1,11,12
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,13,8,21
SACACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,0,6,6
SAIPINA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,0,2,2
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,2,1,3
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,2,8,10
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,1,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,0,1,1
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,9,0,9
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,2,0,2
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,2,0,2
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,12,0,12
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,292,6,298
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,2,1,3
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,1,0,1
SENA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,3,2,5
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,8,0,8
TAPACARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,3,23,26
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,9,5,14
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,49,5,54
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,0,3,3
TOMAVE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,7,0,7
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,1,0,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,7,0,7
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,7,4,11
VINTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,5,2,7
VITICHI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,0,3,3
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-01-01,6,0,6
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-02-01,2,0,2
ARQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-02-01,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-02-01,3,0,3
ATOCHA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-02-01,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-02-01,0,7,7
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-02-01,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-02-01,1,0,1
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-02-01,1,0,1
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-02-01,5,0,5
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2011-02-01,3,0,3
