,group,variable,month,DPT 3RA DOSIS CANTIDAD,DPT 3RA DOSIS CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
AIQUILE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,0,1,1
ARQUE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,3,0,3
BELEN DE ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,4,0,4
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,2,2,4
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,16,0,16
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,21,0,21
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,0,2,2
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,37,5,42
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,0,1,1
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,3,0,3
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,41,12,53
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,0,28,28
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,0,1,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,5,0,5
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,25,0,25
PAILON,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,2,0,2
PAPEL PAMPA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,1,0,1
PAZÑA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,2,0,2
POCONA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,0,2,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,4,0,4
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,2,6,8
ROBORE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,0,1,1
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,3,5,8
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,3,0,3
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,2,0,2
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,1,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,0,1,1
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,1,0,1
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,120,0,120
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,50,0,50
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,3,0,3
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,11,1,12
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,0,2,2
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,6,0,6
UNCIA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,2,4,6
VILLAZON,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,2,0,2
YAPACANI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,0,1,1
YOTALA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-01-01,1,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,0,2,2
CAJUATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,0,4,4
CARANAVI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,3,0,3
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,8,4,12
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,22,0,22
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,0,2,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,37,2,39
ESCOMA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,0,1,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,0,5,5
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,31,12,43
MACHARETI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,1,0,1
MIZQUE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,2,2,4
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,2,0,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,9,1,10
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,5,1,6
PAILON,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,0,25,25
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,1,0,1
PORVENIR,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,4,1,5
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,4,0,4
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,1,0,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,2,2,4
ROBORE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,6,0,6
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,0,9,9
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,1,1,2
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,0,5,5
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,3,0,3
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,0,3,3
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,48,19,67
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,1,4,5
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,2,0,2
TARATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,2,3,5
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,2,0,2
