,group,variable,month,ANTI AMARÍLICA CANTIDAD,ANTI AMARÍLICA CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
AIQUILE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,1,0,1
ARBIETO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,0,2,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,1,0,1
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,1,0,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,3,0,3
CARANAVI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,1,3,4
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,1,2,3
CHIMORE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,6,1,7
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,0,3,3
CHUMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,1,0,1
CLIZA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,5,1,6
COBIJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,2,3,5
COCAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,5,2,7
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,135,4,139
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,1,1,2
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,8,0,8
COTOCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,7,2,9
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,107,5,112
EL TORNO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,13,3,16
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,0,1,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,4,0,4
HUARINA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,0,1,1
HUMANATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,1,0,1
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,0,3,3
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,0,1,1
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,15,0,15
LA PAZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,51,0,51
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,7,4,11
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,2,2,4
MINEROS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,0,1,1
MIZQUE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,9,2,11
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,3,6,9
MONTERO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,15,0,15
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,2,10,12
ORURO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,37,0,37
PAILON,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,1,2,3
PALCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,0,2,2
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,12,3,15
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,2,0,2
POCONA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,0,2,2
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,0,1,1
POOPO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,0,1,1
POROMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,2,2,4
POTOSI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,1,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,24,0,24
PUNATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,3,0,3
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,3,0,3
REYES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,6,0,6
ROBORE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,0,1,1
SACABA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,13,0,13
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,0,5,5
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,0,3,3
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,0,3,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,2,0,2
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,2,0,2
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,1,1,2
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,0,1,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,142,0,142
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,1,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,0,3,3
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,2,0,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,19,1,20
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,3,0,3
TAPACARI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,0,3,3
TARACO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,0,2,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,6,1,7
TARVITA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,0,1,1
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,1,3,4
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,1,11,12
TIPUANI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,15,0,15
TOMAVE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,0,1,1
TORO TORO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,0,5,5
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,12,1,13
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,7,4,11
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,8,0,8
VILLAZON,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,0,3,3
VINTO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,38,0,38
WARNES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,1,0,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,8,0,8
YAMPARAEZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,1,2,3
YAPACANI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-01-01,1,1,2
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,1,4,5
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,2,2
ARBIETO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,3,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,15,1,16
ATOCHA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,1,1
AYO AYO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,2,2
