,group,variable,month,DPT 1RA DOSIS CANTIDAD,DPT 1RA DOSIS CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,11,0,11
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,3,0,3
ARQUE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,4,6,10
ATOCHA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,4,10,14
AYATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,0,3,3
AYO AYO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,0,7,7
AZURDUY,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,0,1,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,4,14,18
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,11,0,11
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,2,3,5
CARANAVI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,7,3,10
CARAPARI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,3,2,5
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,0,1,1
CLIZA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,40,1,41
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,10,0,10
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,64,0,64
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,30,0,30
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,0,1,1
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,5,0,5
COMARAPA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,16,0,16
COPACABANA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,1,0,1
CORO CORO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,1,0,1
COROICO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,1,0,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,3,20,23
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,135,2,137
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,10,0,10
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,10,17,27
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,1,7,8
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,5,0,5
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,1,4,5
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,1,13,14
HUMANATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,1,0,1
ICHOCA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,0,8,8
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,23,20,43
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,0,2,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,6,2,8
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,177,8,185
MINEROS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,102,0,102
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,4,1,5
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,12,1,13
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,0,7,7
OKINAWA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,1,0,1
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,8,0,8
PALCA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,0,30,30
PAPEL PAMPA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,1,0,1
PATACAMAYA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,0,2,2
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,4,0,4
POROMA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,2,0,2
PUCARANI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,4,6,10
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,1,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,29,21,50
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,2,2,4
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,1,0,1
RAVELO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,0,3,3
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,39,0,39
ROBORE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,1,11,12
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,0,1,1
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,16,1,17
SAIPINA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,0,2,2
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,2,1,3
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,2,8,10
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,0,1,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,4,0,4
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,36,13,49
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,1,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,11,11,22
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,2,0,2
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,1,0,1
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,0,4,4
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,1,7,8
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,12,0,12
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,13,0,13
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,373,18,391
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,4,5,9
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,1,0,1
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,1,0,1
SENA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,3,2,5
SORATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,10,20,30
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,60,0,60
TAPACARI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,15,33,48
TEOPONTE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,0,5,5
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,12,7,19
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,49,5,54
