,group,variable,month,DPT 2DA DOSIS CANTIDAD,DPT 2DA DOSIS CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
AIQUILE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,1,1,2
ARQUE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,7,0,7
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,0,2,2
BETANZOS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,0,5,5
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,0,7,7
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,1,0,1
CARAPARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,0,2,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,10,0,10
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,3,1,4
COROICO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,1,0,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,5,0,5
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,39,2,41
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,2,0,2
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,5,1,6
HUANUNI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,1,0,1
HUAYLLAMARCA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,0,1,1
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,0,1,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,0,1,1
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,2,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,5,0,5
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,15,5,20
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,1,1,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,2,0,2
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,22,0,22
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,4,0,4
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,2,2,4
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,25,4,29
ROBORE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,0,5,5
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,12,5,17
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,6,0,6
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,1,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,0,2,2
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,2,0,2
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,6,0,6
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,265,0,265
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,2,3,5
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,3,0,3
TEOPONTE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,0,2,2
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,0,3,3
TOCO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,1,8,9
TOLATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,0,1,1
TORO TORO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,2,8,10
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,5,0,5
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,0,1,1
VILLAZON,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,8,2,10
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,1,0,1
YAPACANI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-01-01,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,0,10,10
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,0,5,5
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,7,1,8
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,1,0,1
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,2,5,7
COMARAPA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,1,0,1
CORO CORO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,5,2,7
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,0,2,2
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,0,47,47
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,27,4,31
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,0,1,1
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,1,0,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,0,21,21
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,42,16,58
MIZQUE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,22,3,25
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,3,1,4
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,5,0,5
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,3,0,3
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,4,0,4
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,3,0,3
RAVELO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,0,6,6
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,5,0,5
ROBORE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,2,3,5
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,2,22,24
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,0,4,4
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,0,4,4
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,48,7,55
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,0,1,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,0,2,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,6,2,8
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,1,0,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,2,0,2
