,group,variable,month,TOTAL Nº DE PERSONAS QUE ABANDONARON ESQUEMA CANTIDAD,TOTAL Nº DE PERSONAS QUE ABANDONARON ESQUEMA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,rabia,total no de personas que abandonaron esquema,2015-01-01,7,0,7,0,7
ATOCHA,rabia,total no de personas que abandonaron esquema,2015-01-01,1,0,1,0,1
CARAPARI,rabia,total no de personas que abandonaron esquema,2015-01-01,1,1,1,1,2
CHALLAPATA,rabia,total no de personas que abandonaron esquema,2015-01-01,4,3,4,3,7
COCHABAMBA,rabia,total no de personas que abandonaron esquema,2015-01-01,0,2,0,2,2
CUATRO CAÑADAS,rabia,total no de personas que abandonaron esquema,2015-01-01,1,1,1,1,2
EL ALTO,rabia,total no de personas que abandonaron esquema,2015-01-01,10,11,10,11,21
EL TORNO,rabia,total no de personas que abandonaron esquema,2015-01-01,2,0,2,0,2
LA PAZ,rabia,total no de personas que abandonaron esquema,2015-01-01,22,13,22,13,35
MONTERO,rabia,total no de personas que abandonaron esquema,2015-01-01,1,0,1,0,1
OKINAWA,rabia,total no de personas que abandonaron esquema,2015-01-01,1,0,1,0,1
ORURO,rabia,total no de personas que abandonaron esquema,2015-01-01,4,3,4,3,7
QUILLACOLLO,rabia,total no de personas que abandonaron esquema,2015-01-01,1,0,1,0,1
SAN ANDRES DE MACHACA,rabia,total no de personas que abandonaron esquema,2015-01-01,0,1,0,1,1
SAN JULIAN,rabia,total no de personas que abandonaron esquema,2015-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,total no de personas que abandonaron esquema,2015-01-01,1,0,1,0,1
SUCRE,rabia,total no de personas que abandonaron esquema,2015-01-01,4,0,4,0,4
TARIJA,rabia,total no de personas que abandonaron esquema,2015-01-01,1,1,1,1,2
TOLATA,rabia,total no de personas que abandonaron esquema,2015-01-01,1,0,1,0,1
TRINIDAD,rabia,total no de personas que abandonaron esquema,2015-01-01,2,0,2,0,2
UYUNI,rabia,total no de personas que abandonaron esquema,2015-01-01,1,2,1,2,3
VALLEGRANDE,rabia,total no de personas que abandonaron esquema,2015-01-01,2,0,2,0,2
VILLA SERRANO,rabia,total no de personas que abandonaron esquema,2015-01-01,0,1,0,1,1
VILLAZON,rabia,total no de personas que abandonaron esquema,2015-01-01,1,1,1,1,2
ACHACACHI,rabia,total no de personas que abandonaron esquema,2015-02-01,1,1,1,1,2
ASCENCION DE GUARAYOS,rabia,total no de personas que abandonaron esquema,2015-02-01,1,0,1,0,1
BERMEJO,rabia,total no de personas que abandonaron esquema,2015-02-01,1,0,1,0,1
CARANAVI,rabia,total no de personas que abandonaron esquema,2015-02-01,1,2,1,2,3
CHULUMANI (V. DE LA LIBERTAD),rabia,total no de personas que abandonaron esquema,2015-02-01,1,0,1,0,1
COCHABAMBA,rabia,total no de personas que abandonaron esquema,2015-02-01,3,1,3,1,4
CUATRO CAÑADAS,rabia,total no de personas que abandonaron esquema,2015-02-01,1,0,1,0,1
EL ALTO,rabia,total no de personas que abandonaron esquema,2015-02-01,5,9,5,9,14
EL TORNO,rabia,total no de personas que abandonaron esquema,2015-02-01,1,1,1,1,2
LA GUARDIA,rabia,total no de personas que abandonaron esquema,2015-02-01,0,1,0,1,1
LA PAZ,rabia,total no de personas que abandonaron esquema,2015-02-01,15,18,15,18,33
ORURO,rabia,total no de personas que abandonaron esquema,2015-02-01,6,4,6,4,10
PORTACHUELO,rabia,total no de personas que abandonaron esquema,2015-02-01,1,0,1,0,1
QUILLACOLLO,rabia,total no de personas que abandonaron esquema,2015-02-01,3,0,3,0,3
SACABA,rabia,total no de personas que abandonaron esquema,2015-02-01,1,0,1,0,1
SAN IGNACIO,rabia,total no de personas que abandonaron esquema,2015-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,total no de personas que abandonaron esquema,2015-02-01,2,0,2,0,2
SUCRE,rabia,total no de personas que abandonaron esquema,2015-02-01,13,0,13,0,13
TARIJA,rabia,total no de personas que abandonaron esquema,2015-02-01,0,1,0,1,1
TRINIDAD,rabia,total no de personas que abandonaron esquema,2015-02-01,5,2,5,2,7
