,group,variable,month,TOTAL Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,TOTAL Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ATOCHA,rabia,total no de personas con esquema clasico completo,2015-01-01,1,0,1,0,1
CABEZAS,rabia,total no de personas con esquema clasico completo,2015-01-01,1,0,1,0,1
CAMIRI,rabia,total no de personas con esquema clasico completo,2015-01-01,0,1,0,1,1
CARANAVI,rabia,total no de personas con esquema clasico completo,2015-01-01,1,0,1,0,1
CARAPARI,rabia,total no de personas con esquema clasico completo,2015-01-01,4,2,4,2,6
COCHABAMBA,rabia,total no de personas con esquema clasico completo,2015-01-01,2,5,2,5,7
EL ALTO,rabia,total no de personas con esquema clasico completo,2015-01-01,21,11,21,11,32
EL TORNO,rabia,total no de personas con esquema clasico completo,2015-01-01,0,2,0,2,2
LA GUARDIA,rabia,total no de personas con esquema clasico completo,2015-01-01,1,0,1,0,1
LA PAZ,rabia,total no de personas con esquema clasico completo,2015-01-01,1,0,1,0,1
MACHACAMARCA,rabia,total no de personas con esquema clasico completo,2015-01-01,1,0,1,0,1
ORURO,rabia,total no de personas con esquema clasico completo,2015-01-01,1,1,1,1,2
PAILON,rabia,total no de personas con esquema clasico completo,2015-01-01,0,2,0,2,2
POTOSI,rabia,total no de personas con esquema clasico completo,2015-01-01,10,23,10,23,33
PUERTO QUIJARRO,rabia,total no de personas con esquema clasico completo,2015-01-01,0,1,0,1,1
PUNA,rabia,total no de personas con esquema clasico completo,2015-01-01,0,1,0,1,1
RURRENABAQUE,rabia,total no de personas con esquema clasico completo,2015-01-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con esquema clasico completo,2015-01-01,32,21,32,21,53
SHINAOTA,rabia,total no de personas con esquema clasico completo,2015-01-01,1,0,1,0,1
TRINIDAD,rabia,total no de personas con esquema clasico completo,2015-01-01,27,18,27,18,45
UYUNI,rabia,total no de personas con esquema clasico completo,2015-01-01,1,2,1,2,3
VIACHA,rabia,total no de personas con esquema clasico completo,2015-01-01,1,0,1,0,1
VILLA MONTES,rabia,total no de personas con esquema clasico completo,2015-01-01,1,0,1,0,1
VILLA SERRANO,rabia,total no de personas con esquema clasico completo,2015-01-01,1,1,1,1,2
VILLAZON,rabia,total no de personas con esquema clasico completo,2015-01-01,1,2,1,2,3
YAPACANI,rabia,total no de personas con esquema clasico completo,2015-01-01,0,1,0,1,1
ARBIETO,rabia,total no de personas con esquema clasico completo,2015-02-01,0,1,0,1,1
BERMEJO,rabia,total no de personas con esquema clasico completo,2015-02-01,1,0,1,0,1
CAMIRI,rabia,total no de personas con esquema clasico completo,2015-02-01,1,0,1,0,1
CARAPARI,rabia,total no de personas con esquema clasico completo,2015-02-01,3,1,3,1,4
COCHABAMBA,rabia,total no de personas con esquema clasico completo,2015-02-01,1,2,1,2,3
EL ALTO,rabia,total no de personas con esquema clasico completo,2015-02-01,14,8,14,8,22
EL TORNO,rabia,total no de personas con esquema clasico completo,2015-02-01,0,1,0,1,1
LA PAZ,rabia,total no de personas con esquema clasico completo,2015-02-01,6,6,6,6,12
LLALLAGUA,rabia,total no de personas con esquema clasico completo,2015-02-01,1,0,1,0,1
OMEREQUE,rabia,total no de personas con esquema clasico completo,2015-02-01,0,1,0,1,1
ORURO,rabia,total no de personas con esquema clasico completo,2015-02-01,1,1,1,1,2
POTOSI,rabia,total no de personas con esquema clasico completo,2015-02-01,15,18,15,18,33
PUERTO QUIJARRO,rabia,total no de personas con esquema clasico completo,2015-02-01,1,1,1,1,2
PUNA,rabia,total no de personas con esquema clasico completo,2015-02-01,1,0,1,0,1
SAN CARLOS,rabia,total no de personas con esquema clasico completo,2015-02-01,2,0,2,0,2
SAN IGNACIO,rabia,total no de personas con esquema clasico completo,2015-02-01,2,0,2,0,2
SAN JULIAN,rabia,total no de personas con esquema clasico completo,2015-02-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con esquema clasico completo,2015-02-01,5,4,5,4,9
