,group,variable,month,TOTAL Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,TOTAL Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,rabia,total no de personas con esquema reducido completo,2015-01-01,1,0,1,0,1
AIQUILE,rabia,total no de personas con esquema reducido completo,2015-01-01,2,2,2,2,4
ALTO BENI,rabia,total no de personas con esquema reducido completo,2015-01-01,0,1,0,1,1
ASCENCION DE GUARAYOS,rabia,total no de personas con esquema reducido completo,2015-01-01,2,2,2,2,4
ATOCHA,rabia,total no de personas con esquema reducido completo,2015-01-01,0,1,0,1,1
BATALLAS,rabia,total no de personas con esquema reducido completo,2015-01-01,1,0,1,0,1
BETANZOS,rabia,total no de personas con esquema reducido completo,2015-01-01,0,1,0,1,1
CAPINOTA,rabia,total no de personas con esquema reducido completo,2015-01-01,1,0,1,0,1
CARANAVI,rabia,total no de personas con esquema reducido completo,2015-01-01,0,3,0,3,3
CHALLAPATA,rabia,total no de personas con esquema reducido completo,2015-01-01,2,2,2,2,4
CHIMORE,rabia,total no de personas con esquema reducido completo,2015-01-01,1,0,1,0,1
CLIZA,rabia,total no de personas con esquema reducido completo,2015-01-01,0,1,0,1,1
COCHABAMBA,rabia,total no de personas con esquema reducido completo,2015-01-01,12,18,12,18,30
COLCAPIRHUA,rabia,total no de personas con esquema reducido completo,2015-01-01,0,3,0,3,3
"COLCHA ""K""",rabia,total no de personas con esquema reducido completo,2015-01-01,2,1,2,1,3
COLOMI,rabia,total no de personas con esquema reducido completo,2015-01-01,0,1,0,1,1
COMARAPA,rabia,total no de personas con esquema reducido completo,2015-01-01,1,0,1,0,1
COROICO,rabia,total no de personas con esquema reducido completo,2015-01-01,0,1,0,1,1
COTOCA,rabia,total no de personas con esquema reducido completo,2015-01-01,3,1,3,1,4
CUATRO CAÑADAS,rabia,total no de personas con esquema reducido completo,2015-01-01,7,1,7,1,8
EL ALTO,rabia,total no de personas con esquema reducido completo,2015-01-01,25,24,25,24,49
EL TORNO,rabia,total no de personas con esquema reducido completo,2015-01-01,18,13,18,13,31
GUANAY,rabia,total no de personas con esquema reducido completo,2015-01-01,5,1,5,1,6
GUAQUI,rabia,total no de personas con esquema reducido completo,2015-01-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),rabia,total no de personas con esquema reducido completo,2015-01-01,0,1,0,1,1
LA GUARDIA,rabia,total no de personas con esquema reducido completo,2015-01-01,11,3,11,3,14
LA PAZ,rabia,total no de personas con esquema reducido completo,2015-01-01,42,34,42,34,76
MONTERO,rabia,total no de personas con esquema reducido completo,2015-01-01,3,2,3,2,5
OKINAWA,rabia,total no de personas con esquema reducido completo,2015-01-01,2,0,2,0,2
ORURO,rabia,total no de personas con esquema reducido completo,2015-01-01,5,3,5,3,8
PALOS BLANCOS,rabia,total no de personas con esquema reducido completo,2015-01-01,0,1,0,1,1
PORCO,rabia,total no de personas con esquema reducido completo,2015-01-01,0,1,0,1,1
PORTACHUELO,rabia,total no de personas con esquema reducido completo,2015-01-01,6,14,6,14,20
PUCARANI,rabia,total no de personas con esquema reducido completo,2015-01-01,1,0,1,0,1
PUERTO QUIJARRO,rabia,total no de personas con esquema reducido completo,2015-01-01,0,1,0,1,1
PUERTO VILLARROEL,rabia,total no de personas con esquema reducido completo,2015-01-01,1,0,1,0,1
PUNATA,rabia,total no de personas con esquema reducido completo,2015-01-01,1,1,1,1,2
QUILLACOLLO,rabia,total no de personas con esquema reducido completo,2015-01-01,1,0,1,0,1
SACABA,rabia,total no de personas con esquema reducido completo,2015-01-01,2,0,2,0,2
SAN IGNACIO,rabia,total no de personas con esquema reducido completo,2015-01-01,3,1,3,1,4
SAN IGNACIO DE VELASCO,rabia,total no de personas con esquema reducido completo,2015-01-01,0,2,0,2,2
SAN JUAN DE YAPACANI,rabia,total no de personas con esquema reducido completo,2015-01-01,1,0,1,0,1
SAN JULIAN,rabia,total no de personas con esquema reducido completo,2015-01-01,4,2,4,2,6
SAN PEDRO DE TIQUINA,rabia,total no de personas con esquema reducido completo,2015-01-01,1,0,1,0,1
