,group,variable,month,TOTAL Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,TOTAL Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,rabia,total no de personas con vacuna antirrabica,2015-01-01,1,0,1,0,1
AIQUILE,rabia,total no de personas con vacuna antirrabica,2015-01-01,4,5,4,5,9
ARBIETO,rabia,total no de personas con vacuna antirrabica,2015-01-01,0,2,0,2,2
ASCENCION DE GUARAYOS,rabia,total no de personas con vacuna antirrabica,2015-01-01,3,2,3,2,5
ATOCHA,rabia,total no de personas con vacuna antirrabica,2015-01-01,1,1,1,1,2
BETANZOS,rabia,total no de personas con vacuna antirrabica,2015-01-01,0,1,0,1,1
CABEZAS,rabia,total no de personas con vacuna antirrabica,2015-01-01,1,2,1,2,3
CAJUATA,rabia,total no de personas con vacuna antirrabica,2015-01-01,1,0,1,0,1
CAMIRI,rabia,total no de personas con vacuna antirrabica,2015-01-01,1,0,1,0,1
CARANAVI,rabia,total no de personas con vacuna antirrabica,2015-01-01,2,2,2,2,4
CHALLAPATA,rabia,total no de personas con vacuna antirrabica,2015-01-01,6,5,6,5,11
CHIMORE,rabia,total no de personas con vacuna antirrabica,2015-01-01,1,0,1,0,1
COCHABAMBA,rabia,total no de personas con vacuna antirrabica,2015-01-01,43,41,43,41,84
COLCAPIRHUA,rabia,total no de personas con vacuna antirrabica,2015-01-01,2,2,2,2,4
"COLCHA ""K""",rabia,total no de personas con vacuna antirrabica,2015-01-01,2,1,2,1,3
COMARAPA,rabia,total no de personas con vacuna antirrabica,2015-01-01,1,1,1,1,2
COPACABANA,rabia,total no de personas con vacuna antirrabica,2015-01-01,1,0,1,0,1
COTOCA,rabia,total no de personas con vacuna antirrabica,2015-01-01,3,1,3,1,4
CUATRO CAÑADAS,rabia,total no de personas con vacuna antirrabica,2015-01-01,8,2,8,2,10
EL ALTO,rabia,total no de personas con vacuna antirrabica,2015-01-01,158,122,158,122,280
EL TORNO,rabia,total no de personas con vacuna antirrabica,2015-01-01,23,24,23,24,47
EUCALIPTUS,rabia,total no de personas con vacuna antirrabica,2015-01-01,1,0,1,0,1
GUANAY,rabia,total no de personas con vacuna antirrabica,2015-01-01,5,1,5,1,6
IRUPANA (VILLA DE LANZA),rabia,total no de personas con vacuna antirrabica,2015-01-01,0,2,0,2,2
LA GUARDIA,rabia,total no de personas con vacuna antirrabica,2015-01-01,19,4,19,4,23
LA PAZ,rabia,total no de personas con vacuna antirrabica,2015-01-01,75,54,75,54,129
MAIRANA,rabia,total no de personas con vacuna antirrabica,2015-01-01,1,0,1,0,1
MONTERO,rabia,total no de personas con vacuna antirrabica,2015-01-01,5,8,5,8,13
OKINAWA,rabia,total no de personas con vacuna antirrabica,2015-01-01,2,0,2,0,2
ORURO,rabia,total no de personas con vacuna antirrabica,2015-01-01,64,22,64,22,86
PAILON,rabia,total no de personas con vacuna antirrabica,2015-01-01,0,2,0,2,2
PALOS BLANCOS,rabia,total no de personas con vacuna antirrabica,2015-01-01,0,1,0,1,1
PAMPA GRANDE,rabia,total no de personas con vacuna antirrabica,2015-01-01,1,0,1,0,1
PATACAMAYA,rabia,total no de personas con vacuna antirrabica,2015-01-01,2,0,2,0,2
POOPO,rabia,total no de personas con vacuna antirrabica,2015-01-01,0,1,0,1,1
PORTACHUELO,rabia,total no de personas con vacuna antirrabica,2015-01-01,2,20,2,20,22
POTOSI,rabia,total no de personas con vacuna antirrabica,2015-01-01,101,83,101,83,184
PUERTO PEREZ,rabia,total no de personas con vacuna antirrabica,2015-01-01,0,1,0,1,1
PUERTO QUIJARRO,rabia,total no de personas con vacuna antirrabica,2015-01-01,0,2,0,2,2
PUERTO SUAREZ,rabia,total no de personas con vacuna antirrabica,2015-01-01,0,1,0,1,1
PUERTO VILLARROEL,rabia,total no de personas con vacuna antirrabica,2015-01-01,1,0,1,0,1
PUNA,rabia,total no de personas con vacuna antirrabica,2015-01-01,0,1,0,1,1
PUNATA,rabia,total no de personas con vacuna antirrabica,2015-01-01,1,1,1,1,2
