,group,variable,month,MUJERES DE 10 A 49 AÑOS 2DA DOSIS DE DT CANTIDAD,MUJERES DE 10 A 49 AÑOS 2DA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,0,4,0,4,4
ACHACACHI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,2,8,2,8,10
ACHOCALLA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,5,17,5,17,22
AIQUILE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,18,2,18,2,20
ALALAY,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,2,1,2,1,3
ALCALA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,1,1,1,1,2
ALTO BENI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,6,9,6,9,15
ANCORAIMES,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,2,0,2,0,2
ANDAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,1,0,1,0,1
ANTEQUERA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,1,0,1,0,1
ANZALDO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,2,19,2,19,21
APOLO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,1,0,1,0,1
ARAMPAMPA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,4,17,4,17,21
ARANI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,7,1,7,1,8
ARBIETO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,4,38,4,38,42
ARQUE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,6,19,6,19,25
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,34,1,34,1,35
ATOCHA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,13,18,13,18,31
AUCAPATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,1,0,1,0,1
AYO AYO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,26,19,26,19,45
AZURDUY,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,2,3,2,3,5
BATALLAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,1,0,1,0,1
BAURES,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,3,0,3,0,3
BELLA FLOR,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,1,0,1,0,1
BERMEJO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,50,4,50,4,54
BETANZOS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,15,2,15,2,17
BOLIVAR,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,1,5,1,5,6
BOLPEBRA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,2,0,2,0,2
BUENA VISTA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,18,10,18,10,28
CABEZAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,19,4,19,4,23
CAIROMA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,2,0,2,0,2
"CAIZA ""D""",otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,1,0,1,0,1
CAJUATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,12,3,12,3,15
CALACOTO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,1,0,1,0,1
CALAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,4,2,4,2,6
CAMARGO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,0,11,0,11,11
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,8,3,8,3,11
CAMIRI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,23,6,23,6,29
CAPINOTA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,24,0,24,0,24
CAQUIAVIRI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,2,9,2,9,11
CARACOLLO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,1,36,1,36,37
CARANAVI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,43,14,43,14,57
CARAPARI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,13,2,13,2,15
CARIPUYO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,0,28,0,28,28
CARMEN RIVERO TORREZ,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,15,2,15,2,17
CATACORA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,2,0,2,0,2
CHALLAPATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,22,1,22,1,23
CHAQUI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,2,0,2,0,2
CHARAGUA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,3,24,3,24,27
CHARAÑA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,1,0,1,0,1
CHAYANTA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,1,1,1,1,2
CHIMORE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,19,14,19,14,33
CHIPAYA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,0,2,0,2,2
CHOQUE COTA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,3,2,3,2,5
CHUMA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,4,3,4,3,7
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,0,10,0,10,10
CKOCHAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,0,2,0,2,2
CLIZA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,39,32,39,32,71
COBIJA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,123,4,123,4,127
COCAPATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,3,9,3,9,12
COCHABAMBA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,631,10,631,10,641
COIPASA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,0,3,0,3,3
COLCAPIRHUA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,76,0,76,0,76
"COLCHA ""K""",otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,4,3,4,3,7
COLOMI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,25,8,25,8,33
COLPA BELGICA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,22,1,22,1,23
COLQUECHACA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,3,25,3,25,28
COLQUENCHA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,3,0,3,0,3
COLQUIRI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,4,7,4,7,11
COMARAPA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,24,2,24,2,26
CONCEPCION,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,18,0,18,0,18
COPACABANA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,2,1,2,1,3
CORIPATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,3,0,3,0,3
CORO CORO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,17,1,17,1,18
CORQUE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,2,0,2,0,2
COTAGAITA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,18,12,18,12,30
COTOCA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,117,28,117,28,145
CUATRO CAÑADAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,5,6,5,6,11
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,1,0,1,0,1
CUEVO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,1,0,1,0,1
CULPINA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,9,16,9,16,25
CURVA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,0,1,0,1,1
DESAGUADERO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2011-01-01,4,0,4,0,4
