,group,variable,month,TRABAJADOR DE SALUD HEPATITIS B 2DA DOSIS CANTIDAD,TRABAJADOR DE SALUD HEPATITIS B 2DA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-01-01,14,0,14,0,14
BOLPEBRA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-01-01,1,0,1,0,1
CARMEN RIVERO TORREZ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-01-01,1,0,1,0,1
COBIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-01-01,6,0,6,0,6
COCHABAMBA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-01-01,9,0,9,0,9
EL ALTO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-01-01,8,0,8,0,8
ENTRE RIOS TRJ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-01-01,1,0,1,0,1
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-01-01,7,0,7,0,7
MORO MORO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-01-01,0,1,0,1,1
ORURO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-01-01,21,0,21,0,21
PUNATA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-01-01,2,0,2,0,2
SAN IGNACIO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-01-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-01-01,7,0,7,0,7
SAN RAFAEL,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-01-01,15,0,15,0,15
SENA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-01-01,4,8,4,8,12
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-01-01,26,0,26,0,26
URIONDO (A. CONCEPCION),otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-01-01,1,0,1,0,1
VINTO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-01-01,7,0,7,0,7
WARNES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-01-01,3,0,3,0,3
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-01-01,8,0,8,0,8
YAPACANI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-01-01,8,0,8,0,8
ENTRE RIOS TRJ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-02-01,1,0,1,0,1
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-02-01,7,0,7,0,7
ORURO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-02-01,4,3,4,3,7
POCONA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-02-01,7,1,7,1,8
PUNATA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-02-01,6,0,6,0,6
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-02-01,17,0,17,0,17
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-02-01,1,0,1,0,1
WARNES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-02-01,8,0,8,0,8
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-02-01,6,0,6,0,6
YAPACANI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-02-01,4,0,4,0,4
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-03-01,11,0,11,0,11
CARMEN RIVERO TORREZ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-03-01,5,0,5,0,5
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-03-01,15,2,15,2,17
ORURO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-03-01,4,1,4,1,5
PORTACHUELO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-03-01,2,0,2,0,2
PUERTO SUAREZ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-03-01,1,0,1,0,1
PUNATA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-03-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-03-01,99,0,99,0,99
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-03-01,16,0,16,0,16
TOTORA(CBBA),otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-03-01,4,0,4,0,4
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-03-01,1,0,1,0,1
WARNES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-03-01,5,0,5,0,5
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-03-01,9,0,9,0,9
YAPACANI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-03-01,21,0,21,0,21
ARANI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-04-01,3,0,3,0,3
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-04-01,2,0,2,0,2
COBIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-04-01,4,0,4,0,4
HUACARETA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-04-01,0,10,0,10,10
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-04-01,17,0,17,0,17
ORURO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-04-01,1,3,1,3,4
PORTACHUELO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-04-01,16,0,16,0,16
PUNATA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-04-01,1,0,1,0,1
SAN CARLOS,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-04-01,2,0,2,0,2
SAN IGNACIO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-04-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-04-01,15,0,15,0,15
SANTIAGO DE MACHACA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-04-01,0,4,0,4,4
SENA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-04-01,1,0,1,0,1
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-04-01,2,0,2,0,2
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-04-01,2,0,2,0,2
WARNES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-04-01,2,0,2,0,2
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-04-01,3,0,3,0,3
ALTO BENI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-05-01,2,0,2,0,2
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-05-01,1,0,1,0,1
CALACOTO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-05-01,7,0,7,0,7
CAQUIAVIRI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-05-01,2,0,2,0,2
CARMEN RIVERO TORREZ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-05-01,1,0,1,0,1
COBIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-05-01,3,0,3,0,3
CORO CORO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-05-01,5,0,5,0,5
COTAGAITA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-05-01,0,49,0,49,49
EL ALTO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-05-01,20,0,20,0,20
HUACARETA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-05-01,0,6,0,6,6
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-05-01,31,0,31,0,31
ORURO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-05-01,1,3,1,3,4
PAILON,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-05-01,12,0,12,0,12
PASORAPA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-05-01,1,0,1,0,1
POCONA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-05-01,1,0,1,0,1
PORTACHUELO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-05-01,3,0,3,0,3
PUCARA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-05-01,4,0,4,0,4
PUCARANI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-05-01,19,0,19,0,19
PUNATA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-05-01,2,0,2,0,2
SAN IGNACIO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-05-01,4,0,4,0,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-05-01,19,10,19,10,29
SENA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-05-01,1,0,1,0,1
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-05-01,50,0,50,0,50
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-05-01,28,0,28,0,28
TIPUANI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-05-01,2,0,2,0,2
TOTORA(CBBA),otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-05-01,2,0,2,0,2
VALLEGRANDE,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-05-01,7,0,7,0,7
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-05-01,2,0,2,0,2
