,group,variable,month,TRABAJADOR DE SALUD HEPATITIS B 3RA DOSIS CANTIDAD,TRABAJADOR DE SALUD HEPATITIS B 3RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-01-01,5,0,5,0,5
ENTRE RIOS CBBA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-01-01,2,0,2,0,2
ICHOCA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-01-01,2,0,2,0,2
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-01-01,3,0,3,0,3
PUERTO SUAREZ,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-01-01,1,0,1,0,1
PUNATA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-01-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-01-01,10,0,10,0,10
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-01-01,3,0,3,0,3
SENA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-01-01,4,0,4,0,4
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-01-01,23,0,23,0,23
TOTORA(CBBA),otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-01-01,1,0,1,0,1
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-01-01,3,0,3,0,3
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-01-01,2,0,2,0,2
CARMEN RIVERO TORREZ,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-02-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-02-01,2,0,2,0,2
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-02-01,5,0,5,0,5
ORURO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-02-01,0,2,0,2,2
POJO (CBBA),otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-02-01,3,0,3,0,3
PUERTO SUAREZ,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-02-01,1,0,1,0,1
SAN CARLOS,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-02-01,8,0,8,0,8
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-02-01,0,0,0,0,0
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-02-01,6,0,6,0,6
TOTORA(CBBA),otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-02-01,1,0,1,0,1
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-02-01,1,0,1,0,1
ATOCHA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-03-01,1,0,1,0,1
BUENA VISTA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-03-01,0,1,0,1,1
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-03-01,7,2,7,2,9
POJO (CBBA),otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-03-01,1,0,1,0,1
PUERTO SUAREZ,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-03-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-03-01,15,0,15,0,15
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-03-01,4,0,4,0,4
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-03-01,2,0,2,0,2
YAPACANI,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-03-01,13,0,13,0,13
ALTO BENI,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-04-01,3,0,3,0,3
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-04-01,8,0,8,0,8
CHARAÑA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-04-01,2,0,2,0,2
EL ALTO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-04-01,30,0,30,0,30
HUACARETA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-04-01,0,415,0,415,415
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-04-01,23,0,23,0,23
ORURO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-04-01,0,9,0,9,9
PORTACHUELO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-04-01,5,0,5,0,5
PUERTO SUAREZ,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-04-01,1,0,1,0,1
PUNATA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-04-01,2,0,2,0,2
SAN BORJA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-04-01,1,0,1,0,1
SAN CARLOS,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-04-01,5,0,5,0,5
SAN IGNACIO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-04-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-04-01,13,0,13,0,13
SANTIAGO DE MACHACA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-04-01,0,2,0,2,2
SENA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-04-01,3,0,3,0,3
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-04-01,23,0,23,0,23
VALLEGRANDE,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-04-01,4,0,4,0,4
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-04-01,7,0,7,0,7
YAPACANI,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-04-01,2,0,2,0,2
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-05-01,4,0,4,0,4
CAQUIAVIRI,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-05-01,2,0,2,0,2
CARAPARI,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-05-01,1,0,1,0,1
COTAGAITA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-05-01,0,60,0,60,60
EL ALTO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-05-01,36,0,36,0,36
ENTRE RIOS TRJ,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-05-01,2,0,2,0,2
HUACARETA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-05-01,0,113,0,113,113
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-05-01,51,0,51,0,51
MONTERO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-05-01,7,2,7,2,9
ORURO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-05-01,1,3,1,3,4
PAILON,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-05-01,6,0,6,0,6
PORTACHUELO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-05-01,4,0,4,0,4
PUCARA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-05-01,6,0,6,0,6
PUCARANI,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-05-01,2,0,2,0,2
SAN IGNACIO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-05-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-05-01,10,0,10,0,10
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-05-01,42,4,42,4,46
SENA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-05-01,1,0,1,0,1
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-05-01,15,0,15,0,15
TIPUANI,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-05-01,1,0,1,0,1
TOTORA(CBBA),otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-05-01,2,0,2,0,2
VALLEGRANDE,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-05-01,12,0,12,0,12
VILLA NUEVA (LOMA ALTA),otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-05-01,9,0,9,0,9
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-05-01,4,0,4,0,4
YUNCHARA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-05-01,1,1,1,1,2
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-06-01,2,0,2,0,2
CAQUIAVIRI,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-06-01,1,0,1,0,1
CORO CORO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-06-01,3,0,3,0,3
COTOCA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-06-01,6,0,6,0,6
EL ALTO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-06-01,56,0,56,0,56
ENTRE RIOS TRJ,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-06-01,0,3,0,3,3
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-06-01,159,0,159,0,159
ORURO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-06-01,12,0,12,0,12
POCONA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-06-01,7,0,7,0,7
PUERTO SUAREZ,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-06-01,1,0,1,0,1
QUILLACOLLO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-06-01,64,51,64,51,115
