,group,variable,month,MUJERES DE 10 A 49 AÑOS 5TA DOSIS DE DT CANTIDAD,MUJERES DE 10 A 49 AÑOS 5TA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ALCALA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,0,1,0,1,1
ALTO BENI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,1,0,1,0,1
ANTEQUERA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,1,0,1,0,1
ARANI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,7,0,7,0,7
ARBIETO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,6,14,6,14,20
ARQUE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,1,0,1,0,1
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,4,0,4,0,4
ATOCHA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,0,2,0,2,2
BERMEJO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,3,0,3,0,3
BETANZOS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,1,0,1,0,1
BOLIVAR,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,1,0,1,0,1
CAJUATA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,0,2,0,2,2
CALAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,1,0,1,0,1
CAMARGO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,0,2,0,2,2
CAMIRI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,3,0,3,0,3
CARANAVI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,3,0,3,0,3
CARAPARI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,1,0,1,0,1
CARMEN RIVERO TORREZ,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,1,0,1,0,1
CHALLAPATA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,4,0,4,0,4
CHARAGUA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,1,5,1,5,6
CHIMORE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,0,1,0,1,1
CKOCHAS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,0,1,0,1,1
CLIZA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,4,0,4,0,4
COBIJA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,6,1,6,1,7
COCHABAMBA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,121,1,121,1,122
COIPASA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,1,0,1,0,1
COLCAPIRHUA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,10,0,10,0,10
COLOMI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,3,1,3,1,4
COLQUECHACA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,0,3,0,3,3
COMARAPA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,16,0,16,0,16
CONCEPCION,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,4,0,4,0,4
COTAGAITA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,0,1,0,1,1
COTOCA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,13,5,13,5,18
CUATRO CAÑADAS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,0,1,0,1,1
CULPINA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,2,0,2,0,2
EL ALTO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,165,9,165,9,174
EL PUENTE(STC),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,1,1,1,1,2
EL PUENTE(TJA),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,2,0,2,0,2
EL TORNO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,18,1,18,1,19
ENTRE RIOS TRJ,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,1,0,1,0,1
ENTRE RIOS CBBA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,2,0,2,0,2
FERNANDEZ ALONSO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,1,2,1,2,3
GENERAL SAAVEDRA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,0,1,0,1,1
GUANAY,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,2,3,2,3,5
GUAYARAMERIN,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,5,4,5,4,9
HUANUNI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,4,0,4,0,4
ICLA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,1,2,1,2,3
INQUISIVI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,2,1,2,1,3
IXIAMAS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,3,1,3,1,4
JESUS DE MACHACA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,1,0,1,0,1
LA GUARDIA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,24,1,24,1,25
LA PAZ,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,164,52,164,52,216
LAGUNILLAS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,2,3,2,3,5
LAJA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,2,0,2,0,2
LLALLAGUA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,4,0,4,0,4
MAIRANA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,7,1,7,1,8
MINEROS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,7,0,7,0,7
MIZQUE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,1,0,1,0,1
MOCOMOCO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,0,1,0,1,1
MONTEAGUDO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,2,4,2,4,6
MONTERO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,20,0,20,0,20
OKINAWA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,2,1,2,1,3
OMEREQUE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,1,4,1,4,5
ORURO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,14,0,14,0,14
PADCAYA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,1,0,1,0,1
PADILLA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,1,0,1,0,1
PAMPA GRANDE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,6,0,6,0,6
PELECHUCO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,0,3,0,3,3
POCOATA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,0,2,0,2,2
POOPO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,1,0,1,0,1
PORONGO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,4,12,4,12,16
PORTACHUELO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,2,0,2,0,2
POTOSI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,4,0,4,0,4
PUERTO CARABUCO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,1,0,1,0,1
PUERTO GONZALO MORENO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,0,1,0,1,1
PUERTO QUIJARRO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,0,3,0,3,3
PUERTO SUAREZ,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,1,0,1,0,1
PUERTO VILLARROEL,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,7,3,7,3,10
PUNATA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,6,0,6,0,6
QUILLACOLLO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,7,7,7,7,14
RIBERALTA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,8,0,8,0,8
ROBORE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,2,21,2,21,23
RURRENABAQUE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2011-01-01,1,0,1,0,1
