,group,variable,month,MUJERES DE 10 A 49 AÑOS 1RA DOSIS DE DT CANTIDAD,MUJERES DE 10 A 49 AÑOS 1RA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,8,7,8,7,15
ACHACACHI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,7,5,7,5,12
ACHOCALLA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,8,2,8,2,10
AIQUILE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,26,0,26,0,26
ALALAY,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,0,11,0,11,11
ALCALA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,3,2,3,2,5
ALTO BENI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,5,4,5,4,9
ANCORAIMES,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,9,0,9,0,9
ANDAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,2,2,2,2,4
ANTEQUERA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,2,0,2,0,2
ANZALDO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,1,24,1,24,25
APOLO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,1,0,1,0,1
ARAMPAMPA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,3,8,3,8,11
ARANI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,10,9,10,9,19
ARBIETO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,3,34,3,34,37
ARQUE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,7,19,7,19,26
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,46,2,46,2,48
ATOCHA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,42,32,42,32,74
AYATA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,4,0,4,0,4
AYO AYO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,23,12,23,12,35
AZURDUY,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,15,8,15,8,23
BATALLAS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,5,0,5,0,5
BAURES,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,6,0,6,0,6
BELEN DE URMIRI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,2,0,2,0,2
BELLA FLOR,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,2,0,2,0,2
BERMEJO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,66,5,66,5,71
BETANZOS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,34,11,34,11,45
BOLIVAR,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,2,11,2,11,13
BOLPEBRA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,1,0,1,0,1
BUENA VISTA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,13,18,13,18,31
CABEZAS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,22,3,22,3,25
CAIROMA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,2,0,2,0,2
"CAIZA ""D""",otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,4,8,4,8,12
CAJUATA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,13,1,13,1,14
CALACOTO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,0,20,0,20,20
CALAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,4,3,4,3,7
CAMARGO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,3,1,3,1,4
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,6,3,6,3,9
CAMIRI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,28,12,28,12,40
CAPINOTA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,29,0,29,0,29
CAQUIAVIRI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,8,3,8,3,11
CARACOLLO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,3,59,3,59,62
CARANAVI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,62,16,62,16,78
CARANGAS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,0,19,0,19,19
CARAPARI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,44,8,44,8,52
CARIPUYO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,3,17,3,17,20
CARMEN RIVERO TORREZ,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,17,5,17,5,22
CATACORA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,4,2,4,2,6
CHALLAPATA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,35,8,35,8,43
CHAQUI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,9,0,9,0,9
CHARAGUA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,1,5,1,5,6
CHARAÑA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,3,0,3,0,3
CHAYANTA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,4,7,4,7,11
CHIMORE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,22,17,22,17,39
CHIPAYA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,14,9,14,9,23
CHUMA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,9,2,9,2,11
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,0,10,0,10,10
CKOCHAS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,0,2,0,2,2
CLIZA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,43,33,43,33,76
COBIJA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,139,2,139,2,141
COCAPATA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,4,25,4,25,29
COCHABAMBA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,861,16,861,16,877
COIPASA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,0,2,0,2,2
COLCAPIRHUA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,34,0,34,0,34
"COLCHA ""K""",otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,6,73,6,73,79
COLOMI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,30,7,30,7,37
COLPA BELGICA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,15,2,15,2,17
COLQUECHACA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,3,78,3,78,81
COLQUENCHA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,11,0,11,0,11
COLQUIRI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,21,22,21,22,43
COMANCHE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,2,0,2,0,2
COMARAPA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,33,1,33,1,34
COMBAYA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,0,1,0,1,1
CONCEPCION,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,50,0,50,0,50
COPACABANA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,2,6,2,6,8
CORIPATA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,15,4,15,4,19
CORO CORO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,6,7,6,7,13
CORQUE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,4,1,4,1,5
COTAGAITA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,19,15,19,15,34
COTOCA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,58,25,58,25,83
CUATRO CAÑADAS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,1,7,1,7,8
