,group,variable,month,MUJERES DE 10 A 49 AÑOS 4TA DOSIS DE DT CANTIDAD,MUJERES DE 10 A 49 AÑOS 4TA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,0,1,0,1,1
ACHOCALLA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,2,0,2,0,2
AIQUILE,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,1,0,1,0,1
ALALAY,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,1,0,1,0,1
ALCALA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,2,3,2,3,5
ALTO BENI,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,0,4,0,4,4
ANDAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,0,1,0,1,1
ANTEQUERA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,2,0,2,0,2
ARAMPAMPA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,2,1,2,1,3
ARANI,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,1,0,1,0,1
ARBIETO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,1,10,1,10,11
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,6,0,6,0,6
ATOCHA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,1,0,1,0,1
BAURES,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,1,0,1,0,1
BERMEJO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,4,0,4,0,4
BETANZOS,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,3,0,3,0,3
BUENA VISTA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,1,0,1,0,1
CABEZAS,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,5,1,5,1,6
CAJUATA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,0,1,0,1,1
CALACOTO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,0,1,0,1,1
CALAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,1,0,1,0,1
CAMARGO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,2,1,2,1,3
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,1,0,1,0,1
CAMIRI,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,8,5,8,5,13
CAPINOTA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,4,0,4,0,4
CARACOLLO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,2,0,2,0,2
CARANAVI,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,5,2,5,2,7
CARAPARI,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,2,0,2,0,2
CARIPUYO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,0,2,0,2,2
CARMEN RIVERO TORREZ,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,0,4,0,4,4
CATACORA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,1,1,1,1,2
CHALLAPATA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,3,0,3,0,3
CHAQUI,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,2,0,2,0,2
CHARAÑA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,2,0,2,0,2
CHIMORE,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,5,3,5,3,8
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,0,3,0,3,3
CKOCHAS,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,0,2,0,2,2
CLIZA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,11,7,11,7,18
COBIJA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,17,0,17,0,17
COCHABAMBA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,241,0,241,0,241
COLCAPIRHUA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,22,0,22,0,22
"COLCHA ""K""",otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,0,1,0,1,1
COLOMI,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,5,0,5,0,5
COLPA BELGICA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,1,35,1,35,36
COLQUIRI,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,1,9,1,9,10
COMARAPA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,11,0,11,0,11
CONCEPCION,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,9,0,9,0,9
COPACABANA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,0,1,0,1,1
CORO CORO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,1,0,1,0,1
CORQUE,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,1,0,1,0,1
COTAGAITA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,1,0,1,0,1
COTOCA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,14,7,14,7,21
CUATRO CAÑADAS,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,0,2,0,2,2
CULPINA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,3,1,3,1,4
DESAGUADERO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,1,0,1,0,1
EL ALTO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,277,5,277,5,282
EL PUENTE(STC),otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,0,2,0,2,2
EL PUENTE(TJA),otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,3,0,3,0,3
EL TORNO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,22,4,22,4,26
ENTRE RIOS CBBA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,5,2,5,2,7
ESCOMA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,0,1,0,1,1
EUCALIPTUS,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,1,0,1,0,1
EUREKA (SANTOS MERCADO),otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,0,1,0,1,1
FERNANDEZ ALONSO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,4,5,4,5,9
FILADELFIA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,0,1,0,1,1
GENERAL SAAVEDRA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,1,0,1,0,1
GUANAY,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,2,0,2,0,2
GUAQUI,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,1,0,1,0,1
GUAYARAMERIN,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,7,2,7,2,9
GUTIERREZ,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,2,0,2,0,2
HUANUNI,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,1,0,1,0,1
HUARACAJE,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,1,0,1,0,1
INQUISIVI,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,3,2,3,2,5
IRUPANA (VILLA DE LANZA),otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,1,0,1,0,1
JESUS DE MACHACA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,1,0,1,0,1
LA ASUNTA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,3,0,3,0,3
LA GUARDIA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,52,8,52,8,60
LA PAZ,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,260,55,260,55,315
LAGUNILLAS,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,0,2,0,2,2
LAJA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,6,0,6,0,6
LAS CARRERAS,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,1,0,1,0,1
LLALLAGUA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2011-01-01,6,0,6,0,6
