,group,variable,month,TRABAJADOR DE SALUD HEPATITIS B 1RA DOSIS CANTIDAD,TRABAJADOR DE SALUD HEPATITIS B 1RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-01-01,7,0,7,0,7
CAMIRI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-01-01,3,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-01-01,0,2,0,2,2
COCHABAMBA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-01-01,26,0,26,0,26
GUTIERREZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-01-01,1,0,1,0,1
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-01-01,25,1,25,1,26
ORURO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-01-01,26,2,26,2,28
PUNATA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-01-01,5,0,5,0,5
SAN BORJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-01-01,6,0,6,0,6
SAN IGNACIO DE VELASCO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-01-01,3,0,3,0,3
SAN RAFAEL,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-01-01,1,0,1,0,1
SAN RAMON BENI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-01-01,20,1,20,1,21
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-01-01,71,45,71,45,116
SENA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-01-01,1,0,1,0,1
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-01-01,51,0,51,0,51
TIQUIPAYA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-01-01,3,0,3,0,3
TOTORA(CBBA),otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-01-01,1,0,1,0,1
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-01-01,2,0,2,0,2
VINTO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-01-01,5,0,5,0,5
WARNES,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-01-01,3,0,3,0,3
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-01-01,8,0,8,0,8
YAPACANI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-01-01,11,0,11,0,11
CAMIRI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-02-01,3,0,3,0,3
CARMEN RIVERO TORREZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-02-01,4,0,4,0,4
FERNANDEZ ALONSO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-02-01,1,0,1,0,1
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-02-01,23,0,23,0,23
ORURO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-02-01,2,0,2,0,2
PAILON,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-02-01,13,0,13,0,13
POCONA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-02-01,2,1,2,1,3
PORTACHUELO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-02-01,2,0,2,0,2
PUERTO SUAREZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-02-01,2,0,2,0,2
PUNATA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-02-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-02-01,3,0,3,0,3
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-02-01,8,0,8,0,8
TOTORA(CBBA),otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-02-01,1,0,1,0,1
WARNES,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-02-01,6,0,6,0,6
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-02-01,5,0,5,0,5
YAPACANI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-02-01,12,0,12,0,12
BUENA VISTA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-03-01,1,0,1,0,1
CARMEN RIVERO TORREZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-03-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-03-01,6,0,6,0,6
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-03-01,19,248,19,248,267
ORURO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-03-01,8,5,8,5,13
PORTACHUELO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-03-01,5,0,5,0,5
PUNATA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-03-01,27,1,27,1,28
SAN CARLOS,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-03-01,118,0,118,0,118
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-03-01,11,0,11,0,11
TOTORA(CBBA),otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-03-01,2,0,2,0,2
UNCIA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-03-01,1,0,1,0,1
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-03-01,18,1,18,1,19
WARNES,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-03-01,4,0,4,0,4
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-03-01,24,0,24,0,24
YAPACANI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-03-01,1,0,1,0,1
ALTO BENI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-04-01,15,15,15,15,30
ARANI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-04-01,4,0,4,0,4
CHACARILLA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-04-01,0,1,0,1,1
CHARAÑA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-04-01,2,0,2,0,2
COBIJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-04-01,1,0,1,0,1
CORO CORO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-04-01,5,0,5,0,5
EL ALTO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-04-01,1,0,1,0,1
HUACARETA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-04-01,0,21,0,21,21
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-04-01,34,0,34,0,34
ORURO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-04-01,3,4,3,4,7
PASORAPA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-04-01,10,0,10,0,10
POOPO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-04-01,1,0,1,0,1
PORTACHUELO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-04-01,10,0,10,0,10
PUNATA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-04-01,24,0,24,0,24
SAN IGNACIO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-04-01,7,0,7,0,7
SAN JOSE DE CHIQUITOS,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-04-01,5,0,5,0,5
SAN PEDRO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-04-01,4,0,4,0,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-04-01,9,0,9,0,9
SANTIAGO DE MACHACA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-04-01,0,8,0,8,8
SENA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-04-01,5,0,5,0,5
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-04-01,50,0,50,0,50
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-04-01,74,17,74,17,91
TIPUANI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-04-01,2,0,2,0,2
TOTORA(CBBA),otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-04-01,1,0,1,0,1
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-04-01,1,0,1,0,1
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-04-01,24,125,24,125,149
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,2,0,2,0,2
BOLPEBRA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,2,0,2,0,2
CALACOTO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,3,0,3,0,3
CAQUIAVIRI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,2,0,2,0,2
CARAPARI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,69,0,69,0,69
CHARAÑA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,2,0,2,0,2
COBIJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,1,0,1,0,1
COMANCHE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,1,0,1,0,1
CORO CORO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,1,0,1,0,1
COTAGAITA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,0,46,0,46,46
