,group,variable,month,ANTIRRÁBICA EN HUMANO CANTIDAD,ANTIRRÁBICA EN HUMANO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
AIQUILE,otras vacunaciones,antirrabica en humano,2011-01-01,9,0,9,0,9
CABEZAS,otras vacunaciones,antirrabica en humano,2011-01-01,1,0,1,0,1
CARANAVI,otras vacunaciones,antirrabica en humano,2011-01-01,0,13,0,13,13
CARAPARI,otras vacunaciones,antirrabica en humano,2011-01-01,1,0,1,0,1
CHALLAPATA,otras vacunaciones,antirrabica en humano,2011-01-01,13,0,13,0,13
CHIMORE,otras vacunaciones,antirrabica en humano,2011-01-01,13,0,13,0,13
CLIZA,otras vacunaciones,antirrabica en humano,2011-01-01,2,0,2,0,2
COCHABAMBA,otras vacunaciones,antirrabica en humano,2011-01-01,406,0,406,0,406
COTOCA,otras vacunaciones,antirrabica en humano,2011-01-01,12,4,12,4,16
EL ALTO,otras vacunaciones,antirrabica en humano,2011-01-01,667,0,667,0,667
EL PUENTE(STC),otras vacunaciones,antirrabica en humano,2011-01-01,1,0,1,0,1
EL TORNO,otras vacunaciones,antirrabica en humano,2011-01-01,122,0,122,0,122
FERNANDEZ ALONSO,otras vacunaciones,antirrabica en humano,2011-01-01,5,0,5,0,5
GUANAY,otras vacunaciones,antirrabica en humano,2011-01-01,7,0,7,0,7
LA GUARDIA,otras vacunaciones,antirrabica en humano,2011-01-01,106,0,106,0,106
LA PAZ,otras vacunaciones,antirrabica en humano,2011-01-01,723,0,723,0,723
MAIRANA,otras vacunaciones,antirrabica en humano,2011-01-01,9,0,9,0,9
MINEROS,otras vacunaciones,antirrabica en humano,2011-01-01,5,0,5,0,5
MIZQUE,otras vacunaciones,antirrabica en humano,2011-01-01,12,0,12,0,12
MONTERO,otras vacunaciones,antirrabica en humano,2011-01-01,117,0,117,0,117
MORO MORO,otras vacunaciones,antirrabica en humano,2011-01-01,21,0,21,0,21
PALOS BLANCOS,otras vacunaciones,antirrabica en humano,2011-01-01,1,0,1,0,1
PORTACHUELO,otras vacunaciones,antirrabica en humano,2011-01-01,1,0,1,0,1
POTOSI,otras vacunaciones,antirrabica en humano,2011-01-01,167,0,167,0,167
PUNATA,otras vacunaciones,antirrabica en humano,2011-01-01,7,0,7,0,7
QUILLACOLLO,otras vacunaciones,antirrabica en humano,2011-01-01,15,0,15,0,15
SACABA,otras vacunaciones,antirrabica en humano,2011-01-01,21,0,21,0,21
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica en humano,2011-01-01,16,0,16,0,16
SAN JULIAN,otras vacunaciones,antirrabica en humano,2011-01-01,0,64,0,64,64
SAN MIGUEL DE VELASCO,otras vacunaciones,antirrabica en humano,2011-01-01,0,8,0,8,8
SAN RAMON SCZ,otras vacunaciones,antirrabica en humano,2011-01-01,5,0,5,0,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica en humano,2011-01-01,1788,0,1788,0,1788
SUCRE,otras vacunaciones,antirrabica en humano,2011-01-01,1565,0,1565,0,1565
TARATA,otras vacunaciones,antirrabica en humano,2011-01-01,23,0,23,0,23
TIQUIPAYA,otras vacunaciones,antirrabica en humano,2011-01-01,1,0,1,0,1
TRIGAL,otras vacunaciones,antirrabica en humano,2011-01-01,8,0,8,0,8
TUPIZA,otras vacunaciones,antirrabica en humano,2011-01-01,2,0,2,0,2
UYUNI,otras vacunaciones,antirrabica en humano,2011-01-01,1,0,1,0,1
VALLEGRANDE,otras vacunaciones,antirrabica en humano,2011-01-01,12,0,12,0,12
VILLA MONTES,otras vacunaciones,antirrabica en humano,2011-01-01,6,0,6,0,6
WARNES,otras vacunaciones,antirrabica en humano,2011-01-01,50,0,50,0,50
YACUIBA,otras vacunaciones,antirrabica en humano,2011-01-01,71,0,71,0,71
AIQUILE,otras vacunaciones,antirrabica en humano,2011-02-01,5,0,5,0,5
CAPINOTA,otras vacunaciones,antirrabica en humano,2011-02-01,2,0,2,0,2
CARANAVI,otras vacunaciones,antirrabica en humano,2011-02-01,10,0,10,0,10
CHALLAPATA,otras vacunaciones,antirrabica en humano,2011-02-01,11,0,11,0,11
CHIMORE,otras vacunaciones,antirrabica en humano,2011-02-01,1,0,1,0,1
CLIZA,otras vacunaciones,antirrabica en humano,2011-02-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,antirrabica en humano,2011-02-01,208,0,208,0,208
COMARAPA,otras vacunaciones,antirrabica en humano,2011-02-01,7,0,7,0,7
COTOCA,otras vacunaciones,antirrabica en humano,2011-02-01,21,0,21,0,21
EL ALTO,otras vacunaciones,antirrabica en humano,2011-02-01,374,0,374,0,374
EL TORNO,otras vacunaciones,antirrabica en humano,2011-02-01,126,0,126,0,126
ENTRE RIOS TRJ,otras vacunaciones,antirrabica en humano,2011-02-01,2,0,2,0,2
GUANAY,otras vacunaciones,antirrabica en humano,2011-02-01,3,0,3,0,3
LA GUARDIA,otras vacunaciones,antirrabica en humano,2011-02-01,108,0,108,0,108
LA PAZ,otras vacunaciones,antirrabica en humano,2011-02-01,509,0,509,0,509
LAGUNILLAS,otras vacunaciones,antirrabica en humano,2011-02-01,0,1,0,1,1
MAIRANA,otras vacunaciones,antirrabica en humano,2011-02-01,13,0,13,0,13
MIZQUE,otras vacunaciones,antirrabica en humano,2011-02-01,12,0,12,0,12
MONTERO,otras vacunaciones,antirrabica en humano,2011-02-01,45,0,45,0,45
MORO MORO,otras vacunaciones,antirrabica en humano,2011-02-01,4,0,4,0,4
PALOS BLANCOS,otras vacunaciones,antirrabica en humano,2011-02-01,25,0,25,0,25
PAMPA GRANDE,otras vacunaciones,antirrabica en humano,2011-02-01,5,0,5,0,5
POTOSI,otras vacunaciones,antirrabica en humano,2011-02-01,110,0,110,0,110
PUERTO VILLARROEL,otras vacunaciones,antirrabica en humano,2011-02-01,10,0,10,0,10
PUNATA,otras vacunaciones,antirrabica en humano,2011-02-01,1,0,1,0,1
QUILLACOLLO,otras vacunaciones,antirrabica en humano,2011-02-01,2,0,2,0,2
SACABA,otras vacunaciones,antirrabica en humano,2011-02-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica en humano,2011-02-01,23,0,23,0,23
SAN JULIAN,otras vacunaciones,antirrabica en humano,2011-02-01,57,0,57,0,57
SAN MIGUEL DE VELASCO,otras vacunaciones,antirrabica en humano,2011-02-01,0,30,0,30,30
SAN PEDRO,otras vacunaciones,antirrabica en humano,2011-02-01,6,0,6,0,6
SAN RAMON SCZ,otras vacunaciones,antirrabica en humano,2011-02-01,20,0,20,0,20
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica en humano,2011-02-01,1389,0,1389,0,1389
SHINAOTA,otras vacunaciones,antirrabica en humano,2011-02-01,1,0,1,0,1
SUCRE,otras vacunaciones,antirrabica en humano,2011-02-01,548,0,548,0,548
TRIGAL,otras vacunaciones,antirrabica en humano,2011-02-01,2,0,2,0,2
TUPIZA,otras vacunaciones,antirrabica en humano,2011-02-01,1,0,1,0,1
UYUNI,otras vacunaciones,antirrabica en humano,2011-02-01,18,0,18,0,18
VALLEGRANDE,otras vacunaciones,antirrabica en humano,2011-02-01,15,0,15,0,15
VILLA MONTES,otras vacunaciones,antirrabica en humano,2011-02-01,8,0,8,0,8
VILLAZON,otras vacunaciones,antirrabica en humano,2011-02-01,1,0,1,0,1
VINTO,otras vacunaciones,antirrabica en humano,2011-02-01,4,0,4,0,4
WARNES,otras vacunaciones,antirrabica en humano,2011-02-01,51,0,51,0,51
YACUIBA,otras vacunaciones,antirrabica en humano,2011-02-01,70,0,70,0,70
AIQUILE,otras vacunaciones,antirrabica en humano,2011-03-01,11,1,11,1,12
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica en humano,2011-03-01,12,0,12,0,12
CARANAVI,otras vacunaciones,antirrabica en humano,2011-03-01,22,0,22,0,22
CHALLAPATA,otras vacunaciones,antirrabica en humano,2011-03-01,25,0,25,0,25
CHIMORE,otras vacunaciones,antirrabica en humano,2011-03-01,8,0,8,0,8
CLIZA,otras vacunaciones,antirrabica en humano,2011-03-01,3,0,3,0,3
COCHABAMBA,otras vacunaciones,antirrabica en humano,2011-03-01,213,36,213,36,249
COMARAPA,otras vacunaciones,antirrabica en humano,2011-03-01,2,0,2,0,2
COTOCA,otras vacunaciones,antirrabica en humano,2011-03-01,30,11,30,11,41
EL ALTO,otras vacunaciones,antirrabica en humano,2011-03-01,708,0,708,0,708
EL CHORO,otras vacunaciones,antirrabica en humano,2011-03-01,1,0,1,0,1
EL PUENTE(STC),otras vacunaciones,antirrabica en humano,2011-03-01,102,0,102,0,102
EL TORNO,otras vacunaciones,antirrabica en humano,2011-03-01,123,0,123,0,123
ENTRE RIOS CBBA,otras vacunaciones,antirrabica en humano,2011-03-01,1,0,1,0,1
GENERAL SAAVEDRA,otras vacunaciones,antirrabica en humano,2011-03-01,10,0,10,0,10
HUANUNI,otras vacunaciones,antirrabica en humano,2011-03-01,0,2,0,2,2
LA GUARDIA,otras vacunaciones,antirrabica en humano,2011-03-01,128,0,128,0,128
LA PAZ,otras vacunaciones,antirrabica en humano,2011-03-01,42,0,42,0,42
MAIRANA,otras vacunaciones,antirrabica en humano,2011-03-01,8,0,8,0,8
MIZQUE,otras vacunaciones,antirrabica en humano,2011-03-01,17,0,17,0,17
MONTERO,otras vacunaciones,antirrabica en humano,2011-03-01,102,0,102,0,102
OCURI,otras vacunaciones,antirrabica en humano,2011-03-01,6,0,6,0,6
PALOS BLANCOS,otras vacunaciones,antirrabica en humano,2011-03-01,6,0,6,0,6
PORONGO,otras vacunaciones,antirrabica en humano,2011-03-01,7,0,7,0,7
POTOSI,otras vacunaciones,antirrabica en humano,2011-03-01,96,0,96,0,96
PUERTO VILLARROEL,otras vacunaciones,antirrabica en humano,2011-03-01,4,0,4,0,4
PUNATA,otras vacunaciones,antirrabica en humano,2011-03-01,14,0,14,0,14
SACABA,otras vacunaciones,antirrabica en humano,2011-03-01,15,0,15,0,15
SAMAIPATA,otras vacunaciones,antirrabica en humano,2011-03-01,5,0,5,0,5
