,group,variable,month,ANTIRRÁBICA HUMANA ESQUEMA COMPLETO CANTIDAD,ANTIRRÁBICA HUMANA ESQUEMA COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,1,0,1,0,1
ARBIETO,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,1,0,1,0,1
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,1,0,1,0,1
CAQUIAVIRI,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,0,1,0,1,1
CARANAVI,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,0,2,0,2,2
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,1,0,1,0,1
CHIMORE,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,1,0,1,0,1
CLIZA,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,2,0,2,0,2
COBIJA,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,2,1,2,1,3
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,49,0,49,0,49
COLCAPIRHUA,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,1,0,1,0,1
COMARAPA,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,1,0,1,0,1
CONCEPCION,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,1,0,1,0,1
CORO CORO,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,0,1,0,1,1
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,1,0,1,0,1
CUATRO CAÑADAS,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,2,0,2,0,2
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,60,0,60,0,60
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,2,0,2,0,2
ICLA,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,1,0,1,0,1
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,7,0,7,0,7
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,69,0,69,0,69
MAIRANA,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,1,0,1,0,1
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,1,0,1,0,1
ORURO,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,1,0,1,0,1
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,16,0,16,0,16
PUNATA,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,1,0,1,0,1
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,5,0,5,0,5
SACABA,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,16,0,16,0,16
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,0,9,0,9,9
SAN RAMON SCZ,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,139,0,139,0,139
SANTIAGO DE MACHACA,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,0,1,0,1,1
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,122,0,122,0,122
TARATA,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,3,0,3,0,3
TARVITA,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,2,0,2,0,2
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,7,0,7,0,7
TUPIZA,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,2,0,2,0,2
VILLA TUNARI,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,1,0,1,0,1
VINTO,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,7,0,7,0,7
WARNES,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,1,0,1,0,1
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2011-01-01,7,0,7,0,7
AIQUILE,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,1,0,1,0,1
ARBIETO,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,1,0,1,0,1
CARANAVI,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,1,0,1,0,1
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,3,0,3,0,3
COBIJA,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,0,4,0,4,4
COCAPATA,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,35,0,35,0,35
COMARAPA,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,2,0,2,0,2
CONCEPCION,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,2,0,2,0,2
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,3,0,3,0,3
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,46,0,46,0,46
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,8,0,8,0,8
GUANAY,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,1,0,1,0,1
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,7,0,7,0,7
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,136,0,136,0,136
LAGUNILLAS,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,0,1,0,1,1
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,6,0,6,0,6
PUERTO VILLARROEL,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,1,0,1,0,1
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,2,0,2,0,2
SACABA,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,6,0,6,0,6
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,7,0,7,0,7
SAN MIGUEL DE VELASCO,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,0,1,0,1,1
SAN RAMON SCZ,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,139,0,139,0,139
SIPE SIPE,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,1,0,1,0,1
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,15,0,15,0,15
TARATA,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,0,1,0,1,1
TRIGAL,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,1,0,1,0,1
UYUNI,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,1,0,1,0,1
VILLA MONTES,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,1,0,1,0,1
WARNES,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,3,0,3,0,3
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2011-02-01,2,0,2,0,2
ANTEQUERA,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,0,4,0,4,4
ARBIETO,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,2,0,2,0,2
ARQUE,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,0,1,0,1,1
CALACOTO,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antirrabica humana esquema completo,2011-03-01,1,0,1,0,1
COBIJA,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,0,2,0,2,2
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,22,0,22,0,22
COLCAPIRHUA,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,3,0,3,0,3
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,6,1,6,1,7
CUATRO CAÑADAS,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,1,0,1,0,1
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,37,0,37,0,37
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,11,0,11,0,11
ENTRE RIOS CBBA,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,1,0,1,0,1
HUANUNI,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,0,1,0,1,1
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,8,0,8,0,8
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,74,0,74,0,74
MIZQUE,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,1,0,1,0,1
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,5,0,5,0,5
PADILLA,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,1,0,1,0,1
PALOS BLANCOS,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,2,0,2,0,2
PORONGO,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,1,0,1,0,1
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,9,0,9,0,9
PUERTO QUIJARRO,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,1,0,1,0,1
PUERTO VILLARROEL,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,1,0,1,0,1
SACABA,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,6,0,6,0,6
SAN IGNACIO,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,1,0,1,0,1
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,8,0,8,0,8
SAN PEDRO,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,1,0,1,0,1
SAN RAMON SCZ,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,92,0,92,0,92
SANTIAGO DE MACHACA,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,1,0,1,0,1
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,68,0,68,0,68
