,group,variable,month,MUJERES DE 10 A 49 AÑOS 3RA DOSIS DE DT CANTIDAD,MUJERES DE 10 A 49 AÑOS 3RA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,0,1,0,1,1
ACHACACHI,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,0,2,0,2,2
ACHOCALLA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,4,0,4,0,4
AIQUILE,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,2,1,2,1,3
ALALAY,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,1,2,1,2,3
ALCALA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,2,1,2,1,3
ALTO BENI,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,0,9,0,9,9
ANTEQUERA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,3,0,3,0,3
ANZALDO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,0,3,0,3,3
APOLO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,1,0,1,0,1
ARAMPAMPA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,2,7,2,7,9
ARANI,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,3,2,3,2,5
ARBIETO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,6,14,6,14,20
ARQUE,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,4,3,4,3,7
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,17,2,17,2,19
ATOCHA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,1,5,1,5,6
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,2,6,2,6,8
AZURDUY,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,1,0,1,0,1
BATALLAS,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,3,0,3,0,3
BAURES,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,1,0,1,0,1
BERMEJO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,20,1,20,1,21
BETANZOS,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,4,2,4,2,6
BOLIVAR,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,1,2,1,2,3
BOLPEBRA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,1,0,1,0,1
BUENA VISTA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,7,2,7,2,9
CABEZAS,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,5,0,5,0,5
CAIROMA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,1,0,1,0,1
CAJUATA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,1,2,1,2,3
CALACOTO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,0,5,0,5,5
CALAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,1,0,1,0,1
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,1,0,1,0,1
CAMIRI,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,9,5,9,5,14
CAPINOTA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,5,0,5,0,5
CAQUIAVIRI,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,0,2,0,2,2
CARACOLLO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,2,9,2,9,11
CARANAVI,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,15,5,15,5,20
CARAPARI,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,4,1,4,1,5
CARIPUYO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,0,2,0,2,2
CARMEN RIVERO TORREZ,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,6,7,6,7,13
CATACORA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,2,2,2,2,4
CHALLAPATA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,6,1,6,1,7
CHAQUI,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,2,0,2,0,2
CHARAGUA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,1,10,1,10,11
CHARAÑA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,2,0,2,0,2
CHAYANTA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,0,1,0,1,1
CHIMORE,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,9,6,9,6,15
CHIPAYA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,1,3,1,3,4
CHUMA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,0,1,0,1,1
CKOCHAS,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,0,2,0,2,2
CLIZA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,34,24,34,24,58
COBIJA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,35,0,35,0,35
COCHABAMBA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,379,5,379,5,384
COIPASA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,2,0,2,0,2
COLCAPIRHUA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,22,0,22,0,22
"COLCHA ""K""",otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,0,2,0,2,2
COLOMI,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,11,4,11,4,15
COLPA BELGICA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,0,65,0,65,65
COLQUECHACA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,0,3,0,3,3
COLQUIRI,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,4,11,4,11,15
COMANCHE,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,1,0,1,0,1
COMARAPA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,21,1,21,1,22
CONCEPCION,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,19,0,19,0,19
COPACABANA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,0,6,0,6,6
CORIPATA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,1,0,1,0,1
CORO CORO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,4,0,4,0,4
CORQUE,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,0,1,0,1,1
COTAGAITA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,5,24,5,24,29
COTOCA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,70,16,70,16,86
CUATRO CAÑADAS,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,7,4,7,4,11
CUEVO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,7,0,7,0,7
CULPINA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,8,2,8,2,10
DESAGUADERO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,1,2,1,2,3
EL ALTO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,525,25,525,25,550
EL PUENTE(STC),otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,2,7,2,7,9
EL PUENTE(TJA),otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,4,1,4,1,5
EL TORNO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,43,5,43,5,48
ENTRE RIOS TRJ,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,9,19,9,19,28
ENTRE RIOS CBBA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,26,9,26,9,35
ESCOMA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,0,3,0,3,3
EUCALIPTUS,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,3,3,3,3,6
EUREKA (SANTOS MERCADO),otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,1,1,1,1,2
EXALTACION,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2011-01-01,2,0,2,0,2
