municipality,group,variable,month,Anestesias generales y regionales,TOTAL
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2008-01-01,1,1
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2008-01-01,13,13
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2008-01-01,21,21
ATOCHA,cirugias y anestesias,anestesias generales y regionales,2008-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,anestesias generales y regionales,2008-01-01,7,7
BAURES,cirugias y anestesias,anestesias generales y regionales,2008-01-01,2,2
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2008-01-01,67,67
BETANZOS,cirugias y anestesias,anestesias generales y regionales,2008-01-01,23,23
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2008-01-01,37,37
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2008-01-01,70,70
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2008-01-01,43,43
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2008-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,anestesias generales y regionales,2008-01-01,2,2
COBIJA,cirugias y anestesias,anestesias generales y regionales,2008-01-01,176,176
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2008-01-01,3285,3285
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2008-01-01,34,34
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2008-01-01,6,6
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2008-01-01,8,8
COPACABANA,cirugias y anestesias,anestesias generales y regionales,2008-01-01,10,10
COROICO,cirugias y anestesias,anestesias generales y regionales,2008-01-01,12,12
COTOCA,cirugias y anestesias,anestesias generales y regionales,2008-01-01,15,15
CULPINA,cirugias y anestesias,anestesias generales y regionales,2008-01-01,6,6
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2008-01-01,846,846
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2008-01-01,33,33
EXALTACION,cirugias y anestesias,anestesias generales y regionales,2008-01-01,2,2
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2008-01-01,55,55
HUACARETA,cirugias y anestesias,anestesias generales y regionales,2008-01-01,1,1
HUANUNI,cirugias y anestesias,anestesias generales y regionales,2008-01-01,5,5
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2008-01-01,3843,3843
MACHARETI,cirugias y anestesias,anestesias generales y regionales,2008-01-01,3,3
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2008-01-01,7,7
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2008-01-01,2,2
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2008-01-01,50,50
MONTERO,cirugias y anestesias,anestesias generales y regionales,2008-01-01,180,180
OCURI,cirugias y anestesias,anestesias generales y regionales,2008-01-01,2,2
ORURO,cirugias y anestesias,anestesias generales y regionales,2008-01-01,660,660
PADILLA,cirugias y anestesias,anestesias generales y regionales,2008-01-01,15,15
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2008-01-01,47,47
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2008-01-01,41,41
PORVENIR,cirugias y anestesias,anestesias generales y regionales,2008-01-01,19,19
POTOSI,cirugias y anestesias,anestesias generales y regionales,2008-01-01,402,402
PUERTO ACOSTA,cirugias y anestesias,anestesias generales y regionales,2008-01-01,12,12
PUERTO QUIJARRO,cirugias y anestesias,anestesias generales y regionales,2008-01-01,3,3
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2008-01-01,51,51
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2008-01-01,127,127
PUNATA,cirugias y anestesias,anestesias generales y regionales,2008-01-01,71,71
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2008-01-01,246,246
REYES,cirugias y anestesias,anestesias generales y regionales,2008-01-01,8,8
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2008-01-01,254,254
ROBORE,cirugias y anestesias,anestesias generales y regionales,2008-01-01,12,12
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2008-01-01,20,20
SACABA,cirugias y anestesias,anestesias generales y regionales,2008-01-01,85,85
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2008-01-01,5,5
SAN ANDRES,cirugias y anestesias,anestesias generales y regionales,2008-01-01,1,1
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2008-01-01,18,18
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2008-01-01,11,11
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2008-01-01,29,29
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2008-01-01,5,5
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2008-01-01,103,103
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2008-01-01,6,6
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2008-01-01,1,1
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2008-01-01,19,19
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2008-01-01,36,36
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2008-01-01,11,11
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2008-01-01,9,9
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2008-01-01,7,7
SAN RAMON,cirugias y anestesias,anestesias generales y regionales,2008-01-01,8,8
SAN RAMON,cirugias y anestesias,anestesias generales y regionales,2008-01-01,1,1
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2008-01-01,19,19
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2008-01-01,3477,3477
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2008-01-01,2,2
SIPE SIPE,cirugias y anestesias,anestesias generales y regionales,2008-01-01,51,51
SUCRE,cirugias y anestesias,anestesias generales y regionales,2008-01-01,1016,1016
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2008-01-01,1,1
TARIJA,cirugias y anestesias,anestesias generales y regionales,2008-01-01,660,660
