municipality,group,variable,month,Cirugías medianas y mayores,TOTAL
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,1,1
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,13,13
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,16,16
ATOCHA,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,cirugias medianas y mayores,2008-01-01,2,2
BAURES,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,1,1
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,35,35
BETANZOS,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,5,5
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,37,37
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,70,70
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,27,27
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2008-01-01,1,1
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,100,100
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,2857,2857
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,31,31
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,6,6
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,8,8
COPACABANA,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,1,1
COROICO,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,10,10
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,15,15
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,846,846
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,33,33
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,38,38
HUANUNI,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,5,5
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,3772,3772
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,7,7
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,2,2
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,11,11
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,180,180
OCURI,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,2,2
ORURO,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,605,605
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,15,15
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,8,8
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,41,41
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,246,246
PUERTO ACOSTA,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,12,12
PUERTO QUIJARRO,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,3,3
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,19,19
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,20,20
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,17,17
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,67,67
REYES,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,8,8
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,254,254
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,12,12
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,20,20
SACABA,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,61,61
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,5,5
SAN ANDRES,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,1,1
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,18,18
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,11,11
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,29,29
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,5,5
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,36,36
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2008-01-01,6,6
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,1,1
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,19,19
SAN JUAN DE YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,36,36
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,11,11
SAN LUCAS,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,5,5
SAN MATIAS,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,7,7
SAN RAMON,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,8,8
SAN RAMON,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,1,1
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,17,17
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,3201,3201
SANTA ROSA,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,2,2
SIPE SIPE,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,46,46
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,797,797
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,542,542
TIRAQUE (CBBA),cirugias y anestesias,cirugias medianas y mayores,2008-01-01,18,18
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,170,170
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,49,49
UNCIA,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,30,30
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,9,9
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,45,45
VIACHA,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,25,25
VILLA MONTES,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,46,46
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,27,27
VINTO,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,3,3
WARNES,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,25,25
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,121,121
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2008-01-01,4,4
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,4,4
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,3,3
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,5,5
ATOCHA,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,3,3
AZURDUY,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,2,2
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,19,19
BETANZOS,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,2,2
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,19,19
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,84,84
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,35,35
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,1,1
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,12,12
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2008-02-01,2,2
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,117,117
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,2438,2438
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,34,34
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,6,6
COROICO,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,9,9
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,16,16
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,770,770
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,20,20
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,50,50
HUANUNI,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,5,5
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,2561,2561
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,54,54
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,9,9
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,14,14
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,113,113
OCURI,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,1,1
ORURO,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,461,461
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,13,13
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,41,41
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,35,35
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,202,202
PUERTO ACOSTA,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,9,9
PUERTO QUIJARRO,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,3,3
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,25,25
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,13,13
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,81,81
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,64,64
REYES,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,7,7
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,251,251
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,11,11
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,3,3
SACABA,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,59,59
SAN ANDRES,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,3,3
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,31,31
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,10,10
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,32,32
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,2,2
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,49,49
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2008-02-01,1,1
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,10,10
SAN JUAN DE YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,33,33
SAN LUCAS,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,3,3
SAN MATIAS,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,7,7
SAN RAMON,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,14,14
SAN RAMON,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,1,1
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,11,11
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,3123,3123
SANTA ROSA,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,2,2
SIPE SIPE,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,12,12
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,4,4
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,797,797
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,646,646
TIQUIPAYA,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,5,5
TIRAQUE (CBBA),cirugias y anestesias,cirugias medianas y mayores,2008-02-01,4,4
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,140,140
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,44,44
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,13,13
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,45,45
VIACHA,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,14,14
VILLA MONTES,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,45,45
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,8,8
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,21,21
VINTO,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,1,1
WARNES,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,25,25
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,89,89
ZUDAÑEZ,cirugias y anestesias,cirugias medianas y mayores,2008-02-01,1,1
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,2,2
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,12,12
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,8,8
ATOCHA,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,12,12
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,31,31
BETANZOS,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,6,6
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,35,35
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,44,44
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,21,21
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,4,4
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,7,7
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2008-03-01,2,2
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,108,108
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,2732,2732
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,37,37
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,6,6
COPACABANA,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,5,5
COROICO,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,19,19
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,23,23
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,664,664
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,19,19
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,71,71
HUANUNI,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,2,2
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,2723,2723
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,75,75
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,15,15
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,24,24
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,137,137
ORURO,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,555,555
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,21,21
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,6,6
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,46,46
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,187,187
PUERTO ACOSTA,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,14,14
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,28,28
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,17,17
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,34,34
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,56,56
REYES,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,10,10
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,252,252
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,10,10
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,13,13
SACABA,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,46,46
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,1,1
SAN ANDRES,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,4,4
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,27,27
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,16,16
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,35,35
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,5,5
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,38,38
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2008-03-01,5,5
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,2,2
