,group,variable,month,MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,7,0,7
ACHACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,46,1,47
ACHOCALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,10,0,10
AIQUILE,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,55,2,57
ALALAY,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,1,0,1
ALCALA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,4,0,4
ALTO BENI,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,12,1,13
ANCORAIMES,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,5,0,5
ANDAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,2,0,2
ANZALDO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,1,6,7
APOLO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,12,1,13
ARAMPAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,6,0,6
ARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,18,2,20
ARBIETO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,8,5,13
ARQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,17,2,19
ASCENCION DE GUARAYOS,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,52,0,52
ATOCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,10,1,11
AUCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,4,1,5
AYATA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,2,1,3
AYO AYO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,4,0,4
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,26,0,26
AZURDUY,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,13,10,23
BATALLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,10,0,10
BAURES,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,7,0,7
BELEN DE ANDAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,2,0,2
BELEN DE URMIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,1,1,2
BELLA FLOR,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,4,1,5
BERMEJO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,50,0,50
BETANZOS,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,25,2,27
BOLIVAR,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,6,2,8
BOYUIBE,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,7,2,9
BUENA VISTA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,9,0,9
CABEZAS,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,34,0,34
CAIROMA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,8,0,8
"CAIZA ""D""",consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,8,0,8
CAJUATA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,18,1,19
CALACOTO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,1,0,1
CALAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,10,0,10
CAMARGO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,27,8,35
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,2,1,3
CAMIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,45,0,45
CAPINOTA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,22,2,24
CAQUIAVIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,6,0,6
CARACOLLO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,17,0,17
CARANAVI,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,60,1,61
CARAPARI,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,32,1,33
CARIPUYO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,10,1,11
CARMEN RIVERO TORREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,2,0,2
CATACORA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,3,1,4
CHACARILLA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,2,0,2
CHALLAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,41,3,44
CHAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,7,1,8
CHARAGUA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,36,1,37
CHAYANTA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,10,3,13
CHIMORE,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,25,0,25
CHIPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,3,0,3
CHOQUE COTA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,20,0,20
CHUMA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,9,1,10
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,7,9,16
CKOCHAS,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,11,2,13
CLIZA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,32,0,32
COBIJA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,122,0,122
COCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,6,11,17
COCHABAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,1088,25,1113
COIPASA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,1,0,1
COLCAPIRHUA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,99,1,100
"COLCHA ""K""",consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,8,1,9
COLLANA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,4,0,4
COLOMI,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,34,0,34
COLPA BELGICA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,13,0,13
COLQUECHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,28,11,39
COLQUENCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,11,0,11
COLQUIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,16,17,33
COMANCHE,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,3,0,3
COMARAPA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,51,1,52
COMBAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,1,2,3
CONCEPCION,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,40,0,40
COPACABANA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,4,1,5
CORIPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,16,0,16
CORO CORO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,10,3,13
COROICO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,17,0,17
CORQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,4,1,5
COTAGAITA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,33,7,40
COTOCA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,78,0,78
CUATRO CAÑADAS,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,25,1,26
CUEVO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,5,0,5
CULPINA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,31,5,36
CURAHUARA DE CARANGAS,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,5,0,5
CURVA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,0,1,1
DESAGUADERO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,7,0,7
EL ALTO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,1009,0,1009
EL CHORO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,0,3,3
EL PUENTE(STC),consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,12,0,12
EL PUENTE(TJA),consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,15,2,17
EL TORNO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,71,2,73
EL VILLAR,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,3,1,4
ENTRE RIOS TRJ,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,33,3,36
ENTRE RIOS CBBA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,49,0,49
ESCOMA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,15,0,15
EUCALIPTUS,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,4,0,4
EXALTACION,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,4,0,4
FERNANDEZ ALONSO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,30,0,30
