,group,variable,month,NUEVAS ANTES DEL 5TO MES DE EMBARAZO CANTIDAD,NUEVAS ANTES DEL 5TO MES DE EMBARAZO CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,7,1,8
ACHACACHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,82,2,84
ACHOCALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,15,1,16
AIQUILE,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,53,4,57
ALALAY,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,1,0,1
ALCALA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,5,0,5
ALTO BENI,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,20,3,23
ANCORAIMES,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,13,1,14
ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,1,0,1
ANZALDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,4,0,4
APOLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,24,1,25
ARAMPAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,6,0,6
ARANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,16,0,16
ARBIETO,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,13,7,20
ARQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,19,0,19
ASCENCION DE GUARAYOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,41,0,41
ATOCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,20,2,22
AUCAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,3,0,3
AYATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,10,0,10
AYO AYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,5,0,5
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,30,0,30
AZURDUY,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,13,7,20
BATALLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,12,0,12
BAURES,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,11,0,11
BELEN DE URMIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,1,0,1
BELLA FLOR,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,2,0,2
BERMEJO,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,56,0,56
BETANZOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,33,5,38
BOLIVAR,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,5,1,6
BOLPEBRA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,2,0,2
BOYUIBE,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,5,0,5
BUENA VISTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,18,1,19
CABEZAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,34,0,34
CAIROMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,7,1,8
"CAIZA ""D""",consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,13,0,13
CAJUATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,10,4,14
CALACOTO,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,1,0,1
CALAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,15,5,20
CAMARGO,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,32,10,42
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,4,0,4
CAMIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,121,2,123
CAPINOTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,41,0,41
CAQUIAVIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,10,3,13
CARACOLLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,44,1,45
CARANAVI,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,130,9,139
CARAPARI,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,16,0,16
CARIPUYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,14,5,19
CARMEN RIVERO TORREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,9,0,9
CATACORA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,0,3,3
CHALLAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,40,4,44
CHAQUI,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,10,1,11
CHARAGUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,63,7,70
CHARAÑA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,1,0,1
CHAYANTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,24,1,25
CHIMORE,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,32,4,36
CHOQUE COTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,53,1,54
CHUMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,13,0,13
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,9,0,9
CKOCHAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,18,4,22
CLIZA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,49,0,49
COBIJA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,141,3,144
COCAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,8,15,23
COCHABAMBA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,1933,31,1964
COIPASA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,2,0,2
COLCAPIRHUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,132,1,133
"COLCHA ""K""",consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,10,0,10
COLLANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,2,0,2
COLOMI,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,40,0,40
COLPA BELGICA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,5,0,5
COLQUECHACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,23,6,29
COLQUENCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,9,0,9
COLQUIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,32,8,40
COMARAPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,40,1,41
COMBAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,2,0,2
CONCEPCION,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,43,0,43
COPACABANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,18,1,19
CORIPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,19,0,19
CORO CORO,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,3,0,3
COROICO,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,13,0,13
CORQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,5,2,7
COTAGAITA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,19,7,26
COTOCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,117,0,117
CUATRO CAÑADAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,30,1,31
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,1,1,2
CUEVO,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,6,2,8
CULPINA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,18,4,22
CURAHUARA DE CARANGAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,6,0,6
CURVA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,0,1,1
DESAGUADERO,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,6,0,6
EL ALTO,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,1977,6,1983
EL CHORO,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,2,0,2
EL PUENTE(STC),consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,34,0,34
EL PUENTE(TJA),consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,18,1,19
EL TORNO,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,126,0,126
EL VILLAR,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,8,0,8
ENTRE RIOS TRJ,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,30,2,32
ENTRE RIOS CBBA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,58,0,58
ESCOMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,17,0,17
EUCALIPTUS,consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,8,0,8
EUREKA (SANTOS MERCADO),consultas prenatales,nuevas antes del 5to mes de embarazo,2011-01-01,1,0,1
