,group,variable,month,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO CANTIDAD,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,2,0,2
ACHACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,103,5,108
ACHOCALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,4,5,9
AIQUILE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,25,3,28
ALALAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,3,1,4
ALCALA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,1,0,1
ALTO BENI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,2,2,4
ANCORAIMES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,11,3,14
ANDAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,2,1,3
ANTEQUERA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,6,1,7
ANZALDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,13,3,16
APOLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,7,7,14
ARAMPAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,4,3,7
ARANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,8,1,9
ARBIETO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,6,15,21
ARQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,12,0,12
ASCENCION DE GUARAYOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,18,0,18
ATOCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,13,0,13
AUCAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,5,0,5
AYATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,7,0,7
AYO AYO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,6,0,6
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,20,0,20
AZURDUY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,0,2,2
BATALLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,20,1,21
BAURES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,4,0,4
BELEN DE URMIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,0,1,1
BELLA FLOR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,0,1,1
BERMEJO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,19,0,19
BETANZOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,14,1,15
BOLIVAR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,3,1,4
BOYUIBE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,5,0,5
BUENA VISTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,6,1,7
CABEZAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,12,0,12
CAIROMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,7,1,8
"CAIZA ""D""",consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,6,1,7
CAJUATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,1,1,2
CALACOTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,2,2,4
CALAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,8,3,11
CAMARGO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,11,3,14
CAMIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,50,0,50
CAPINOTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,16,0,16
CAQUIAVIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,6,5,11
CARACOLLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,23,0,23
CARANAVI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,121,3,124
CARAPARI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,5,0,5
CARIPUYO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,4,1,5
CARMEN RIVERO TORREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,11,0,11
CHACARILLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,1,0,1
CHALLAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,35,7,42
CHAQUI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,4,0,4
CHARAGUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,49,2,51
CHARAÑA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,3,0,3
CHAYANTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,6,5,11
CHIMORE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,13,2,15
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,12,0,12
CHUMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,13,3,16
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,2,0,2
CKOCHAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,10,2,12
CLIZA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,23,0,23
COBIJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,33,0,33
COCAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,6,3,9
COCHABAMBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,1462,13,1475
COLCAPIRHUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,84,0,84
"COLCHA ""K""",consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,9,0,9
COLOMI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,34,0,34
COLPA BELGICA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,9,0,9
COLQUECHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,17,6,23
COLQUENCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,9,1,10
COLQUIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,5,1,6
COMANCHE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,0,2,2
COMARAPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,6,0,6
CONCEPCION,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,29,0,29
COPACABANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,7,1,8
CORIPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,19,0,19
CORO CORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,6,4,10
COROICO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,16,0,16
CORQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,6,0,6
COTAGAITA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,5,7,12
COTOCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,51,0,51
CUATRO CAÑADAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,11,2,13
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,1,0,1
CUEVO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,2,3,5
CULPINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,7,0,7
CURAHUARA DE CARANGAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,2,0,2
CURVA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,0,2,2
DESAGUADERO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,3,0,3
EL ALTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,1192,0,1192
EL CHORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,0,1,1
EL PUENTE(STC),consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,10,0,10
EL PUENTE(TJA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,6,0,6
EL TORNO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,35,0,35
EL VILLAR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,2,0,2
ENTRE RIOS TRJ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,15,0,15
ENTRE RIOS CBBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,30,0,30
ESCOMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,8,0,8
EUCALIPTUS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,5,0,5
FERNANDEZ ALONSO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,7,0,7
FILADELFIA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,8,0,8
GENERAL SAAVEDRA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,11,0,11
