,group,variable,month,REPETIDAS TOTAL 4.3 REPETIDAS,REPETIDAS TOTAL 4.3 REPETIDAS,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,consultas prenatales,repetidas,2011-01-01,22,3,25
ACHACACHI,consultas prenatales,repetidas,2011-01-01,159,5,164
ACHOCALLA,consultas prenatales,repetidas,2011-01-01,48,3,51
AIQUILE,consultas prenatales,repetidas,2011-01-01,208,5,213
ALALAY,consultas prenatales,repetidas,2011-01-01,2,5,7
ALCALA,consultas prenatales,repetidas,2011-01-01,19,6,25
ALTO BENI,consultas prenatales,repetidas,2011-01-01,67,7,74
ANCORAIMES,consultas prenatales,repetidas,2011-01-01,32,3,35
ANDAMARCA,consultas prenatales,repetidas,2011-01-01,9,2,11
ANTEQUERA,consultas prenatales,repetidas,2011-01-01,10,2,12
ANZALDO,consultas prenatales,repetidas,2011-01-01,16,8,24
APOLO,consultas prenatales,repetidas,2011-01-01,110,2,112
ARAMPAMPA,consultas prenatales,repetidas,2011-01-01,11,0,11
ARANI,consultas prenatales,repetidas,2011-01-01,98,5,103
ARBIETO,consultas prenatales,repetidas,2011-01-01,44,18,62
ARQUE,consultas prenatales,repetidas,2011-01-01,79,4,83
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2011-01-01,192,0,192
ATOCHA,consultas prenatales,repetidas,2011-01-01,79,2,81
AUCAPATA,consultas prenatales,repetidas,2011-01-01,14,1,15
AYATA,consultas prenatales,repetidas,2011-01-01,24,1,25
AYO AYO,consultas prenatales,repetidas,2011-01-01,35,0,35
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2011-01-01,143,6,149
AZURDUY,consultas prenatales,repetidas,2011-01-01,36,27,63
BATALLAS,consultas prenatales,repetidas,2011-01-01,60,0,60
BAURES,consultas prenatales,repetidas,2011-01-01,29,0,29
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2011-01-01,5,1,6
BELEN DE URMIRI,consultas prenatales,repetidas,2011-01-01,1,2,3
BELLA FLOR,consultas prenatales,repetidas,2011-01-01,6,5,11
BERMEJO,consultas prenatales,repetidas,2011-01-01,289,0,289
BETANZOS,consultas prenatales,repetidas,2011-01-01,132,20,152
BOLIVAR,consultas prenatales,repetidas,2011-01-01,26,2,28
BOLPEBRA,consultas prenatales,repetidas,2011-01-01,5,0,5
BOYUIBE,consultas prenatales,repetidas,2011-01-01,23,2,25
BUENA VISTA,consultas prenatales,repetidas,2011-01-01,78,2,80
CABEZAS,consultas prenatales,repetidas,2011-01-01,150,1,151
CAIROMA,consultas prenatales,repetidas,2011-01-01,36,0,36
"CAIZA ""D""",consultas prenatales,repetidas,2011-01-01,35,0,35
CAJUATA,consultas prenatales,repetidas,2011-01-01,52,6,58
CALACOTO,consultas prenatales,repetidas,2011-01-01,9,3,12
CALAMARCA,consultas prenatales,repetidas,2011-01-01,39,6,45
CAMARGO,consultas prenatales,repetidas,2011-01-01,104,22,126
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2011-01-01,15,3,18
CAMIRI,consultas prenatales,repetidas,2011-01-01,323,0,323
CAPINOTA,consultas prenatales,repetidas,2011-01-01,203,3,206
CAQUIAVIRI,consultas prenatales,repetidas,2011-01-01,25,4,29
CARACOLLO,consultas prenatales,repetidas,2011-01-01,81,2,83
CARANAVI,consultas prenatales,repetidas,2011-01-01,420,7,427
CARAPARI,consultas prenatales,repetidas,2011-01-01,104,8,112
CARIPUYO,consultas prenatales,repetidas,2011-01-01,36,15,51
CARMEN RIVERO TORREZ,consultas prenatales,repetidas,2011-01-01,24,3,27
CATACORA,consultas prenatales,repetidas,2011-01-01,8,1,9
CHACARILLA,consultas prenatales,repetidas,2011-01-01,3,0,3
CHALLAPATA,consultas prenatales,repetidas,2011-01-01,229,26,255
CHAQUI,consultas prenatales,repetidas,2011-01-01,22,3,25
CHARAGUA,consultas prenatales,repetidas,2011-01-01,194,5,199
CHARAÑA,consultas prenatales,repetidas,2011-01-01,10,0,10
CHAYANTA,consultas prenatales,repetidas,2011-01-01,51,16,67
CHIMORE,consultas prenatales,repetidas,2011-01-01,135,2,137
CHIPAYA,consultas prenatales,repetidas,2011-01-01,9,0,9
CHOQUE COTA,consultas prenatales,repetidas,2011-01-01,4,0,4
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,repetidas,2011-01-01,152,1,153
CHUMA,consultas prenatales,repetidas,2011-01-01,33,3,36
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,repetidas,2011-01-01,34,15,49
CKOCHAS,consultas prenatales,repetidas,2011-01-01,39,12,51
CLIZA,consultas prenatales,repetidas,2011-01-01,315,0,315
COBIJA,consultas prenatales,repetidas,2011-01-01,748,0,748
COCAPATA,consultas prenatales,repetidas,2011-01-01,24,39,63
COCHABAMBA,consultas prenatales,repetidas,2011-01-01,6558,61,6619
COIPASA,consultas prenatales,repetidas,2011-01-01,4,0,4
COLCAPIRHUA,consultas prenatales,repetidas,2011-01-01,358,3,361
"COLCHA ""K""",consultas prenatales,repetidas,2011-01-01,32,1,33
COLLANA,consultas prenatales,repetidas,2011-01-01,15,0,15
COLOMI,consultas prenatales,repetidas,2011-01-01,125,1,126
COLPA BELGICA,consultas prenatales,repetidas,2011-01-01,61,0,61
COLQUECHACA,consultas prenatales,repetidas,2011-01-01,116,45,161
COLQUENCHA,consultas prenatales,repetidas,2011-01-01,55,2,57
COLQUIRI,consultas prenatales,repetidas,2011-01-01,42,25,67
COMANCHE,consultas prenatales,repetidas,2011-01-01,6,1,7
COMARAPA,consultas prenatales,repetidas,2011-01-01,228,2,230
COMBAYA,consultas prenatales,repetidas,2011-01-01,2,2,4
CONCEPCION,consultas prenatales,repetidas,2011-01-01,141,0,141
COPACABANA,consultas prenatales,repetidas,2011-01-01,56,8,64
CORIPATA,consultas prenatales,repetidas,2011-01-01,104,0,104
CORO CORO,consultas prenatales,repetidas,2011-01-01,30,9,39
COROICO,consultas prenatales,repetidas,2011-01-01,95,2,97
CORQUE,consultas prenatales,repetidas,2011-01-01,21,1,22
COTAGAITA,consultas prenatales,repetidas,2011-01-01,119,27,146
COTOCA,consultas prenatales,repetidas,2011-01-01,488,0,488
CUATRO CAÑADAS,consultas prenatales,repetidas,2011-01-01,156,1,157
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,repetidas,2011-01-01,6,1,7
CUEVO,consultas prenatales,repetidas,2011-01-01,18,3,21
CULPINA,consultas prenatales,repetidas,2011-01-01,83,11,94
CURAHUARA DE CARANGAS,consultas prenatales,repetidas,2011-01-01,32,0,32
CURVA,consultas prenatales,repetidas,2011-01-01,1,2,3
DESAGUADERO,consultas prenatales,repetidas,2011-01-01,30,0,30
EL ALTO,consultas prenatales,repetidas,2011-01-01,6404,4,6408
EL CHORO,consultas prenatales,repetidas,2011-01-01,8,9,17
EL PUENTE(STC),consultas prenatales,repetidas,2011-01-01,163,0,163
EL PUENTE(TJA),consultas prenatales,repetidas,2011-01-01,68,4,72
EL TORNO,consultas prenatales,repetidas,2011-01-01,390,6,396
EL VILLAR,consultas prenatales,repetidas,2011-01-01,12,3,15
ENTRE RIOS TRJ,consultas prenatales,repetidas,2011-01-01,108,10,118
ENTRE RIOS CBBA,consultas prenatales,repetidas,2011-01-01,227,0,227
ESCARA,consultas prenatales,repetidas,2011-01-01,1,0,1
ESCOMA,consultas prenatales,repetidas,2011-01-01,39,0,39
EUCALIPTUS,consultas prenatales,repetidas,2011-01-01,23,0,23
EUREKA (SANTOS MERCADO),consultas prenatales,repetidas,2011-01-01,5,2,7
EXALTACION,consultas prenatales,repetidas,2011-01-01,5,0,5
FERNANDEZ ALONSO,consultas prenatales,repetidas,2011-01-01,110,0,110
FILADELFIA,consultas prenatales,repetidas,2011-01-01,30,0,30
GENERAL SAAVEDRA,consultas prenatales,repetidas,2011-01-01,113,7,120
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,repetidas,2011-01-01,21,1,22
GUANAY,consultas prenatales,repetidas,2011-01-01,100,1,101
GUAQUI,consultas prenatales,repetidas,2011-01-01,27,4,31
GUAYARAMERIN,consultas prenatales,repetidas,2011-01-01,414,43,457
GUTIERREZ,consultas prenatales,repetidas,2011-01-01,65,6,71
HUACARETA,consultas prenatales,repetidas,2011-01-01,51,12,63
HUACAYA (VILLA DE HUACAYA),consultas prenatales,repetidas,2011-01-01,7,7,14
HUACHACALLA,consultas prenatales,repetidas,2011-01-01,1,0,1
HUANUNI,consultas prenatales,repetidas,2011-01-01,230,0,230
HUARACAJE,consultas prenatales,repetidas,2011-01-01,21,0,21
HUARINA,consultas prenatales,repetidas,2011-01-01,15,0,15
HUAYLLAMARCA,consultas prenatales,repetidas,2011-01-01,19,2,21
HUMANATA,consultas prenatales,repetidas,2011-01-01,6,0,6
ICHOCA,consultas prenatales,repetidas,2011-01-01,4,7,11
ICLA,consultas prenatales,repetidas,2011-01-01,31,13,44
INCAHUASI,consultas prenatales,repetidas,2011-01-01,65,45,110
INGAVI (HUMAITA),consultas prenatales,repetidas,2011-01-01,5,0,5
INQUISIVI,consultas prenatales,repetidas,2011-01-01,18,6,24
IRUPANA (VILLA DE LANZA),consultas prenatales,repetidas,2011-01-01,75,1,76
IXIAMAS,consultas prenatales,repetidas,2011-01-01,60,2,62
JESUS DE MACHACA,consultas prenatales,repetidas,2011-01-01,70,0,70
LA ASUNTA,consultas prenatales,repetidas,2011-01-01,256,0,256
LA GUARDIA,consultas prenatales,repetidas,2011-01-01,601,0,601
LA PAZ,consultas prenatales,repetidas,2011-01-01,7873,9,7882
LA RIVERA,consultas prenatales,repetidas,2011-01-01,1,0,1
LAGUNILLAS,consultas prenatales,repetidas,2011-01-01,35,0,35
LAJA,consultas prenatales,repetidas,2011-01-01,82,6,88
LAS CARRERAS,consultas prenatales,repetidas,2011-01-01,11,0,11
