,group,variable,month,MUJER EMBARAZADA VIVAX,MUJER EMBARAZADA VIVAX,MUJER EMBARAZADA FALCIPARUM,MUJER EMBARAZADA FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
GUAYARAMERIN,malaria,mujer embarazada,2019-01-01,0,1,0,0,0,1,1
POROMA,malaria,mujer embarazada,2019-01-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2019-01-01,0,5,0,0,0,5,5
SENA,malaria,mujer embarazada,2019-01-01,0,1,0,0,0,1,1
YACUIBA,malaria,mujer embarazada,2019-01-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,mujer embarazada,2019-02-01,0,1,0,0,0,1,1
IXIAMAS,malaria,mujer embarazada,2019-02-01,0,1,0,0,0,1,1
MACHARETI,malaria,mujer embarazada,2019-02-01,0,0,0,1,0,1,1
POROMA,malaria,mujer embarazada,2019-02-01,0,6,0,0,0,6,6
SUCRE,malaria,mujer embarazada,2019-02-01,0,2,0,0,0,2,2
GUAYARAMERIN,malaria,mujer embarazada,2019-03-01,0,2,0,0,0,2,2
POROMA,malaria,mujer embarazada,2019-03-01,0,1,0,2,0,3,3
RIBERALTA,malaria,mujer embarazada,2019-03-01,0,5,0,0,0,5,5
SENA,malaria,mujer embarazada,2019-03-01,0,2,0,0,0,2,2
SUCRE,malaria,mujer embarazada,2019-03-01,0,0,0,1,0,1,1
GUAYARAMERIN,malaria,mujer embarazada,2019-04-01,0,1,0,0,0,1,1
POROMA,malaria,mujer embarazada,2019-04-01,0,2,0,0,0,2,2
RIBERALTA,malaria,mujer embarazada,2019-04-01,0,2,0,0,0,2,2
COBIJA,malaria,mujer embarazada,2019-05-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,mujer embarazada,2019-05-01,0,2,0,0,0,2,2
IXIAMAS,malaria,mujer embarazada,2019-05-01,0,1,0,0,0,1,1
POROMA,malaria,mujer embarazada,2019-05-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2019-05-01,0,1,0,0,0,1,1
SENA,malaria,mujer embarazada,2019-05-01,0,1,0,0,0,1,1
SUCRE,malaria,mujer embarazada,2019-05-01,0,1,0,0,0,1,1
