,group,variable,month,DE 5 AÑOS Y MÁS VIVAX,DE 5 AÑOS Y MÁS VIVAX,DE 5 AÑOS Y MÁS FALCIPARUM,DE 5 AÑOS Y MÁS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BELLA FLOR,malaria,de 5 anos y mas,2019-01-01,2,0,0,0,2,0,2
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2019-01-01,6,4,0,0,6,4,10
FILADELFIA,malaria,de 5 anos y mas,2019-01-01,1,1,0,0,1,1,2
GUAYARAMERIN,malaria,de 5 anos y mas,2019-01-01,51,27,0,0,51,27,78
IXIAMAS,malaria,de 5 anos y mas,2019-01-01,9,8,0,0,9,8,17
MAGDALENA,malaria,de 5 anos y mas,2019-01-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 5 anos y mas,2019-01-01,13,1,0,0,13,1,14
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 5 anos y mas,2019-01-01,8,4,0,0,8,4,12
PUERTO GONZALO MORENO,malaria,de 5 anos y mas,2019-01-01,0,1,0,0,0,1,1
PUERTO RICO,malaria,de 5 anos y mas,2019-01-01,2,4,0,0,2,4,6
REYES,malaria,de 5 anos y mas,2019-01-01,2,5,0,0,2,5,7
RIBERALTA,malaria,de 5 anos y mas,2019-01-01,115,48,0,0,115,48,163
RURRENABAQUE,malaria,de 5 anos y mas,2019-01-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,de 5 anos y mas,2019-01-01,5,11,0,0,5,11,16
SAN PEDRO(PND),malaria,de 5 anos y mas,2019-01-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,malaria,de 5 anos y mas,2019-01-01,1,0,0,0,1,0,1
SANTA ROSA,malaria,de 5 anos y mas,2019-01-01,3,1,0,0,3,1,4
SENA,malaria,de 5 anos y mas,2019-01-01,35,15,0,0,35,15,50
VILLA NUEVA (LOMA ALTA),malaria,de 5 anos y mas,2019-01-01,2,0,0,0,2,0,2
YACUIBA,malaria,de 5 anos y mas,2019-01-01,13,9,0,0,13,9,22
COBIJA,malaria,de 5 anos y mas,2019-02-01,1,1,0,0,1,1,2
