,group,variable,month,MENORES DE 1 AÑO VIVAX,MENORES DE 1 AÑO VIVAX,MENORES DE 1 AÑO FALCIPARUM,MENORES DE 1 AÑO FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
SANTA CRUZ DE LA SIERRA,malaria,menores de 1 ano,2019-01-01,2,0,0,0,2,0,2
SENA,malaria,menores de 1 ano,2019-01-01,0,1,0,0,0,1,1
COBIJA,malaria,menores de 1 ano,2019-02-01,0,1,0,0,0,1,1
RIBERALTA,malaria,menores de 1 ano,2019-03-01,1,1,0,0,1,1,2
RIBERALTA,malaria,menores de 1 ano,2019-04-01,1,2,0,0,1,2,3
VILLA NUEVA (LOMA ALTA),malaria,menores de 1 ano,2019-04-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,menores de 1 ano,2019-05-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,menores de 1 ano,2019-05-01,1,0,0,0,1,0,1
RIBERALTA,malaria,menores de 1 ano,2019-05-01,1,0,0,0,1,0,1
MONTERO,malaria,menores de 1 ano,2019-06-01,0,0,0,0,0,0,0
REYES,malaria,menores de 1 ano,2019-06-01,0,1,0,0,0,1,1
SENA,malaria,menores de 1 ano,2019-06-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,menores de 1 ano,2019-07-01,0,0,1,0,1,0,1
IXIAMAS,malaria,menores de 1 ano,2019-07-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,menores de 1 ano,2019-07-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,menores de 1 ano,2019-08-01,1,0,0,0,1,0,1
RIBERALTA,malaria,menores de 1 ano,2019-08-01,0,1,0,0,0,1,1
SENA,malaria,menores de 1 ano,2019-08-01,0,1,0,0,0,1,1
VILLA MONTES,malaria,menores de 1 ano,2019-08-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,menores de 1 ano,2019-09-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,menores de 1 ano,2019-09-01,0,1,0,0,0,1,1
VILLA MONTES,malaria,menores de 1 ano,2019-09-01,0,0,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),malaria,menores de 1 ano,2019-09-01,1,1,0,0,1,1,2
RIBERALTA,malaria,menores de 1 ano,2019-10-01,1,0,0,0,1,0,1
SENA,malaria,menores de 1 ano,2019-10-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,menores de 1 ano,2019-11-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,menores de 1 ano,2019-11-01,1,0,0,0,1,0,1
OMEREQUE,malaria,menores de 1 ano,2019-11-01,0,1,0,0,0,1,1
SENA,malaria,menores de 1 ano,2019-11-01,0,1,0,0,0,1,1
TOMAVE,malaria,menores de 1 ano,2019-11-01,0,0,0,1,0,1,1
YACUIBA,malaria,menores de 1 ano,2019-11-01,0,2,0,0,0,2,2
SENA,malaria,menores de 1 ano,2019-12-01,0,1,0,0,0,1,1
VILLA NUEVA (LOMA ALTA),malaria,menores de 1 ano,2019-12-01,0,1,0,0,0,1,1
