,group,variable,month,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2019-01-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2019-01-01,3,0,0,0,3,0,3
IXIAMAS,malaria,de 1 a menores de 5 anos,2019-01-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2019-01-01,1,0,0,0,1,0,1
REYES,malaria,de 1 a menores de 5 anos,2019-01-01,0,1,0,0,0,1,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2019-01-01,5,6,0,0,5,6,11
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2019-01-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,malaria,de 1 a menores de 5 anos,2019-01-01,1,0,0,0,1,0,1
SANTA ROSA,malaria,de 1 a menores de 5 anos,2019-01-01,0,1,0,0,0,1,1
SENA,malaria,de 1 a menores de 5 anos,2019-01-01,2,1,0,0,2,1,3
VILLA SERRANO,malaria,de 1 a menores de 5 anos,2019-01-01,1,0,0,0,1,0,1
YACUIBA,malaria,de 1 a menores de 5 anos,2019-01-01,1,1,0,0,1,1,2
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2019-02-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2019-02-01,3,1,0,0,3,1,4
IXIAMAS,malaria,de 1 a menores de 5 anos,2019-02-01,2,3,0,0,2,3,5
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2019-02-01,0,1,0,0,0,1,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2019-02-01,3,5,0,0,3,5,8
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2019-02-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2019-03-01,5,2,0,0,5,2,7
