municipality,group,variable,month,Neumonías,TOTAL
ACHACACHI,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,2,2
AIQUILE,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,7,7
APOLO,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,1,1
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,19,19
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,1,1
BERMEJO,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,1,1
BETANZOS,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,1,1
BUENA VISTA,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,1,1
CABEZAS,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,7,7
CAIROMA,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,2,2
CAMARGO,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,1,1
CAMIRI,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,20,20
CARANAVI,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,3,3
CHARAGUA,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,3,3
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,1,1
COBIJA,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,5,5
COCHABAMBA,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,93,93
COLCAPIRHUA,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,1,1
CONCEPCION,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,4,4
COROICO,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,1,1
COTOCA,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,2,2
CULPINA,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,2,2
EL ALTO,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,59,59
EL TORNO,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,5,5
ENTRE RIOS,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,1,1
FERNANDEZ ALONSO,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,7,7
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,7,7
HUANUNI,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,1,1
INCAHUASI,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,1,1
IXIAMAS,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,2,2
LA ASUNTA,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,3,3
LA GUARDIA,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,1,1
LA PAZ,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,24,24
LAGUNILLAS,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,1,1
LLALLAGUA,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,5,5
MAGDALENA,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,2,2
MAIRANA,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,1,1
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,1,1
MONTERO,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,36,36
ORURO,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,11,11
PADILLA,diagnostico de egreso en menores de 5 anos,neumonias,2005-01-01,1,1
