municipality,group,variable,month,Diarreas,TOTAL
AIQUILE,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,6,6
APOLO,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,1,1
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,18,18
ATOCHA,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,2,2
BERMEJO,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,35,35
BETANZOS,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,2,2
CABEZAS,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,3,3
CAMARGO,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,1,1
CAMIRI,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,31,31
CAPINOTA,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,3,3
CARANAVI,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,5,5
CHALLAPATA,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,8,8
CHARAGUA,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,2,2
COBIJA,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,9,9
COCHABAMBA,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,253,253
COLCAPIRHUA,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,1,1
COMARAPA,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,13,13
CONCEPCION,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,1,1
COPACABANA,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,2,2
COROICO,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,1,1
COTOCA,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,9,9
CUEVO,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,2,2
CULPINA,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,1,1
CURAHUARA DE CARANGAS,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,1,1
EL ALTO,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,71,71
EL TORNO,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,10,10
FERNANDEZ ALONSO,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,28,28
GRAL. J.J. PEREZ (CHARAZANI),diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,1,1
GUANAY,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,2,2
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,17,17
HUANUNI,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,5,5
LA ASUNTA,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,3,3
LA GUARDIA,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,1,1
LA PAZ,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,76,76
LLALLAGUA,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,12,12
MAGDALENA,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,3,3
MAIRANA,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,1,1
MAPIRI,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,1,1
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,10,10
MONTERO,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,59,59
ORURO,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,79,79
PADILLA,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,3,3
PAILON,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,4,4
PALOS BLANCOS,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,3,3
PORTACHUELO,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,4,4
POTOSI,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,42,42
PUERTO ACOSTA,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,1,1
PUERTO QUIJARRO,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,3,3
PUERTO SUAREZ,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,2,2
PUERTO VILLARROEL,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,4,4
PUNA,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,7,7
PUNATA,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,18,18
QUILLACOLLO,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,19,19
RAVELO,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,1,1
REYES,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,1,1
RIBERALTA,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,78,78
ROBORE,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,1,1
RURRENABAQUE,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,1,1
SACABA,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,43,43
SACACA,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,2,2
SAMAIPATA,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,2,2
SAN ANDRES,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,1,1
SAN BORJA,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,8,8
SAN CARLOS,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,26,26
SAN IGNACIO,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,7,7
SAN IGNACIO DE VELASCO,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,29,29
SAN JAVIER(STC),diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,3,3
SAN JOAQUIN,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,2,2
SAN JOSE DE CHIQUITOS,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,1,1
SAN JUAN DE YAPACANI,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,2,2
SAN JULIAN,diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,22,22
SAN LORENZO(TJA),diagnostico de egreso en menores de 5 anos,diarreas,2005-01-01,3,3
