municipality,group,variable,month,Otros,TOTAL
ACHACACHI,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,3,3
AIQUILE,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,17,17
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,15,15
ATOCHA,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso en menores de 5 anos,otros,2005-01-01,4,4
BERMEJO,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,18,18
BETANZOS,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,3,3
BOYUIBE,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,2,2
BUENA VISTA,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,2,2
CABEZAS,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,2,2
CAMARGO,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,11,11
CAMIRI,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,52,52
CAPINOTA,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,1,1
CARANAVI,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,18,18
CHALLAPATA,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,5,5
CHARAGUA,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,15,15
COBIJA,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,16,16
COCHABAMBA,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,258,258
COLCAPIRHUA,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,7,7
COLPA BELGICA,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,1,1
COMARAPA,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,7,7
CONCEPCION,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,1,1
COROICO,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,10,10
COTOCA,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,4,4
EL ALTO,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,193,193
ENTRE RIOS,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,3,3
FERNANDEZ ALONSO,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,413,413
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,26,26
GUTIERREZ,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,1,1
HUANUNI,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,3,3
INCAHUASI,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,1,1
