municipality,group,variable,month,Curaciones y/o suturas,TOTAL
ACACIO,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,29,29
ACHACACHI,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,209,209
ACHOCALLA,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,75,75
AIQUILE,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,126,126
ALALAY,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,5,5
ALCALA,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,32,32
ANCORAIMES,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,68,68
ANDAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,69,69
ANTEQUERA,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,30,30
ANZALDO,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,27,27
APOLO,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,75,75
ARAMPAMPA,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,26,26
ARANI,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,93,93
ARBIETO,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,53,53
ARQUE,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,22,22
ASCENCION DE GUARAYOS,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,487,487
ATOCHA,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,83,83
AUCAPATA,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,22,22
AYATA,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,51,51
AYO AYO,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,21,21
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,90,90
AZURDUY,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,50,50
BATALLAS,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,37,37
BAURES,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,147,147
BELEN DE ANDAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,5,5
BELEN DE URMIRI,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,14,14
BELLA FLOR,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,19,19
BERMEJO,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,1386,1386
BETANZOS,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,143,143
BOLIVAR,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,11,11
BOLPEBRA,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,31,31
BOYUIBE,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,46,46
BUENA VISTA,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,108,108
CABEZAS,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,105,105
CAIROMA,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,35,35
"CAIZA ""D""",otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,15,15
CAJUATA,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,63,63
CALACOTO,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,13,13
CALAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,83,83
CAMARGO,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,92,92
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,15,15
CAMIRI,otras actividades de enfermeria,curaciones y/o suturas,2009-01-01,943,943
