municipality,group,variable,month,Inyectables,TOTAL
ACACIO,otras actividades de enfermeria,inyectables,2009-01-01,137,137
ACHACACHI,otras actividades de enfermeria,inyectables,2009-01-01,889,889
ACHOCALLA,otras actividades de enfermeria,inyectables,2009-01-01,94,94
AIQUILE,otras actividades de enfermeria,inyectables,2009-01-01,958,958
ALALAY,otras actividades de enfermeria,inyectables,2009-01-01,27,27
ALCALA,otras actividades de enfermeria,inyectables,2009-01-01,240,240
ANCORAIMES,otras actividades de enfermeria,inyectables,2009-01-01,266,266
ANDAMARCA,otras actividades de enfermeria,inyectables,2009-01-01,137,137
ANTEQUERA,otras actividades de enfermeria,inyectables,2009-01-01,96,96
ANZALDO,otras actividades de enfermeria,inyectables,2009-01-01,84,84
APOLO,otras actividades de enfermeria,inyectables,2009-01-01,538,538
ARAMPAMPA,otras actividades de enfermeria,inyectables,2009-01-01,115,115
ARANI,otras actividades de enfermeria,inyectables,2009-01-01,159,159
ARBIETO,otras actividades de enfermeria,inyectables,2009-01-01,230,230
ARQUE,otras actividades de enfermeria,inyectables,2009-01-01,116,116
ASCENCION DE GUARAYOS,otras actividades de enfermeria,inyectables,2009-01-01,5464,5464
ATOCHA,otras actividades de enfermeria,inyectables,2009-01-01,647,647
AUCAPATA,otras actividades de enfermeria,inyectables,2009-01-01,47,47
AYATA,otras actividades de enfermeria,inyectables,2009-01-01,77,77
AYO AYO,otras actividades de enfermeria,inyectables,2009-01-01,71,71
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,inyectables,2009-01-01,719,719
AZURDUY,otras actividades de enfermeria,inyectables,2009-01-01,518,518
BATALLAS,otras actividades de enfermeria,inyectables,2009-01-01,286,286
BAURES,otras actividades de enfermeria,inyectables,2009-01-01,528,528
BELEN DE ANDAMARCA,otras actividades de enfermeria,inyectables,2009-01-01,5,5
BELEN DE URMIRI,otras actividades de enfermeria,inyectables,2009-01-01,34,34
BELLA FLOR,otras actividades de enfermeria,inyectables,2009-01-01,53,53
BERMEJO,otras actividades de enfermeria,inyectables,2009-01-01,5921,5921
BETANZOS,otras actividades de enfermeria,inyectables,2009-01-01,1322,1322
BOLIVAR,otras actividades de enfermeria,inyectables,2009-01-01,87,87
BOLPEBRA,otras actividades de enfermeria,inyectables,2009-01-01,92,92
BOYUIBE,otras actividades de enfermeria,inyectables,2009-01-01,433,433
BUENA VISTA,otras actividades de enfermeria,inyectables,2009-01-01,551,551
CABEZAS,otras actividades de enfermeria,inyectables,2009-01-01,1190,1190
CAIROMA,otras actividades de enfermeria,inyectables,2009-01-01,242,242
"CAIZA ""D""",otras actividades de enfermeria,inyectables,2009-01-01,294,294
CAJUATA,otras actividades de enfermeria,inyectables,2009-01-01,402,402
CALACOTO,otras actividades de enfermeria,inyectables,2009-01-01,54,54
CALAMARCA,otras actividades de enfermeria,inyectables,2009-01-01,231,231
CAMARGO,otras actividades de enfermeria,inyectables,2009-01-01,1781,1781
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,inyectables,2009-01-01,167,167
CAMIRI,otras actividades de enfermeria,inyectables,2009-01-01,10263,10263
CAPINOTA,otras actividades de enfermeria,inyectables,2009-01-01,825,825
CAQUIAVIRI,otras actividades de enfermeria,inyectables,2009-01-01,75,75
CARACOLLO,otras actividades de enfermeria,inyectables,2009-01-01,457,457
CARANAVI,otras actividades de enfermeria,inyectables,2009-01-01,3018,3018
CARANGAS,otras actividades de enfermeria,inyectables,2009-01-01,8,8
CARAPARI,otras actividades de enfermeria,inyectables,2009-01-01,870,870
CARIPUYO,otras actividades de enfermeria,inyectables,2009-01-01,114,114
CARMEN RIVERO TORREZ,otras actividades de enfermeria,inyectables,2009-01-01,76,76
CATACORA,otras actividades de enfermeria,inyectables,2009-01-01,25,25
CHALLAPATA,otras actividades de enfermeria,inyectables,2009-01-01,1232,1232
CHAQUI,otras actividades de enfermeria,inyectables,2009-01-01,144,144
CHARAGUA,otras actividades de enfermeria,inyectables,2009-01-01,1256,1256
CHARAÑA,otras actividades de enfermeria,inyectables,2009-01-01,28,28
CHAYANTA,otras actividades de enfermeria,inyectables,2009-01-01,345,345
CHIMORE,otras actividades de enfermeria,inyectables,2009-01-01,1007,1007
CHIPAYA,otras actividades de enfermeria,inyectables,2009-01-01,29,29
