,group,variable,month,CONSULTAS NUEVAS DE 60 AÑOS Y MÁS CANTIDAD,CONSULTAS NUEVAS DE 60 AÑOS Y MÁS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,2,2,2,4
ACHACACHI,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,57,49,57,49,106
ACHOCALLA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,1,0,1,1
AIQUILE,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,42,60,42,60,102
ALCALA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,1,1,1,2
ALTO BENI,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,3,1,3,1,4
ANCORAIMES,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,10,13,10,13,23
ANDAMARCA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,2,2,2,4
ANTEQUERA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,3,3,3,3,6
ANZALDO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,4,4,4,4,8
APOLO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,4,0,4,4
ARANI,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,3,2,3,2,5
ARBIETO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,28,7,28,7,35
ASCENCION DE GUARAYOS,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,12,19,12,19,31
ATOCHA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,77,64,77,64,141
AYO AYO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,3,1,3,1,4
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,8,5,8,5,13
BATALLAS,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,1,1,1,2
BELEN DE URMIRI,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,1,1,1,2
BERMEJO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,10,38,10,38,48
BETANZOS,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,19,16,19,16,35
BOLIVAR,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,3,5,3,5,8
BOYUIBE,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,0,1,0,1
CABEZAS,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,18,25,18,25,43
CAIROMA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,59,52,59,52,111
CAJUATA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,2,1,2,3
CALAMARCA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,29,34,29,34,63
CAMARGO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,9,12,9,12,21
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,3,2,3,2,5
CAMIRI,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,57,71,57,71,128
CAPINOTA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,11,21,11,21,32
CAQUIAVIRI,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,5,3,5,3,8
CARACOLLO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,9,5,9,5,14
CARANAVI,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,3,3,3,3,6
CARAPARI,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,1,1,1,2
CARIPUYO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,2,1,2,3
CATACORA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,1,0,1,1
CHALLAPATA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,9,23,9,23,32
CHARAGUA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,138,33,138,33,171
