,group,variable,month,ACCIONES PREVENTIVAS FUERA DEL ESTABLECIMIENTO CANTIDAD,ACCIONES PREVENTIVAS FUERA DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,18,33,18,33,51
AIQUILE,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,0,9,0,9,9
ALCALA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,72,114,72,114,186
ALTO BENI,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,18,8,18,8,26
ANCORAIMES,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,32,43,32,43,75
ANDAMARCA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,4,7,4,7,11
ARANI,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,296,312,296,312,608
ARBIETO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,8,17,8,17,25
ATOCHA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,17,10,17,10,27
AUCAPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,0,2,0,2,2
AYATA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,1,3,1,3,4
BELLA FLOR,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,20,17,20,17,37
BERMEJO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,1,5,1,5,6
BETANZOS,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,1,0,1,0,1
BOLIVAR,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,1,1,1,1,2
BOLPEBRA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,40,60,40,60,100
CABEZAS,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,9,3,9,3,12
CALACOTO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,13,7,13,7,20
CALAMARCA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,27,36,27,36,63
CAMARGO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,21,33,21,33,54
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,4,14,4,14,18
CAMIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,37,49,37,49,86
CARANAVI,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,7,13,7,13,20
CARAPARI,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,4,2,4,2,6
CARIPUYO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,6,9,6,9,15
CATACORA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,0,2,0,2,2
CHALLAPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,0,2,0,2,2
CHARAGUA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,16,6,16,6,22
CHIPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,0,4,0,4,4
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,342,0,342,0,342
CHUMA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,9,10,9,10,19
CKOCHAS,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,7,1,7,1,8
COBIJA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,5,12,5,12,17
COCAPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,14,14,14,14,28
COCHABAMBA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,533,284,533,284,817
COLCAPIRHUA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,50,51,50,51,101
COLOMI,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,11,9,11,9,20
COLPA BELGICA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,8,14,8,14,22
COLQUECHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,10,8,10,8,18
