,group,variable,month,OTRAS ACCIONES CANTIDAD,OTRAS ACCIONES CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica,otras acciones,2010-01-01,13,45,13,45,58
ACHACACHI,atencion odontologica,otras acciones,2010-01-01,3,0,3,0,3
ACHOCALLA,atencion odontologica,otras acciones,2010-01-01,5,2,5,2,7
ALCALA,atencion odontologica,otras acciones,2010-01-01,13,25,13,25,38
ALTO BENI,atencion odontologica,otras acciones,2010-01-01,29,22,29,22,51
ANCORAIMES,atencion odontologica,otras acciones,2010-01-01,12,12,12,12,24
ANDAMARCA,atencion odontologica,otras acciones,2010-01-01,17,29,17,29,46
ANTEQUERA,atencion odontologica,otras acciones,2010-01-01,34,27,34,27,61
APOLO,atencion odontologica,otras acciones,2010-01-01,9,25,9,25,34
ARANI,atencion odontologica,otras acciones,2010-01-01,31,48,31,48,79
ARBIETO,atencion odontologica,otras acciones,2010-01-01,10,47,10,47,57
ATOCHA,atencion odontologica,otras acciones,2010-01-01,113,151,113,151,264
AYATA,atencion odontologica,otras acciones,2010-01-01,0,4,0,4,4
AYO AYO,atencion odontologica,otras acciones,2010-01-01,20,13,20,13,33
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,otras acciones,2010-01-01,13,26,13,26,39
BELEN DE URMIRI,atencion odontologica,otras acciones,2010-01-01,3,13,3,13,16
BERMEJO,atencion odontologica,otras acciones,2010-01-01,2,17,2,17,19
BETANZOS,atencion odontologica,otras acciones,2010-01-01,1,9,1,9,10
BOLIVAR,atencion odontologica,otras acciones,2010-01-01,3,3,3,3,6
BUENA VISTA,atencion odontologica,otras acciones,2010-01-01,0,6,0,6,6
CAIROMA,atencion odontologica,otras acciones,2010-01-01,7,13,7,13,20
"CAIZA ""D""",atencion odontologica,otras acciones,2010-01-01,3,0,3,0,3
CAJUATA,atencion odontologica,otras acciones,2010-01-01,1,0,1,0,1
CALACOTO,atencion odontologica,otras acciones,2010-01-01,5,4,5,4,9
CAMARGO,atencion odontologica,otras acciones,2010-01-01,78,169,78,169,247
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,otras acciones,2010-01-01,23,39,23,39,62
CAMIRI,atencion odontologica,otras acciones,2010-01-01,37,111,37,111,148
CAPINOTA,atencion odontologica,otras acciones,2010-01-01,20,39,20,39,59
CAQUIAVIRI,atencion odontologica,otras acciones,2010-01-01,8,40,8,40,48
CARACOLLO,atencion odontologica,otras acciones,2010-01-01,53,88,53,88,141
CARANAVI,atencion odontologica,otras acciones,2010-01-01,15,25,15,25,40
CARAPARI,atencion odontologica,otras acciones,2010-01-01,1,1,1,1,2
CARIPUYO,atencion odontologica,otras acciones,2010-01-01,3,3,3,3,6
CHALLAPATA,atencion odontologica,otras acciones,2010-01-01,48,85,48,85,133
CHARAGUA,atencion odontologica,otras acciones,2010-01-01,3,0,3,0,3
CHIMORE,atencion odontologica,otras acciones,2010-01-01,9,15,9,15,24
CHIPAYA,atencion odontologica,otras acciones,2010-01-01,7,16,7,16,23
CHOQUE COTA,atencion odontologica,otras acciones,2010-01-01,4,10,4,10,14
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,otras acciones,2010-01-01,13,7,13,7,20
CHUMA,atencion odontologica,otras acciones,2010-01-01,0,4,0,4,4
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,otras acciones,2010-01-01,23,46,23,46,69
CKOCHAS,atencion odontologica,otras acciones,2010-01-01,2,0,2,0,2
CLIZA,atencion odontologica,otras acciones,2010-01-01,32,39,32,39,71
COBIJA,atencion odontologica,otras acciones,2010-01-01,31,164,31,164,195
COCAPATA,atencion odontologica,otras acciones,2010-01-01,4,2,4,2,6
COCHABAMBA,atencion odontologica,otras acciones,2010-01-01,297,399,297,399,696
COIPASA,atencion odontologica,otras acciones,2010-01-01,0,3,0,3,3
COLCAPIRHUA,atencion odontologica,otras acciones,2010-01-01,53,146,53,146,199
"COLCHA ""K""",atencion odontologica,otras acciones,2010-01-01,15,22,15,22,37
COLOMI,atencion odontologica,otras acciones,2010-01-01,15,25,15,25,40
