,group,variable,month,CONSULTAS NUEVAS DE 5 A 59 AÑOS CANTIDAD,CONSULTAS NUEVAS DE 5 A 59 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,15,66,15,66,81
ACHACACHI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,168,243,168,243,411
ACHOCALLA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,23,26,23,26,49
AIQUILE,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,25,15,25,15,40
ALCALA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,23,87,23,87,110
ALTO BENI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,21,22,21,22,43
ANCORAIMES,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,35,74,35,74,109
ANDAMARCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,53,68,53,68,121
ANTEQUERA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,36,40,36,40,76
ANZALDO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,2,1,2,1,3
APOLO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,138,200,138,200,338
ARANI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,23,36,23,36,59
ARBIETO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,18,45,18,45,63
ASCENCION DE GUARAYOS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,10,30,10,30,40
ATOCHA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,255,310,255,310,565
AYATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,30,62,30,62,92
AYO AYO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,17,32,17,32,49
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,48,44,48,44,92
AZURDUY,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,40,46,40,46,86
BATALLAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,20,44,20,44,64
BELEN DE URMIRI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,6,15,6,15,21
BELLA FLOR,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,23,26,23,26,49
BERMEJO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,188,474,188,474,662
BETANZOS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,61,138,61,138,199
BOLIVAR,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,25,25,25,25,50
BOLPEBRA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,23,40,23,40,63
BOYUIBE,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,22,65,22,65,87
BUENA VISTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,13,22,13,22,35
CABEZAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,19,89,19,89,108
CAIROMA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,38,59,38,59,97
"CAIZA ""D""",atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,88,0,88,0,88
CAJUATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,15,25,15,25,40
CALACOTO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,90,65,90,65,155
CALAMARCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,51,76,51,76,127
CAMARGO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,48,97,48,97,145
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,8,9,8,9,17
CAMIRI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,195,355,195,355,550
CAPINOTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,25,14,25,14,39
