,group,variable,month,CONSULTAS NUEVAS MENORES DE 5 AÑOS CANTIDAD,CONSULTAS NUEVAS MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,3,9,3,9,12
ACHACACHI,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,132,101,132,101,233
ACHOCALLA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,11,7,11,7,18
AIQUILE,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,32,42,32,42,74
ALCALA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,123,119,123,119,242
ALTO BENI,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,14,14,14,14,28
ANCORAIMES,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,23,29,23,29,52
ANDAMARCA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,7,23,7,23,30
ANTEQUERA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,16,6,16,6,22
APOLO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,78,62,78,62,140
ARANI,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,6,8,6,8,14
ARBIETO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,50,61,50,61,111
ASCENCION DE GUARAYOS,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,15,22,15,22,37
ATOCHA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,46,41,46,41,87
AUCAPATA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,0,1,0,1,1
AYATA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,4,7,4,7,11
AYO AYO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,3,1,3,1,4
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,18,16,18,16,34
AZURDUY,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,3,4,3,4,7
BATALLAS,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,9,4,9,4,13
BELEN DE URMIRI,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,1,3,1,3,4
BELLA FLOR,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,11,23,11,23,34
BERMEJO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,18,17,18,17,35
BETANZOS,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,12,7,12,7,19
BOLIVAR,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,0,1,0,1,1
BOLPEBRA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,20,20,20,20,40
BOYUIBE,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,1,10,1,10,11
BUENA VISTA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,3,9,3,9,12
CABEZAS,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,48,79,48,79,127
CAIROMA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,11,6,11,6,17
"CAIZA ""D""",atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,50,0,50,0,50
CAJUATA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,3,3,3,3,6
CALACOTO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,14,8,14,8,22
CALAMARCA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,33,37,33,37,70
CAMARGO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,78,55,78,55,133
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,5,16,5,16,21
CAMIRI,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,137,99,137,99,236
CAPINOTA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,11,7,11,7,18
CAQUIAVIRI,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,3,2,3,2,5
CARACOLLO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,16,31,16,31,47
