,group,variable,month,CONSULTAS NUEVAS A MUJER EMBARAZADA O PUÉRPERA CANTIDAD,CONSULTAS NUEVAS A MUJER EMBARAZADA O PUÉRPERA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,21,0,21,21
ACHACACHI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,76,0,76,76
ACHOCALLA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,1,0,1,1
ALCALA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,13,0,13,13
ALTO BENI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,3,0,3,3
ANCORAIMES,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,8,0,8,8
ANDAMARCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,7,0,7,7
ANTEQUERA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,3,0,3,3
ANZALDO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,1,0,1,1
APOLO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,67,0,67,67
ARBIETO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,48,0,48,48
ASCENCION DE GUARAYOS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,48,0,48,48
ATOCHA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,2,0,2,2
AYATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,15,0,15,15
AYO AYO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,13,0,13,13
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,19,0,19,19
BATALLAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,9,0,9,9
BELEN DE URMIRI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,1,0,1,1
BELLA FLOR,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,5,0,5,5
BERMEJO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,7,0,7,7
BETANZOS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,23,0,23,23
BOLIVAR,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,3,0,3,3
BOLPEBRA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,3,0,3,3
BOYUIBE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,10,0,10,10
BUENA VISTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,12,0,12,12
CABEZAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,20,0,20,20
CAIROMA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,8,0,8,8
CAJUATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,2,0,2,2
CALAMARCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,34,0,34,34
CAMARGO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,49,0,49,49
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,4,0,4,4
CAMIRI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,163,0,163,163
CAQUIAVIRI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,17,0,17,17
CARACOLLO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,19,0,19,19
CARANAVI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,20,0,20,20
CARAPARI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,1,0,1,1
