,group,variable,month,ENDODONCIAS CANTIDAD,ENDODONCIAS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,atencion odontologica,endodoncias,2010-01-01,14,15,14,15,29
ACHOCALLA,atencion odontologica,endodoncias,2010-01-01,1,0,1,0,1
AIQUILE,atencion odontologica,endodoncias,2010-01-01,16,3,16,3,19
ALCALA,atencion odontologica,endodoncias,2010-01-01,6,10,6,10,16
ANCORAIMES,atencion odontologica,endodoncias,2010-01-01,1,0,1,0,1
ANDAMARCA,atencion odontologica,endodoncias,2010-01-01,0,2,0,2,2
ANTEQUERA,atencion odontologica,endodoncias,2010-01-01,5,7,5,7,12
ANZALDO,atencion odontologica,endodoncias,2010-01-01,1,1,1,1,2
ARANI,atencion odontologica,endodoncias,2010-01-01,19,16,19,16,35
ARBIETO,atencion odontologica,endodoncias,2010-01-01,10,0,10,0,10
ASCENCION DE GUARAYOS,atencion odontologica,endodoncias,2010-01-01,5,0,5,0,5
ATOCHA,atencion odontologica,endodoncias,2010-01-01,8,36,8,36,44
AUCAPATA,atencion odontologica,endodoncias,2010-01-01,4,0,4,0,4
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,endodoncias,2010-01-01,0,4,0,4,4
AZURDUY,atencion odontologica,endodoncias,2010-01-01,2,1,2,1,3
BERMEJO,atencion odontologica,endodoncias,2010-01-01,12,23,12,23,35
BETANZOS,atencion odontologica,endodoncias,2010-01-01,1,5,1,5,6
BOLIVAR,atencion odontologica,endodoncias,2010-01-01,4,1,4,1,5
BOYUIBE,atencion odontologica,endodoncias,2010-01-01,3,0,3,0,3
CABEZAS,atencion odontologica,endodoncias,2010-01-01,4,3,4,3,7
CAIROMA,atencion odontologica,endodoncias,2010-01-01,2,0,2,0,2
"CAIZA ""D""",atencion odontologica,endodoncias,2010-01-01,5,0,5,0,5
CAJUATA,atencion odontologica,endodoncias,2010-01-01,1,0,1,0,1
CALACOTO,atencion odontologica,endodoncias,2010-01-01,1,1,1,1,2
CALAMARCA,atencion odontologica,endodoncias,2010-01-01,18,17,18,17,35
CAMARGO,atencion odontologica,endodoncias,2010-01-01,17,37,17,37,54
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,endodoncias,2010-01-01,1,3,1,3,4
CAMIRI,atencion odontologica,endodoncias,2010-01-01,27,55,27,55,82
CAPINOTA,atencion odontologica,endodoncias,2010-01-01,9,2,9,2,11
CARACOLLO,atencion odontologica,endodoncias,2010-01-01,9,2,9,2,11
CARANAVI,atencion odontologica,endodoncias,2010-01-01,8,1,8,1,9
CARAPARI,atencion odontologica,endodoncias,2010-01-01,14,9,14,9,23
CARIPUYO,atencion odontologica,endodoncias,2010-01-01,15,25,15,25,40
CARMEN RIVERO TORREZ,atencion odontologica,endodoncias,2010-01-01,1,3,1,3,4
CATACORA,atencion odontologica,endodoncias,2010-01-01,0,1,0,1,1
CHALLAPATA,atencion odontologica,endodoncias,2010-01-01,4,4,4,4,8
CHARAGUA,atencion odontologica,endodoncias,2010-01-01,5,1,5,1,6
CHIMORE,atencion odontologica,endodoncias,2010-01-01,0,12,0,12,12
CHOQUE COTA,atencion odontologica,endodoncias,2010-01-01,0,5,0,5,5
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,endodoncias,2010-01-01,4,13,4,13,17
CHUMA,atencion odontologica,endodoncias,2010-01-01,0,2,0,2,2
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,endodoncias,2010-01-01,2,0,2,0,2
CLIZA,atencion odontologica,endodoncias,2010-01-01,13,23,13,23,36
COBIJA,atencion odontologica,endodoncias,2010-01-01,26,40,26,40,66
COCHABAMBA,atencion odontologica,endodoncias,2010-01-01,422,225,422,225,647
COIPASA,atencion odontologica,endodoncias,2010-01-01,0,1,0,1,1
COLCAPIRHUA,atencion odontologica,endodoncias,2010-01-01,35,78,35,78,113
COLOMI,atencion odontologica,endodoncias,2010-01-01,9,9,9,9,18
COLPA BELGICA,atencion odontologica,endodoncias,2010-01-01,0,1,0,1,1
COMANCHE,atencion odontologica,endodoncias,2010-01-01,3,5,3,5,8
