,group,variable,month,PRIMERA CONSULTA CANTIDAD,PRIMERA CONSULTA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica,primera consulta,2010-01-01,19,41,19,41,60
ACHACACHI,atencion odontologica,primera consulta,2010-01-01,358,416,358,416,774
ACHOCALLA,atencion odontologica,primera consulta,2010-01-01,20,16,20,16,36
AIQUILE,atencion odontologica,primera consulta,2010-01-01,36,51,36,51,87
ALCALA,atencion odontologica,primera consulta,2010-01-01,147,199,147,199,346
ALTO BENI,atencion odontologica,primera consulta,2010-01-01,34,26,34,26,60
ANCORAIMES,atencion odontologica,primera consulta,2010-01-01,66,92,66,92,158
ANDAMARCA,atencion odontologica,primera consulta,2010-01-01,46,79,46,79,125
ANTEQUERA,atencion odontologica,primera consulta,2010-01-01,38,46,38,46,84
APOLO,atencion odontologica,primera consulta,2010-01-01,81,116,81,116,197
ARANI,atencion odontologica,primera consulta,2010-01-01,38,58,38,58,96
ARBIETO,atencion odontologica,primera consulta,2010-01-01,35,44,35,44,79
ASCENCION DE GUARAYOS,atencion odontologica,primera consulta,2010-01-01,36,103,36,103,139
ATOCHA,atencion odontologica,primera consulta,2010-01-01,284,389,284,389,673
AUCAPATA,atencion odontologica,primera consulta,2010-01-01,20,23,20,23,43
AYATA,atencion odontologica,primera consulta,2010-01-01,35,64,35,64,99
AYO AYO,atencion odontologica,primera consulta,2010-01-01,26,50,26,50,76
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,primera consulta,2010-01-01,67,115,67,115,182
AZURDUY,atencion odontologica,primera consulta,2010-01-01,20,24,20,24,44
BATALLAS,atencion odontologica,primera consulta,2010-01-01,19,35,19,35,54
BELEN DE URMIRI,atencion odontologica,primera consulta,2010-01-01,7,18,7,18,25
BELLA FLOR,atencion odontologica,primera consulta,2010-01-01,34,54,34,54,88
BERMEJO,atencion odontologica,primera consulta,2010-01-01,106,164,106,164,270
BETANZOS,atencion odontologica,primera consulta,2010-01-01,42,52,42,52,94
BOLIVAR,atencion odontologica,primera consulta,2010-01-01,28,34,28,34,62
BOLPEBRA,atencion odontologica,primera consulta,2010-01-01,50,53,50,53,103
BOYUIBE,atencion odontologica,primera consulta,2010-01-01,19,48,19,48,67
BUENA VISTA,atencion odontologica,primera consulta,2010-01-01,13,26,13,26,39
CABEZAS,atencion odontologica,primera consulta,2010-01-01,60,169,60,169,229
CAIROMA,atencion odontologica,primera consulta,2010-01-01,67,82,67,82,149
"CAIZA ""D""",atencion odontologica,primera consulta,2010-01-01,117,0,117,0,117
CAJUATA,atencion odontologica,primera consulta,2010-01-01,19,32,19,32,51
CALACOTO,atencion odontologica,primera consulta,2010-01-01,46,28,46,28,74
CALAMARCA,atencion odontologica,primera consulta,2010-01-01,105,133,105,133,238
CAMARGO,atencion odontologica,primera consulta,2010-01-01,57,113,57,113,170
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,primera consulta,2010-01-01,21,35,21,35,56
CAMIRI,atencion odontologica,primera consulta,2010-01-01,271,495,271,495,766
CAPINOTA,atencion odontologica,primera consulta,2010-01-01,10,12,10,12,22
CAQUIAVIRI,atencion odontologica,primera consulta,2010-01-01,30,57,30,57,87
CARACOLLO,atencion odontologica,primera consulta,2010-01-01,52,88,52,88,140
CARANAVI,atencion odontologica,primera consulta,2010-01-01,119,169,119,169,288
CARAPARI,atencion odontologica,primera consulta,2010-01-01,51,59,51,59,110
CARIPUYO,atencion odontologica,primera consulta,2010-01-01,37,20,37,20,57
CARMEN RIVERO TORREZ,atencion odontologica,primera consulta,2010-01-01,13,19,13,19,32
CATACORA,atencion odontologica,primera consulta,2010-01-01,3,6,3,6,9
CHALLAPATA,atencion odontologica,primera consulta,2010-01-01,96,127,96,127,223
CHARAGUA,atencion odontologica,primera consulta,2010-01-01,165,79,165,79,244
CHIMORE,atencion odontologica,primera consulta,2010-01-01,14,28,14,28,42
CHIPAYA,atencion odontologica,primera consulta,2010-01-01,28,8,28,8,36
CHOQUE COTA,atencion odontologica,primera consulta,2010-01-01,3,9,3,9,12
