,group,variable,month,CIRUGIA BUCAL MENOR CANTIDAD,CIRUGIA BUCAL MENOR CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica,cirugia bucal menor,2010-01-01,7,27,7,27,34
ACHACACHI,atencion odontologica,cirugia bucal menor,2010-01-01,102,78,102,78,180
ACHOCALLA,atencion odontologica,cirugia bucal menor,2010-01-01,4,8,4,8,12
ALCALA,atencion odontologica,cirugia bucal menor,2010-01-01,12,25,12,25,37
ALTO BENI,atencion odontologica,cirugia bucal menor,2010-01-01,4,5,4,5,9
ANCORAIMES,atencion odontologica,cirugia bucal menor,2010-01-01,26,41,26,41,67
ANDAMARCA,atencion odontologica,cirugia bucal menor,2010-01-01,5,6,5,6,11
ANTEQUERA,atencion odontologica,cirugia bucal menor,2010-01-01,12,16,12,16,28
APOLO,atencion odontologica,cirugia bucal menor,2010-01-01,25,40,25,40,65
ARANI,atencion odontologica,cirugia bucal menor,2010-01-01,21,31,21,31,52
ARBIETO,atencion odontologica,cirugia bucal menor,2010-01-01,8,2,8,2,10
ATOCHA,atencion odontologica,cirugia bucal menor,2010-01-01,44,46,44,46,90
AUCAPATA,atencion odontologica,cirugia bucal menor,2010-01-01,2,0,2,0,2
AYATA,atencion odontologica,cirugia bucal menor,2010-01-01,16,35,16,35,51
AYO AYO,atencion odontologica,cirugia bucal menor,2010-01-01,16,24,16,24,40
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,cirugia bucal menor,2010-01-01,23,28,23,28,51
BATALLAS,atencion odontologica,cirugia bucal menor,2010-01-01,7,20,7,20,27
BELEN DE URMIRI,atencion odontologica,cirugia bucal menor,2010-01-01,4,11,4,11,15
BELLA FLOR,atencion odontologica,cirugia bucal menor,2010-01-01,3,7,3,7,10
BERMEJO,atencion odontologica,cirugia bucal menor,2010-01-01,42,73,42,73,115
BETANZOS,atencion odontologica,cirugia bucal menor,2010-01-01,22,27,22,27,49
BOLIVAR,atencion odontologica,cirugia bucal menor,2010-01-01,13,18,13,18,31
BOYUIBE,atencion odontologica,cirugia bucal menor,2010-01-01,6,27,6,27,33
BUENA VISTA,atencion odontologica,cirugia bucal menor,2010-01-01,13,14,13,14,27
CABEZAS,atencion odontologica,cirugia bucal menor,2010-01-01,21,40,21,40,61
CAIROMA,atencion odontologica,cirugia bucal menor,2010-01-01,20,36,20,36,56
"CAIZA ""D""",atencion odontologica,cirugia bucal menor,2010-01-01,21,0,21,0,21
CAJUATA,atencion odontologica,cirugia bucal menor,2010-01-01,9,23,9,23,32
CALACOTO,atencion odontologica,cirugia bucal menor,2010-01-01,20,12,20,12,32
CALAMARCA,atencion odontologica,cirugia bucal menor,2010-01-01,21,33,21,33,54
CAMARGO,atencion odontologica,cirugia bucal menor,2010-01-01,26,49,26,49,75
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,cirugia bucal menor,2010-01-01,5,9,5,9,14
CAMIRI,atencion odontologica,cirugia bucal menor,2010-01-01,52,89,52,89,141
CAQUIAVIRI,atencion odontologica,cirugia bucal menor,2010-01-01,18,32,18,32,50
CARACOLLO,atencion odontologica,cirugia bucal menor,2010-01-01,51,53,51,53,104
CARANAVI,atencion odontologica,cirugia bucal menor,2010-01-01,76,31,76,31,107
CARAPARI,atencion odontologica,cirugia bucal menor,2010-01-01,25,48,25,48,73
CARIPUYO,atencion odontologica,cirugia bucal menor,2010-01-01,12,3,12,3,15
CATACORA,atencion odontologica,cirugia bucal menor,2010-01-01,0,5,0,5,5
CHALLAPATA,atencion odontologica,cirugia bucal menor,2010-01-01,63,84,63,84,147
CHARAGUA,atencion odontologica,cirugia bucal menor,2010-01-01,70,32,70,32,102
CHIMORE,atencion odontologica,cirugia bucal menor,2010-01-01,18,39,18,39,57
CHIPAYA,atencion odontologica,cirugia bucal menor,2010-01-01,1,7,1,7,8
CHOQUE COTA,atencion odontologica,cirugia bucal menor,2010-01-01,3,13,3,13,16
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,cirugia bucal menor,2010-01-01,42,45,42,45,87
CHUMA,atencion odontologica,cirugia bucal menor,2010-01-01,61,117,61,117,178
