,group,variable,month,PERIODONCIAS CANTIDAD,PERIODONCIAS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
AIQUILE,atencion odontologica,periodoncias,2010-01-01,11,2,11,2,13
ALCALA,atencion odontologica,periodoncias,2010-01-01,0,4,0,4,4
ALTO BENI,atencion odontologica,periodoncias,2010-01-01,12,11,12,11,23
ANCORAIMES,atencion odontologica,periodoncias,2010-01-01,2,1,2,1,3
ANDAMARCA,atencion odontologica,periodoncias,2010-01-01,0,1,0,1,1
ANTEQUERA,atencion odontologica,periodoncias,2010-01-01,1,2,1,2,3
ANZALDO,atencion odontologica,periodoncias,2010-01-01,0,1,0,1,1
APOLO,atencion odontologica,periodoncias,2010-01-01,3,4,3,4,7
ARANI,atencion odontologica,periodoncias,2010-01-01,11,3,11,3,14
ARBIETO,atencion odontologica,periodoncias,2010-01-01,23,27,23,27,50
ASCENCION DE GUARAYOS,atencion odontologica,periodoncias,2010-01-01,8,24,8,24,32
ATOCHA,atencion odontologica,periodoncias,2010-01-01,13,5,13,5,18
AYATA,atencion odontologica,periodoncias,2010-01-01,0,1,0,1,1
AYO AYO,atencion odontologica,periodoncias,2010-01-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,periodoncias,2010-01-01,2,4,2,4,6
AZURDUY,atencion odontologica,periodoncias,2010-01-01,20,19,20,19,39
BERMEJO,atencion odontologica,periodoncias,2010-01-01,10,27,10,27,37
BETANZOS,atencion odontologica,periodoncias,2010-01-01,4,14,4,14,18
BOLIVAR,atencion odontologica,periodoncias,2010-01-01,0,3,0,3,3
CABEZAS,atencion odontologica,periodoncias,2010-01-01,14,18,14,18,32
CAIROMA,atencion odontologica,periodoncias,2010-01-01,6,4,6,4,10
"CAIZA ""D""",atencion odontologica,periodoncias,2010-01-01,7,0,7,0,7
CAJUATA,atencion odontologica,periodoncias,2010-01-01,0,4,0,4,4
CAMARGO,atencion odontologica,periodoncias,2010-01-01,0,2,0,2,2
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,periodoncias,2010-01-01,3,0,3,0,3
CAMIRI,atencion odontologica,periodoncias,2010-01-01,45,57,45,57,102
CARACOLLO,atencion odontologica,periodoncias,2010-01-01,7,29,7,29,36
CARAPARI,atencion odontologica,periodoncias,2010-01-01,1,5,1,5,6
CARMEN RIVERO TORREZ,atencion odontologica,periodoncias,2010-01-01,0,3,0,3,3
CATACORA,atencion odontologica,periodoncias,2010-01-01,0,1,0,1,1
CHALLAPATA,atencion odontologica,periodoncias,2010-01-01,3,3,3,3,6
CHARAGUA,atencion odontologica,periodoncias,2010-01-01,1,3,1,3,4
CHIMORE,atencion odontologica,periodoncias,2010-01-01,3,4,3,4,7
CHOQUE COTA,atencion odontologica,periodoncias,2010-01-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,periodoncias,2010-01-01,3,1,3,1,4
CHUMA,atencion odontologica,periodoncias,2010-01-01,4,4,4,4,8
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,periodoncias,2010-01-01,0,1,0,1,1
CLIZA,atencion odontologica,periodoncias,2010-01-01,1,21,1,21,22
COBIJA,atencion odontologica,periodoncias,2010-01-01,4,17,4,17,21
COCHABAMBA,atencion odontologica,periodoncias,2010-01-01,397,517,397,517,914
COIPASA,atencion odontologica,periodoncias,2010-01-01,0,2,0,2,2
COLCAPIRHUA,atencion odontologica,periodoncias,2010-01-01,31,56,31,56,87
COLLANA,atencion odontologica,periodoncias,2010-01-01,1,1,1,1,2
COLOMI,atencion odontologica,periodoncias,2010-01-01,0,2,0,2,2
COLPA BELGICA,atencion odontologica,periodoncias,2010-01-01,0,12,0,12,12
COLQUENCHA,atencion odontologica,periodoncias,2010-01-01,0,1,0,1,1
COLQUIRI,atencion odontologica,periodoncias,2010-01-01,5,16,5,16,21
COMANCHE,atencion odontologica,periodoncias,2010-01-01,1,0,1,0,1
COMARAPA,atencion odontologica,periodoncias,2010-01-01,2,9,2,9,11
CONCEPCION,atencion odontologica,periodoncias,2010-01-01,3,0,3,0,3
COROICO,atencion odontologica,periodoncias,2010-01-01,10,13,10,13,23
