,group,variable,month,RESTAURACIONES CANTIDAD,RESTAURACIONES CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica,restauraciones,2010-01-01,6,20,6,20,26
ACHACACHI,atencion odontologica,restauraciones,2010-01-01,72,108,72,108,180
ACHOCALLA,atencion odontologica,restauraciones,2010-01-01,6,6,6,6,12
AIQUILE,atencion odontologica,restauraciones,2010-01-01,30,54,30,54,84
ALCALA,atencion odontologica,restauraciones,2010-01-01,20,26,20,26,46
ALTO BENI,atencion odontologica,restauraciones,2010-01-01,11,16,11,16,27
ANCORAIMES,atencion odontologica,restauraciones,2010-01-01,15,21,15,21,36
ANDAMARCA,atencion odontologica,restauraciones,2010-01-01,29,7,29,7,36
ANTEQUERA,atencion odontologica,restauraciones,2010-01-01,7,36,7,36,43
APOLO,atencion odontologica,restauraciones,2010-01-01,56,73,56,73,129
ARANI,atencion odontologica,restauraciones,2010-01-01,110,30,110,30,140
ARBIETO,atencion odontologica,restauraciones,2010-01-01,23,50,23,50,73
ASCENCION DE GUARAYOS,atencion odontologica,restauraciones,2010-01-01,23,31,23,31,54
ATOCHA,atencion odontologica,restauraciones,2010-01-01,99,120,99,120,219
AUCAPATA,atencion odontologica,restauraciones,2010-01-01,10,4,10,4,14
AYATA,atencion odontologica,restauraciones,2010-01-01,1,20,1,20,21
AYO AYO,atencion odontologica,restauraciones,2010-01-01,8,17,8,17,25
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,restauraciones,2010-01-01,24,44,24,44,68
AZURDUY,atencion odontologica,restauraciones,2010-01-01,12,12,12,12,24
BATALLAS,atencion odontologica,restauraciones,2010-01-01,10,10,10,10,20
BELEN DE URMIRI,atencion odontologica,restauraciones,2010-01-01,1,0,1,0,1
BELLA FLOR,atencion odontologica,restauraciones,2010-01-01,7,3,7,3,10
BERMEJO,atencion odontologica,restauraciones,2010-01-01,101,199,101,199,300
BETANZOS,atencion odontologica,restauraciones,2010-01-01,37,51,37,51,88
BOLIVAR,atencion odontologica,restauraciones,2010-01-01,10,8,10,8,18
BOYUIBE,atencion odontologica,restauraciones,2010-01-01,8,28,8,28,36
BUENA VISTA,atencion odontologica,restauraciones,2010-01-01,2,6,2,6,8
CABEZAS,atencion odontologica,restauraciones,2010-01-01,11,39,11,39,50
CAIROMA,atencion odontologica,restauraciones,2010-01-01,35,9,35,9,44
"CAIZA ""D""",atencion odontologica,restauraciones,2010-01-01,23,0,23,0,23
CAJUATA,atencion odontologica,restauraciones,2010-01-01,14,8,14,8,22
CALACOTO,atencion odontologica,restauraciones,2010-01-01,20,10,20,10,30
CALAMARCA,atencion odontologica,restauraciones,2010-01-01,56,49,56,49,105
CAMARGO,atencion odontologica,restauraciones,2010-01-01,51,85,51,85,136
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,restauraciones,2010-01-01,5,12,5,12,17
CAMIRI,atencion odontologica,restauraciones,2010-01-01,191,267,191,267,458
CAPINOTA,atencion odontologica,restauraciones,2010-01-01,10,20,10,20,30
CAQUIAVIRI,atencion odontologica,restauraciones,2010-01-01,6,8,6,8,14
CARACOLLO,atencion odontologica,restauraciones,2010-01-01,48,66,48,66,114
CARANAVI,atencion odontologica,restauraciones,2010-01-01,36,20,36,20,56
CARAPARI,atencion odontologica,restauraciones,2010-01-01,29,55,29,55,84
CARIPUYO,atencion odontologica,restauraciones,2010-01-01,18,10,18,10,28
CARMEN RIVERO TORREZ,atencion odontologica,restauraciones,2010-01-01,14,20,14,20,34
CATACORA,atencion odontologica,restauraciones,2010-01-01,6,7,6,7,13
CHALLAPATA,atencion odontologica,restauraciones,2010-01-01,46,68,46,68,114
CHARAGUA,atencion odontologica,restauraciones,2010-01-01,98,19,98,19,117
CHIMORE,atencion odontologica,restauraciones,2010-01-01,18,71,18,71,89
CHIPAYA,atencion odontologica,restauraciones,2010-01-01,2,7,2,7,9
CHOQUE COTA,atencion odontologica,restauraciones,2010-01-01,2,17,2,17,19
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,restauraciones,2010-01-01,33,58,33,58,91
CHUMA,atencion odontologica,restauraciones,2010-01-01,16,48,16,48,64
