,group,variable,month,ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,2,10,2,10,12
ACHACACHI,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,32,47,32,47,79
ACHOCALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,5,3,5,3,8
AIQUILE,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,3,4,3,4,7
ALCALA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,5,7,5,7,12
ALTO BENI,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,35,31,35,31,66
ANCORAIMES,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,21,20,21,20,41
ANDAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,9,21,9,21,30
ANTEQUERA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,2,1,2,1,3
APOLO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,62,12,62,12,74
ARANI,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,18,30,18,30,48
ARBIETO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,24,44,24,44,68
ATOCHA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,13,23,13,23,36
AUCAPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,0,1,0,1,1
AYATA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,0,2,0,2,2
AYO AYO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,1,1,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,9,19,9,19,28
AZURDUY,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,4,4,4,4,8
BATALLAS,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,0,1,0,1,1
BELEN DE URMIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,0,3,0,3,3
BELLA FLOR,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,10,12,10,12,22
BERMEJO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,23,58,23,58,81
BETANZOS,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,2,17,2,17,19
BOLIVAR,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,4,4,4,4,8
BOLPEBRA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,20,7,20,7,27
BOYUIBE,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,1,12,1,12,13
BUENA VISTA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,5,0,5,0,5
CABEZAS,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,73,63,73,63,136
CAIROMA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,6,7,6,7,13
"CAIZA ""D""",atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,14,0,14,0,14
CALACOTO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,7,5,7,5,12
CALAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,9,11,9,11,20
CAMARGO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,8,7,8,7,15
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,3,13,3,13,16
CAMIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,60,77,60,77,137
CAPINOTA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,5,0,5,0,5
CAQUIAVIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,3,1,3,1,4
CARACOLLO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,0,3,0,3,3
CARANAVI,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,60,74,60,74,134
