,group,variable,month,TOTAL 1910 ANTI AMARÍLICA CANTIDAD,TOTAL 1910 ANTI AMARÍLICA CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,8,8
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,1,0,1
ANZALDO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,1,0,1
ARANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,1,0,1
ARBIETO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,6,8,14
ATOCHA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,1,1
AZURDUY,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,1,0,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,10,9,19
CABEZAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,2,0,2
CAMARGO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,6,0,6
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,1,0,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,3,0,3
CARANAVI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,3,0,3
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,7,1,8
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,1,1
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,4,4
CHIMORE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,5,0,5
CLIZA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,10,0,10
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,249,20,269
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,23,3,26
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,4,0,4
COLOMI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,1,4,5
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,6,6
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,2,2
CORIPATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,3,0,3
CORQUE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,1,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,17,5,22
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,191,95,286
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,1,1
EL TORNO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,9,6,15
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,1,1,2
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,9,0,9
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,3,1,4
GUAQUI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,3,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,7,5,12
HUANUNI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,3,0,3
HUATAJATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,3,3
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,2,0,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,12,12
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,4,4,8
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,1,1,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,15,4,19
LA PAZ,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,100,4,104
LAJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,1,0,1
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,4,4
LLICA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,1,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,1,1
MIZQUE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,18,2,20
MORO MORO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,1,0,1
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,5,5
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,1,1
OCURI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,2,2
OKINAWA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,1,0,1
ORURO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,41,0,41
PADCAYA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,1,1
PAILON,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,10,10
PALCA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,2,2
PASORAPA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,4,4
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,1,0,1
POCOATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,8,8
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,4,4
PORONGO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,1,4,5
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,4,0,4
PORVENIR,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,2,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,34,0,34
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,1,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,3,2,5
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,1,0,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,3,0,3
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,36,80,116
RAVELO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,8,0,8
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,5,3,8
ROBORE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,1,0,1
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,1,1
SACABA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,27,11,38
SACACA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,1,0,1
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,2,0,2
SAN AGUSTIN,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,3,0,3
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,2,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,7,3,10
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,1,0,1
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,3,0,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,2,0,2
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,3,2,5
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,3,0,3
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,19,5,24
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,2,1,3
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,1,0,1
