,group,variable,month,TOTAL 19.4 DPT 4TA DOSIS CANTIDAD,TOTAL 19.4 DPT 4TA DOSIS CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,8,2,10
AIQUILE,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,4,25,29
ALALAY,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,1,1,2
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,4,1,5
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,4,0,4
ANTEQUERA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,5,0,5
ARANI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,3,0,3
ARBIETO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,1,9,10
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,17,0,17
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,0,1,1
AZURDUY,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,1,5,6
BATALLAS,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,2,0,2
BAURES,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,3,0,3
BERMEJO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,2,0,2
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,2,2,4
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,1,0,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,2,0,2
CAIROMA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,0,8,8
CAMARGO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,9,3,12
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,1,0,1
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,6,0,6
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,4,1,5
CARAPARI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,2,0,2
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,17,2,19
CHIMORE,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,13,13,26
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,5,1,6
CLIZA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,4,7,11
COBIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,23,4,27
COCAPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,1,14,15
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,230,116,346
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,36,4,40
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,14,1,15
COLOMI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,3,5,8
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,2,1,3
COMARAPA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,14,0,14
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,11,23,34
COROICO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,7,2,9
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,9,3,12
COTOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,5,5,10
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,14,9,23
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,303,151,454
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,9,0,9
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,2,2,4
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,21,1,22
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,4,1,5
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,18,2,20
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,10,4,14
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,3,3,6
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,39,1,40
HUACARETA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,0,2,2
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,23,10,33
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,5,0,5
HUATAJATA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,1,5,6
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,1,1,2
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,0,1,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,54,2,56
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,189,75,264
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,1,9,10
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,4,1,5
LORETO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,2,5,7
MACHARETI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,4,2,6
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,5,3,8
MAIRANA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,1,0,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,26,1,27
MIZQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,19,4,23
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,4,1,5
MONTERO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,51,0,51
MORO MORO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,1,0,1
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,5,12,17
OKINAWA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,6,5,11
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,1,3,4
ORURO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,102,6,108
PADCAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,4,0,4
PADILLA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,1,0,1
PAILON,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,0,7,7
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,1,0,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,4,1,5
PASORAPA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,0,4,4
POCONA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,1,3,4
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,2,3,5
POROMA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,1,0,1
PORONGO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,1,3,4
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,16,0,16
PORVENIR,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,4,4,8
POSTRER VALLE,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,2,0,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,98,5,103
PUCARA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,1,0,1
PUCARANI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,1,1,2
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-01-01,1,0,1
